Chức năng,Tiêu chí,Tham số tra cứu,Trường thông tin,Công thức tính toán,Nội dung cần confirm,Ảnh
,,,GTNN mua ,"- Nếu chọn 5 ngày/20 ngày trước : 
Biểu đồ đường : GTNN mua theo 5 ngày/ 20 ngày trước
Bản đồ nhiệt: Tổng GTNN mua của 5 ngày/20 ngày trước
- Nếu chọn 1 ngày:
Biểu đồ đường: là GTNN mua trong time theo ngày 
Bản đồ nhiệt: Tổng GTGD mua của NĐTNN trong ngày: Tính từ sổ lệnh khớp. 
",,
,,,GTNN bán,"- Nếu chọn 5 ngày/20 ngày trước : 
Biểu đồ đường : GTNN bán theo 5 ngày/ 20 ngày trước
Bản đồ nhiệt: Tổng GTNN bán của 5 ngày/20 ngày trước
- Nếu chọn 1 ngày:
Biểu đồ đường: là GTNN bán trong time theo ngày 
Bản đồ nhiệt: Tổng GTGD bán của NĐTNN trong ngày: Tính từ sổ lệnh khớp. 
",,
,,,GTNN ròng,"GTNN Ròng = GTGD mua - bán của NĐTNN
- Nếu chọn 5 ngày/20 ngày trước : 
Biểu đồ đường : GTNN ròng theo 5 ngày/ 20 ngày trước
Bản đồ nhiệt: Tổng GTNN ròng của 5 ngày/20 ngày trước
- Nếu chọn 1 ngày:
Biểu đồ đường: là GTNN ròng trong time theo ngày 
Bản đồ nhiệt: Tổng GTGD ròng của NĐTNN trong ngày: Tính từ sổ lệnh khớp.",,
Xu hướng dòng tiền >>Theo dõi giao dịch tự doanh,"Danh sách các mã cổ phiếu được mua bán tự doanh được hiển thị trực quan dưới dạng bản
đồ nhiệt và được cập nhật ngay khi kết thúc ngày giao dịch.","- Tại ngày
- Lọc mã chứng khoán 
- Lọc sàn
- Lọc GT tự doanh/ GT tự doanh ròng
- Lọc theo bộ lọc ngày: 1 ngày/5 ngày/20 ngày trước",Mã chứng khoán,,,
,,,Giá đóng cửa,,,
,,,% Thay đổi giá,"% Thay đổi giá tại 1 ngày:
(Giá đóng cửa / Giá tham chiếu - 1) * 100 ( Đến ngày ). Công thức sổ lệnh của 1 ngày:
[(P_close_t / P_reference_t) - 1]* 100",Cần hỏi lại chị Ngọc,
,,,GT tự doanh mua ,"- Nếu tích chọn GT tự doanh/ GT tự doanh ròng:
- Nếu chọn 5 ngày/20 ngày trước : 
Bản đồ nhiệt: Tổng GT tự doanh mua của 5 ngày/20 ngày trước. TÍnh từ sổ lệnh khớp. Điều kiện:
- HOSE: Buy - Client/House Classification Code = '30'
- HNX:  Buy client/house classification = '30'
- Nếu chọn 1 ngày:
Bản đồ nhiệt: Tổng GT tự doanh mua trong ngày: Tính từ sổ lệnh khớp. 
- HOSE: Buy - Client/House Classification Code = '30'
- HNX:  Buy client/house classification = '30'
",,
,,,KL tự doanh mua ,"- Nếu tích chọn GT tự doanh:
- Nếu chọn 5 ngày/20 ngày trước : 
Bản đồ nhiệt: Tổng KL tự doanh mua của 5 ngày/20 ngày trước. TÍnh từ sổ lệnh khớp. Điều kiện:
- HOSE: Buy - Client/House Classification Code = '30'
- HNX:  Buy client/house classification = '30'
- Nếu chọn 1 ngày:
Bản đồ nhiệt: Tổng KL tự doanh mua trong ngày: Tính từ sổ lệnh khớp. 
- HOSE: Buy - Client/House Classification Code = '30'
- HNX:  Buy client/house classification = '30'
",,
,,,GT tự doanh bán,"- Nếu tích chọn GT tự doanh/ GT tự doanh ròng:
- Nếu chọn 5 ngày/20 ngày trước : 
Bản đồ nhiệt: Tổng GT tự doanh bán của 5 ngày/20 ngày trước. TÍnh từ sổ lệnh khớp. Điều kiện:
- HOSE: Sell - Client/House Classification Code = '30'
- HNX:  Sell client/house classification = '30'
- Nếu chọn 1 ngày:
Bản đồ nhiệt: Tổng GT tự doanh bán trong ngày: Tính từ sổ lệnh khớp. 
- HOSE: Sell - Client/House Classification Code = '30'
- HNX:  Sell client/house classification = '30'
",,
,,,KL tự doanh bán,"- Nếu tích chọn GT tự doanh/ GT tự doanh ròng:
- Nếu chọn 5 ngày/20 ngày trước : 
Bản đồ nhiệt: Tổng KL tự doanh bán của 5 ngày/20 ngày trước. TÍnh từ sổ lệnh khớp. Điều kiện:
- HOSE: Sell - Client/House Classification Code = '30'
- HNX:  Sell client/house classification = '30'
- Nếu chọn 1 ngày:
Bản đồ nhiệt: Tổng KL tự doanh bán trong ngày: Tính từ sổ lệnh khớp. 
- HOSE: Sell - Client/House Classification Code = '30'
- HNX:  Sell client/house classification = '30'
",,
,,,GT tự doanh mua ròng,"- Nếu tích chọn  GT tự doanh ròng:
- Nếu chọn 5 ngày/20 ngày trước : 
Bản đồ nhiệt: Tổng GT tự doanh bán của 5 ngày/20 ngày trước. TÍnh từ sổ lệnh khớp. Điều kiện:
Tổng GT tự doanh mua (5N/20N)  - Tổng GT tự doanh bán của (5N/20N) > 0 >> GT tự doanh mua ròng
- Nếu chọn 1 ngày:
Bản đồ nhiệt: Tổng GT tự doanh bán trong ngày: Tính từ sổ lệnh khớp. 
GT tự doanh mua  - GT tự doanh bán > 0 >> GT tự doanh mua ròng
",,
,,,GT tự doanh bán ròng,"- Nếu tích chọn  GT tự doanh ròng:
- Nếu chọn 5 ngày/20 ngày trước : 
Bản đồ nhiệt: Tổng GT tự doanh bán của 5 ngày/20 ngày trước. Tính từ sổ lệnh khớp. Điều kiện:
Tổng GT tự doanh mua (5 N/20N)  - Tổng GT tự doanh bán của (5N/20N)  < 0 >> GT tự doanh bán ròng
- Nếu chọn 1 ngày:
Bản đồ nhiệt: Tổng GT tự doanh bán trong ngày: Tính từ sổ lệnh khớp. 
GT tự doanh mua  - GT tự doanh bán < 0 >> GT tự doanh bán ròng
",,
Xu hướng dòng tiền >>Theo dõi giao dịch theo phân loại Nhà đầu tư >> Xem biểu đồ giá trị ròng theo nhà đầu tư ,,"- Tại ngày
- Lọc bộ chỉ số  (VNIndex, HNX Index, UPCoM Index)
- Lọc GT Khớp lệnh/ Tổng GTGD
- Lọc theo Phân loại NĐT
- Lọc theo bộ lọc ngày: 1 ngày/5 ngày/20 ngày trước",Mã chỉ số,,,
,,,Giá,Giá đóng cửa của chỉ số,Cần hỏi chị Ngọc nếu 5 ngày thì mấy giá này tính sao ,
,,,Giá mở cửa,Giá giao dịch đầu tiên trong ngày của chỉ số,,
,,,Giá cao nhất,Giá giao dịch cao nhất trong ngày của chỉ số,,
,,,Giá thấp nhất,Giá giao dịch thấp nhất trong ngày của chỉ số ,,
,,,% Thay đổi giá,"% Thay đổi giá tại 1 ngày:
(Giá đóng cửa / Giá tham chiếu - 1) * 100 ( Đến ngày ). Công thức sổ lệnh của 1 ngày:
[(P_close_t / P_reference_t) - 1]* 100",,
,,,Phân loại nhà đầu tư,"- Dựa trên phân loại của sổ lệnh 
1. Hose: 
* Buy - Invest Type: 
""1000 / 8000: Cá nhân (Individual)
1100: Cá nhân trong nước
1200: Cá nhân chuyên nghiệp
2000: Công ty bảo hiểm
2100: Công ty bảo hiểm nhân thọ
2200: Bảo hiểm phi nhân thọ
3000: Quỹ đầu tư
3100: Quỹ cụ thể (mutual fund)
3200: ETF
3300: Hedge fund
4000: Ngân hàng
5000: Công ty chứng khoán
5100: CTCK tự doanh
5200: CTCK môi giới
6000: Tổ chức khác
7000: Nhà đầu tư nước ngoài
7100: Tổ chức nước ngoài
7200: Cá nhân nước ngoài
9000: Không xác định / khác""
* Sell - Invest Type: 
""1000 / 8000: Cá nhân (Individual); 
1100: Cá nhân trong nước
1200: Cá nhân chuyên nghiệp
2000: Công ty bảo hiểm
2100: Công ty bảo hiểm nhân thọ
2200: Bảo hiểm phi nhân thọ
3000: Quỹ đầu tư
3100: Quỹ cụ thể (mutual fund)
3200: ETF
3300: Hedge fund
4000: Ngân hàng
5000: Công ty chứng khoán
5100: CTCK tự doanh
5200: CTCK môi giới
6000: Tổ chức khác
7000: Nhà đầu tư nước ngoài
7100: Tổ chức nước ngoài
7200: Cá nhân nước ngoài
9000: Không xác định / khác 
2. HNX: 
*Sell investor classification code:
""1000  Securities company and Futures company
2000  Insurance company
3000  Asset management company and Investment  company
3100  Private fund
4000  Bank ( Trust asset of Asset management company 
           will be classified into Asset management company )
5000  General finance company, Mutual savings bank
6000  Pension, Fund and  Mutual aid
7000  Country,  Self-governing body and International 
           organization
7100  Misc coorporation
8000  Individual
* Buy investor classification code:
""1000  Securities company and Futures company
2000  Insurance company
3000  Asset management company and Investment  company
3100  Private fund
4000  Bank ( Trust asset of Asset management company 
           will be classified into Asset management company )
5000  General finance company, Mutual savings bank
6000  Pension, Fund and  Mutual aid
7000  Country,  Self-governing body and International 
           organization
7100  Misc coorporation
8000  Individual
",,
,,,Giá trị mua theo phân loại nhà đầu tư,"GTGD mua theo từng phân loại nhà đầu tư: tính từ sổ lênh khớp
- Nếu không chọn ""khớp lệnh"": Là tổng GTGD
- Nếu chọn ""khớp lệnh"": Là GTGD khớp lệnh.Điều kiện
Hose: Khớp lệnh 
MARKET_ID IN ('STK')
AND BOARD_TYPE <> ('T1','T2','T3','T4','T6','R1')
đối với HNX: Khớp lệnh 
MARKET_ID IN ('STX','UPX')
And BOARD_ID <> ('T1','T2','T3','T4','T6','R1')
",,
,,,Giá trị bán theo phân loại nhà đầu tư,"GTGD bán theo từng phân loại nhà đầu tư: tính từ sổ lênh khớp
- Nếu không chọn ""khớp lệnh"": Là tổng GTGD
- Nếu chọn ""khớp lệnh"": Là GTGD khớp lệnh.Điều kiện
Hose: Khớp lệnh 
t.MARKET_ID IN ('STK')
AND t.BOARD_TYPE <> ('T1','T2','T3','T4','T6','R1')
đối với HNX: Khớp lệnh 
t.MARKET_ID IN ('STX','UPX')
And BOARD_ID <> ('T1','T2','T3','T4','T6','R1')
",,
,,,Giá trị ròng theo phân loại nhà đầu tư,"*GTGD ròng =  GTGD mua - GTGD bán theo từng phân loại nhà đầu : Tính từ sổ lệnh khớp.
- Nếu không chọn ""khớp lệnh"": Là tổng GTGD
- Nếu chọn ""khớp lệnh"": Là GTGD khớp lệnh.Điều kiện
Hose: Khớp lệnh 
MARKET_ID IN ('STK')
AND BOARD_TYPE <> ('T1','T2','T3','T4','T6','R1')
đối với HNX: Khớp lệnh 
MARKET_ID IN ('STX','UPX')
And BOARD_ID <> ('T1','T2','T3','T4','T6','R1')
",,
,,,Giá trị mua  ròng theo phân loại nhà đầu tư,"*GTGD ròng =  GTGD mua - GTGD bán theo từng phân loại nhà đầu : Tính từ sổ lệnh khớp.
GTGD ròng > 0 >> Giá trị mua ròng
- Nếu không chọn ""khớp lệnh"": Là tổng GTGD
- Nếu chọn ""khớp lệnh"": Là GTGD khớp lệnh.Điều kiện
Hose: Khớp lệnh 
MARKET_ID IN ('STK')
AND BOARD_TYPE <> ('T1','T2','T3','T4','T6','R1')
đối với HNX: Khớp lệnh 
MARKET_ID IN ('STX','UPX')
And BOARD_ID <> ('T1','T2','T3','T4','T6','R1')
",,
,,,Giá trị bán ròng theo phân loại nhà đầu tư,"*GTGD ròng =  GTGD mua - GTGD bán theo từng phân loại nhà đầu : Tính từ sổ lệnh khớp.
GTGD ròng < 0 >> Giá trị bán ròng
- Nếu không chọn ""khớp lệnh"": Là tổng GTGD
- Nếu chọn ""khớp lệnh"": Là GTGD khớp lệnh.Điều kiện
Hose: Khớp lệnh 
MARKET_ID IN ('STK')
AND BOARD_TYPE <> ('T1','T2','T3','T4','T6','R1')
đối với HNX: Khớp lệnh 
MARKET_ID IN ('STX','UPX')
And BOARD_ID <> ('T1','T2','T3','T4','T6','R1')
",,
Sở hữu và giao dịch nội bộ ,"Biểu đồ tròn miêu
tả dữ liệu trực quan về các cổ đông lớn, trong khi đó bảng dữ liệu cung cấp chi tiết dữ liệu về toàn
bộ cổ đông và ban điều hành doanh nghiệp. Ngoài ra, bằng cách di chuyển con trỏ chuột vào tên
từng cổ đông, bạn có thể biết chi tiết về danh mục đầu tư và giao dịch nội bộ của từng cổ đông.","- Tại ngày
- Lọc mã chứng khoán",Mã chứng khoán,,,
,,,Sở hữu nước ngoài,,,
,,,Sở hữu trong nước,,,
,,,Tên cổ đông,"- Khi tích chọn cổ đông lớn: 
Tên của cổ đông lớn 
- Khi tích chọn người nội ban lãnh đạo: 
Tên của bên người nội bộ/ ban lãnh đạo",,
,,,Số cổ phiếu,"- Khi tích chọn cổ đông lớn: 
Tổng số cổ phiếu mà cổ đông lớn nắm giữ
- Khi tích chọn người nội ban lãnh đạo: 
Tổng số cổ phiếu mà người nội bộ/ ban lãnh đạo nắm giữ",,
,,,Tỷ lệ sở hữu ,"- Khi tích chọn cổ đông lớn: 
Tổng tỷ lệ sở hữu cổ phiếu mà cổ đông lớn nắm giữ
- Khi tích chọn người nội ban lãnh đạo: 
Tổng tỷ lệ sở hữu cổ phiếu mà người nội bộ/ ban lãnh đạo nắm giữ",,
,,,Ngày cập nhật,,,
,,,Chức vụ của người nội bộ/ người liên quan,,,
Data explorer >> giao dịch và thanh khoản >> danh mục: giao dịch và thanh khoản,Giao dịch chi tiết theo từng mã chứng khoán theo từng ngày được chọn,"- Lọc từ ngày đến ngày 
- Lọc mã chứng khoán 
- Lọc theo chỉ số
- Lọc theo ngành",Mã chứng khoán,,,
,,,Tổng KLGD,"Tổng KLGD từng ngày : Tính từ sổ lệnh khớp ( trade hose/trade hnx)
Tính từ sổ lệnh khớp Là KLGD khớp lệnh.",,
,,,Tổng GTGD,"Tổng GTGD từng ngày : Tính từ sổ lệnh khớp ( trade hose/trade hnx)
Tính từ sổ lệnh khớp Là KLGD khớp lệnh.",,
,,,KLGD thỏa thuận,"Tổng KLGD từng ngày : Tính từ sổ lệnh khớp ( trade hose/trade hnx)
Tính từ sổ lệnh khớp Là KLGD thỏa thuận.",,
,,,GTGD thỏa thuận ,"Tổng GTGD từng ngày : Tính từ sổ lệnh khớp ( trade hose/trade hnx)
Tính từ sổ lệnh khớp Là GTGD thỏa thuận.",,
,,,Vốn hóa ,Vốn hóa = Giá đóng cửa tại từng ngày * Khối lượng cổ phiếu lưu hành tại ngày cuối kỳ báo cáo từng ngày,,
,,,P/E,"Tính P/E tại ngày cuối kỳ báo cáo từng ngày:
P/E = Giá đóng cửa / EPS
Trong đó: EPS = LNST / Khối lượng cổ phiếu lưu hành
  - LNST: Tổng LNST trượt TTM (4 quý liên tiếp gần nhất)
  - Khối lượng cổ phiếu lưu hành tính tại ngày cuối kỳ báo cáo",,
,,,P/B,"Tính P/B tại ngày cuối kỳ báo cáo từng ngày:
P/B = Giá đóng cửa/ Giá trị sổ sách của cổ phiếu.
Trong đó: Giá trị sổ sách = VCSH/ Khối lượng cổ phiếu lưu hành
  - VCSH: Lấy từ BCTC của kỳ gần nhất với ngày tra cứu
  - Khối lượng cổ phiếu lưu hành: Tính tại ngày cuối kỳ báo cáo.",,
Data explorer >> giao dịch và thanh khoản >> danh mục: giao dịch nước ngoài,Giao dịch của Nhà đầu tư nước ngoài theo từng ngày ,"- Lọc từ ngày đến ngày 
- Lọc mã chứng khoán 
- Lọc theo chỉ số
- Lọc theo ngành",KLNN mua ,Tổng KLGD mua của NĐTNN trong ngày: Tính từ sổ lệnh khớp. ,,
,,,KLNN bán ,Tổng KLGD bán của NĐTNN trong ngày: Tính từ sổ lệnh khớp. ,,
,,,KLNN ròng ,KLNN Ròng = KLGD mua - bán của NĐTNN,,
,,,GTNN mua ,Tổng GTGD mua của NĐTNN trong ngày: Tính từ sổ lệnh khớp. ,,
,,,GTNN bán ,Tổng GTGD bán của NĐTNN trong ngày: Tính từ sổ lệnh khớp. ,,
,,,GTNN ròng,KLNN Ròng = GTGD mua - bán của NĐTNN,,
Data explorer >> giao dịch và thanh khoản >> danh mục: giao dịch tự doanh,GIao dịch tự doanh theo từng ngày,"- Lọc từ ngày đến ngày 
- Lọc mã chứng khoán 
- Lọc theo chỉ số
- Lọc theo ngành",Mã chứng khoán,,,
,,,KL tự doanh mua ,"Tổng KL tự doanh mua của từng  ngày . TÍnh từ sổ lệnh khớp. Điều kiện:
- HOSE: Buy - Client/House Classification Code = '30'
- HNX:  Buy client/house classification = '30'
",,
,,,KL tự doanh bán ,"Tổng KL tự doanh bán của từng  ngày . TÍnh từ sổ lệnh khớp. Điều kiện:
- HOSE: Sell- Client/House Classification Code = '30'
- HNX:  Sellclient/house classification = '30'
",,
,,,KL tự doanh ròng ,KL tự doanh ròng = KL tự doanh mua - KL tự doanh bán ,,
,,,GT mua tự doanh,"Tổng GT tự doanh mua của từng  ngày . TÍnh từ sổ lệnh khớp. Điều kiện:
- HOSE: Buy - Client/House Classification Code = '30'
- HNX:  Buy client/house classification = '30'
",,
,,,GT bán tự doanh,"Tổng GT tự doanh bán của từng  ngày . TÍnh từ sổ lệnh khớp. Điều kiện:
- HOSE: Sell- Client/House Classification Code = '30'
- HNX:  Sellclient/house classification = '30'
",,
,,,GT tự doanh ròng,GT tự doanh ròng = GT tự doanh mua - GT tự doanh bán ,,
Data explorer >> giao dịch và thanh khoản >> giá và biến động,Theo giá của từng mã chứng khoán,"- Lọc từ ngày đến ngày 
- Lọc mã chứng khoán 
- Lọc theo chỉ số
- Lọc theo ngành",Mã chứng khoán,,,
,,,Giá,Giá đóng cửa tại từng ngày cuối kỳ báo cáo,,
,,,% Thay đổi giá,"% Thay đổi giá tại từng ngày:
(Giá đóng cửa / Giá tham chiếu - 1) * 100 ( Đến ngày ). Công thức sổ lệnh của 1 ngày:
[(P_close_t / P_reference_t) - 1]* 100",,
,,,Giá mở cửa,Giá giao dịch đầu tiên của từng ngày,,
,,,Giá cao nhất,Giá giao dịch cao nhất  của từng ngày,,
,,,Giá thấp nhất,Giá giao dịch thấp nhất của từng ngày,,
Data explorer >> giao dịch và thanh khoản >> Chỉ số,,"- Lọc từ ngày đến ngày 
- Lọc theo chỉ số",Mã chỉ số,"Mã chỉ số bao gồm: VNIndex, HNX Index, UPCoM Index,..",,
,,,Giá ,Giá đóng cửa tại từng ngày của chỉ số,,
,,,% thay đổi giá,"% Thay đổi giá tại từng ngày:
(Giá đóng cửa / Giá tham chiếu - 1) * 100 ( Đến ngày ). Công thức sổ lệnh của 1 ngày:
[(P_close_t / P_reference_t) - 1]* 100",,
,,,KLGD,"Tổng KLGD từng ngày : Tính từ sổ lệnh khớp ( trade hose/trade hnx)
Tính từ sổ lệnh khớp Là KLGD khớp lệnh.",,
,,,GTGD,"Tổng GTGD từng ngày : Tính từ sổ lệnh khớp ( trade hose/trade hnx)
Tính từ sổ lệnh khớp Là KLGD khớp lệnh.",,
,,,KLGD thỏa thuận,"Tổng KLGD từng ngày : Tính từ sổ lệnh khớp ( trade hose/trade hnx)
Tính từ sổ lệnh khớp Là KLGD thỏa thuận.",,
,,,GTGD thỏa thuận ,"Tổng GTGD từng ngày : Tính từ sổ lệnh khớp ( trade hose/trade hnx)
Tính từ sổ lệnh khớp Là GTGD thỏa thuận.",,
,,,KLNN ròng ,KLNN ròng  = KLNN mua - KLNN bán,,
,,,GTNN ròng,GTNN ròng = GTNN mua - GTNN bán ,,
Data explorer >> giao dịch và thanh khoản >>Sở hữu và giao dịch nội bộ,,"- Lọc từ ngày đến ngày 
- Lọc theo mã chứng khoán",Mã chứng khoán,,,
,,,Tên cổ đông,,,
,,,Số cổ phiếu,,,
,,,Tỷ lệ sở hữu ,,,
,,,Ngày cập nhật,,,
Báo cáo Thống kê định giá TTCK Việt Nam,,- Lọc tại ngày,Thời gian,Thời gian lọc tại ngày,,
,,,Mã chứng khoán,,,
,,,Ngày giao dịch đầu tiên,Ngày giao dịch đầu tiên của mã chứng khoán,,
,,,Giá đóng cửa ,Giá đóng cửa của mã chứng khoán tại ngày,,
,,,Vốn hóa,Vốn hóa = Giá đóng cửa tại từng ngày * Khối lượng cổ phiếu lưu hành tại ngày cuối kỳ báo cáo từng ngày,,
,,,Giá cao nhất 4/52 tuần gần nhất,Giá cao nhất trong 4 tuần gần nhất ,,
,,,Giá thấp nhất 4/52 tuần gần nhất,Giá thấp nhất trong 4 tuần gần nhất ,,
,,,Khối lượng niêm cổ phiếu niêm yết hiện tại,Khối lượng chứng khoán niêm yết,,
,,,Khối lượng cổ phiếu đang lưu hành,Khối lượng cổ phiếu lưu hành,,
,,,Khối lượng cổ phiếu đang lưu hành bình quân,Khối lượng cổ phiếu lưu hành bình quân gần nhất ,,
,,,EPS quý gần nhất,"EPS theo quý gần nhất 
EPS = LNST / Khối lượng cổ phiếu lưu hành
  - LNST: Tổng LNST trượt TTM
  - Khối lượng cổ phiếu lưu hành tính tại ngày cuối kỳ báo cáo",,
,,,EPS bình quân 4 quý gần nhất," EPS = LNST / Khối lượng cổ phiếu lưu hành
  - LNST: Tổng LNST trượt TTM (4 quý liên tiếp gần nhất)
  - Khối lượng cổ phiếu lưu hành tính tại ngày cuối kỳ báo cáo""",,
,,,Giá trị sổ sách quý gần nhất (B)," VCSH  quý gần nhất/ Khối lượng cổ phiếu lưu hành tính tại ngày cuối kỳ báo cáo""",,
,,,Giá trị sổ sách bình quân 4 quý gần nhất," VCSH của 4 quý gần nhất/ Khối lượng cổ phiếu lưu hành tính tại ngày cuối kỳ báo cáo""",,
,,,P/E,"""Tính P/E tại ngày cuối kỳ báo cáo:
P/E = Giá đóng cửa / EPS
Trong đó: EPS = LNST / Khối lượng cổ phiếu lưu hành
  - LNST: Tổng LNST trượt TTM (4 quý liên tiếp gần nhất)
  - Khối lượng cổ phiếu lưu hành tính tại ngày cuối kỳ báo cáo""",,
,,,P/B,"Tính P/B tại ngày cuối kỳ báo cáo (Đến ngày):
P/B = Giá đóng cửa/ Giá trị sổ sách của cổ phiếu.
Trong đó: Giá trị sổ sách = VCSH/ Khối lượng cổ phiếu lưu hành
  - VCSH: Lấy từ BCTC của kỳ gần nhất với ngày tra cứu
  - Khối lượng cổ phiếu lưu hành: Tính tại ngày cuối kỳ báo cáo.",,
