STT;Mã;Dashboard/báo cáo;Thông tin;Mô tả;Nhóm yêu cầu;Phân loại;Đánh giá;Độ chi tiết;Nguồn;Cần phân tích?;Cần test?;DL lịch sử?;Trạng thái mapping;Mapping (nghiệp vụ);Bảng nguồn;Trường nguồn;Điều kiện dữ liệu;Câu lệnh SQL;Note;Kết quả Test;Model;DMT
13;;Dashboard Giám sát tổng hợp theo sàn HNX -Tổng hợp chỉ tiêu tài chính & thống kê ngành;Vốn điều lệ;Σ Vốn điều lệ, Vốn góp của chủ sở hữu của tất cả DN trên sàn;Dashboard;Chỉ tiêu cơ sở;Trùng;Ngày, Sàn;IDS - GSĐC;;X;;Done;;"IDS.data (d),
IDS.report_catalog (rc),
IDS.company_data (cd),
IDS.company_detail (cdet)";cdet.equity_listing_exch, SUM(d.data_value) AS von_dieu_le;"rc2.col_desc = '1'
AND rc.report_cd LIKE 'BCDKT%'
AND ((rc.enterprise_type_cd='dn' AND rr.row_desc='411')
OR (rc.enterprise_type_cd='bh' AND rr.row_desc='411')
OR (rc.enterprise_type_cd='td' AND rr.row_desc='411'))
AND cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";"SELECT cdet.equity_listing_exch, SUM(d.data_value) AS von_dieu_le
FROM IDS.data d
JOIN IDS.report_catalog rc ON d.report_catalog_id=rc.id
JOIN IDS.rrow rr ON rr.row_cd = d.row_cd AND rr.report_catalog_id = d.report_catalog_id
JOIN IDS.rcol rc2 ON rc2.col_cd = d.col_cd AND rc2.report_catalog_id = d.report_catalog_id
JOIN IDS.company_data cd ON d.company_data_id=cd.id
JOIN IDS.company_detail cdet ON cdet.company_profile_id=cd.company_profile_id
WHERE rc2.col_desc = '1'
AND rc.report_cd LIKE 'BCDKT%'
AND cd.report_year=:year AND cd.report_quarter=:quarter
AND ((rc.enterprise_type_cd='dn' AND rr.row_desc IN ('411'))
OR (rc.enterprise_type_cd='bh' AND rr.row_desc IN ('411'))
OR (rc.enterprise_type_cd='td' AND rr.row_desc IN ('411')))
AND cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";;;;
13;;Dashboard Giám sát tổng hợp theo sàn HNX -Tổng hợp chỉ tiêu tài chính & thống kê ngành;Lợi nhuận sau thuế;Σ Lợi nhuận sau thuế của tất cả DN trên sàn;Dashboard;Chỉ tiêu cơ sở;Trùng;Ngày, Sàn;IDS - GSĐC;;X;;Done;;"IDS.data (d),
IDS.report_catalog (rc),
IDS.company_data (cd),
IDS.company_detail (cdet)";cdet.equity_listing_exch, SUM(d.data_value) AS lnst;"rc2.col_desc = '1'
AND rc.report_cd LIKE 'BCKQKD%'
AND ((rc.enterprise_type_cd='dn' AND rr.row_desc='60')
OR (rc.enterprise_type_cd='bh' AND rr.row_desc='60')
OR (rc.enterprise_type_cd='td' AND rr.row_desc='21'))
AND cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";"SELECT cdet.equity_listing_exch, SUM(d.data_value) AS lnst
FROM IDS.data d
JOIN IDS.report_catalog rc ON d.report_catalog_id=rc.id
JOIN IDS.rrow rr ON rr.row_cd = d.row_cd AND rr.report_catalog_id = d.report_catalog_id
JOIN IDS.rcol rc2 ON rc2.col_cd = d.col_cd AND rc2.report_catalog_id = d.report_catalog_id
JOIN IDS.company_data cd ON d.company_data_id=cd.id
JOIN IDS.company_detail cdet ON cdet.company_profile_id=cd.company_profile_id
WHERE rc2.col_desc = '1'
AND rc.report_cd LIKE 'BCKQKD%'
AND cd.report_year=:year AND cd.report_quarter=:quarter
AND ((rc.enterprise_type_cd='dn' AND rr.row_desc IN ('60'))
OR (rc.enterprise_type_cd='bh' AND rr.row_desc IN ('60'))
OR (rc.enterprise_type_cd='td' AND rr.row_desc IN ('21')))
AND cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";;;;
13;;Dashboard Giám sát tổng hợp theo sàn HNX -Tổng hợp chỉ tiêu tài chính & thống kê ngành;ROA;"ROE = (LNST/Tổng tài sản bình quân) * 100%
Tổng tài sản bình quân = (Tổng tài sản đầu kỳ + Tổng tài sản cuối kỳ)/2";Dashboard;Chỉ tiêu cơ sở;Trùng;Ngày, Sàn;IDS - GSĐC;;X;;Done;;"IDS.data (d),
IDS.report_catalog (rc),
IDS.company_data (cd),
IDS.company_detail (cdet)";cdet.equity_listing_exch, SUM(lnst) / SUM(TSBQ) * 100 AS roa_pct;"Tổng tài sản bình quân = (ts_dầu_kỳ + ts_cuối_kỳ)/2
LNST cuối kỳ
-- Chỉ tiêu phái sinh tổng hợp toàn thị trường
AND cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";"-- ROA = LNST / Tổng tài sản bình quân * 100%
-- TSBQ = (TS đầu kỳ + TS cuối kỳ) / 2
WITH ts_bq AS (
SELECT cd.company_profile_id,
SUM(CASE WHEN rc2.col_desc = '2' THEN d.data_value ELSE 0 END) AS ts_dau,
SUM(CASE WHEN rc2.col_desc = '1' THEN d.data_value ELSE 0 END) AS ts_cuoi
FROM IDS.data d
JOIN IDS.report_catalog rc ON d.report_catalog_id=rc.id
JOIN IDS.rrow rr ON rr.row_cd = d.row_cd AND rr.report_catalog_id = d.report_catalog_id
JOIN IDS.rcol rc2 ON rc2.col_cd = d.col_cd AND rc2.report_catalog_id = d.report_catalog_id
JOIN IDS.company_data cd ON d.company_data_id=cd.id
WHERE cd.report_year=:year AND cd.report_quarter=:quarter
AND rc.report_cd LIKE 'BCDKT%'
AND ((rc.enterprise_type_cd='dn' AND rr.row_desc='270')
OR (rc.enterprise_type_cd='bh' AND rr.row_desc='270')
OR (rc.enterprise_type_cd='td' AND rr.row_desc='300'))
GROUP BY cd.company_profile_id
), lnst AS (
SELECT cd.company_profile_id, SUM(d.data_value) AS lnst
FROM IDS.data d
JOIN IDS.report_catalog rc ON d.report_catalog_id=rc.id
JOIN IDS.company_data cd ON d.company_data_id=cd.id
WHERE rc2.col_desc = '1'
AND rc.report_cd LIKE 'BCKQKD%' AND cd.report_year=:year AND cd.report_quarter=:quarter
AND ((rc.enterprise_type_cd='dn' AND rr.row_desc='60')
OR (rc.enterprise_type_cd='bh' AND rr.row_desc='60')
OR (rc.enterprise_type_cd='td' AND rr.row_desc='21'))
GROUP BY cd.company_profile_id
)
SELECT cdet.equity_listing_exch, SUM(l.lnst) / NULLIF(SUM(
CASE WHEN t.ts_dau IS NULL THEN t.ts_cuoi
WHEN t.ts_cuoi IS NULL THEN t.ts_dau
ELSE (t.ts_dau+t.ts_cuoi)/2 END),0)*100 AS roa_pct
FROM ts_bq t JOIN lnst l ON l.company_profile_id=t.company_profile_id
JOIN IDS.company_detail cdet ON cdet.company_profile_id=t.company_profile_id
where cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";;;;
13;;Dashboard Giám sát tổng hợp theo sàn HNX -Tổng hợp chỉ tiêu tài chính & thống kê ngành;ROE;"ROE = (LNST/VCSH bình quân) * 100%
VCSH bình quân = (VCSH đầu kỳ + VCSH cuối kỳ)/2";Dashboard;Chỉ tiêu cơ sở;Trùng;Ngày, Sàn;IDS - GSĐC;;X;;Done;;"IDS.data (d),
IDS.report_catalog (rc),
IDS.company_data (cd),
IDS.company_detail (cdet)";cdet.equity_listing_exch, SUM(lnst) / SUM(VCSHBQ) * 100 AS roe_pct;"VCSH bình quân = (vcsh_đầu_kỳ + vcsh_cuối_kỳ)/2
LNST cuối kỳ
AND cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";"-- ROA = LNST / VCSH bình quân * 100%
-- VCSHBQ = (TS đầu kỳ + TS cuối kỳ) / 2
WITH ts_bq AS (
SELECT cd.company_profile_id,
SUM(CASE WHEN rc2.col_desc = '2' THEN d.data_value ELSE 0 END) AS vcsh_dau,
SUM(CASE WHEN rc2.col_desc = '1' THEN d.data_value ELSE 0 END) AS vcsh_cuoi
FROM IDS.data d
JOIN IDS.report_catalog rc ON d.report_catalog_id=rc.id
JOIN IDS.rrow rr ON rr.row_cd = d.row_cd AND rr.report_catalog_id = d.report_catalog_id
JOIN IDS.rcol rc2 ON rc2.col_cd = d.col_cd AND rc2.report_catalog_id = d.report_catalog_id
JOIN IDS.company_data cd ON d.company_data_id=cd.id
WHERE cd.report_year=:year AND cd.report_quarter=:quarter
AND rc.report_cd LIKE 'BCDKT%'
AND ((rc.enterprise_type_cd='dn' AND rr.row_desc='400')
OR (rc.enterprise_type_cd='bh' AND rr.row_desc='D')
OR (rc.enterprise_type_cd='td' AND rr.row_desc='500'))
GROUP BY cd.company_profile_id
), lnst AS (
SELECT cd.company_profile_id, SUM(d.data_value) AS lnst
FROM IDS.data d
JOIN IDS.report_catalog rc ON d.report_catalog_id=rc.id
JOIN IDS.company_data cd ON d.company_data_id=cd.id
WHERE rc2.col_desc = '1'
AND rc.report_cd LIKE 'BCKQKD%' AND cd.report_year=:year AND cd.report_quarter=:quarter
AND ((rc.enterprise_type_cd='dn' AND rr.row_desc='60')
OR (rc.enterprise_type_cd='bh' AND rr.row_desc='60')
OR (rc.enterprise_type_cd='td' AND rr.row_desc='21'))
GROUP BY cd.company_profile_id
)
SELECT cdet.equity_listing_exch, SUM(l.lnst) / NULLIF(SUM(
CASE WHEN t.vcsh_dau IS NULL THEN t.vcsh_cuoi
WHEN t.vcsh_cuoi IS NULL THEN t.vcsh_dau
ELSE (t.vcsh_dau+t.vcsh_cuoi)/2 END),0)*100 AS roe_pct
FROM ts_bq t JOIN lnst l ON l.company_profile_id=t.company_profile_id
JOIN IDS.company_detail cdet ON cdet.company_profile_id=t.company_profile_id
where cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";;;;
13;;Dashboard Giám sát tổng hợp theo sàn HNX -Tổng hợp chỉ tiêu tài chính & thống kê ngành;Hàng Tồn Kho;Σ Giá trị hàng tồn kho của tất cả DN trên sàn;Dashboard;Chỉ tiêu cơ sở;Trùng;Ngày, Sàn;IDS - GSĐC;;X;;Done;;"IDS.data (d),
IDS.report_catalog (rc),
IDS.company_data (cd),
IDS.company_detail (cdet)";cdet.equity_listing_exch, SUM(d.data_value) AS hang_ton_kho;"rc2.col_desc = '1'
AND rc.report_cd LIKE 'BCDKT%'
AND ((rc.enterprise_type_cd='dn' AND rr.row_desc='140')
OR (rc.enterprise_type_cd='bh' AND rr.row_desc='140'))
-- Lưu ý: Tổ chức tín dụng không có HTK
AND cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";"SELECT cdet.equity_listing_exch, SUM(d.data_value) AS hang_ton_kho
FROM IDS.data d
JOIN IDS.report_catalog rc ON d.report_catalog_id=rc.id
JOIN IDS.rrow rr ON rr.row_cd = d.row_cd AND rr.report_catalog_id = d.report_catalog_id
JOIN IDS.rcol rc2 ON rc2.col_cd = d.col_cd AND rc2.report_catalog_id = d.report_catalog_id
JOIN IDS.company_data cd ON d.company_data_id=cd.id
JOIN IDS.company_detail cdet ON cdet.company_profile_id=cd.company_profile_id
WHERE rc2.col_desc = '1'
AND rc.report_cd LIKE 'BCDKT%'
AND cd.report_year=:year AND cd.report_quarter=:quarter
AND ((rc.enterprise_type_cd='dn' AND rr.row_desc='140')
OR (rc.enterprise_type_cd='bh' AND rr.row_desc='140'))
AND cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";;;;
13;;Dashboard Giám sát tổng hợp theo sàn HNX -Tổng hợp chỉ tiêu tài chính & thống kê ngành;Doanh thu;Σ Doanh thu của tất cả DN trên sàn;Dashboard;Chỉ tiêu cơ sở;Trùng;Ngày, Sàn;IDS - GSĐC;;X;;Done;;"IDS.data (d),
IDS.report_catalog (rc),
IDS.company_data (cd),
IDS.company_detail (cdet)";cdet.equity_listing_exch, SUM(d.data_value) AS doanh_thu;"rc2.col_desc = '1'
AND rc.report_cd LIKE 'BCKQKD%'
AND ((rc.enterprise_type_cd='dn' AND rr.row_desc='10')
OR (rc.enterprise_type_cd='bh' AND rr.row_desc='10')
OR (rc.enterprise_type_cd='td' AND rr.row_desc='03'))
AND cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";"SELECT cdet.equity_listing_exch, SUM(d.data_value) AS doanh_thu
FROM IDS.data d
JOIN IDS.report_catalog rc ON d.report_catalog_id=rc.id
JOIN IDS.rrow rr ON rr.row_cd = d.row_cd AND rr.report_catalog_id = d.report_catalog_id
JOIN IDS.rcol rc2 ON rc2.col_cd = d.col_cd AND rc2.report_catalog_id = d.report_catalog_id
JOIN IDS.company_data cd ON d.company_data_id=cd.id
JOIN IDS.company_detail cdet ON cdet.company_profile_id=cd.company_profile_id
WHERE rc2.col_desc = '1'
AND rc.report_cd LIKE 'BCKQKD%'
AND cd.report_year=:year AND cd.report_quarter=:quarter
AND ((rc.enterprise_type_cd='dn' AND rr.row_desc IN ('10'))
OR (rc.enterprise_type_cd='bh' AND rr.row_desc IN ('10'))
OR (rc.enterprise_type_cd='td' AND rr.row_desc IN ('03')))
AND cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";;;;
13;;Dashboard Giám sát tổng hợp theo sàn HNX -Tổng hợp chỉ tiêu tài chính & thống kê ngành;Lợi nhuận dồn tích (YTD);Σ LNST của tất cả DN trên sàn từ đầu năm đến kỳ báo cáo;Dashboard;Chỉ tiêu cơ sở;Trùng;Ngày, Sàn;IDS - GSĐC;;X;;Done;;"IDS.data (d),
IDS.report_catalog (rc),
IDS.company_data (cd),
IDS.company_detail (cdet)";cdet.equity_listing_exch, SUM(d.data_value) AS lnst_ytd;"rc2.col_desc = '1'
AND rc.report_cd LIKE 'BCDKT%'
AND cd.report_year=:year AND cd.report_quarter=:quarter
AND ((rc.enterprise_type_cd='dn' AND rr.row_desc='421')
OR (rc.enterprise_type_cd='bh' AND rr.row_desc='421'))
-- LNST YTD = giá trị lũy kế từ đầu năm đến cuối kỳ
AND cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";"SELECT cdet.equity_listing_exch, SUM(d.data_value) AS lnst_ytd
FROM IDS.data d
JOIN IDS.report_catalog rc ON d.report_catalog_id=rc.id
JOIN IDS.rrow rr ON rr.row_cd = d.row_cd AND rr.report_catalog_id = d.report_catalog_id
JOIN IDS.rcol rc2 ON rc2.col_cd = d.col_cd AND rc2.report_catalog_id = d.report_catalog_id
JOIN IDS.company_data cd ON d.company_data_id=cd.id
JOIN IDS.company_detail cdet ON cdet.company_profile_id=cd.company_profile_id
WHERE rc2.col_desc = '1'
AND rc.report_cd LIKE 'BCDKT%'
AND cd.report_year=:year AND cd.report_quarter=:quarter
AND ((rc.enterprise_type_cd='dn' AND rr.row_desc='421')
OR (rc.enterprise_type_cd='bh' AND rr.row_desc='421'))
AND cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";;;;
13;;Dashboard Giám sát tổng hợp theo sàn HNX -Tổng hợp chỉ tiêu tài chính & thống kê ngành;Phải thu;Tổng phải thu = Phải thu ngắn hạn + Phải thu dài hạn;Dashboard;Chỉ tiêu cơ sở;Trùng;Ngày, Sàn;IDS - GSĐC;;X;;Done;;"IDS.data (d),
IDS.report_catalog (rc),
IDS.company_data (cd),
IDS.company_detail (cdet)";cdet.equity_listing_exch, SUM(d.data_value) AS phai_thu;"rc2.col_desc = '1' 
AND rc.report_cd LIKE 'BCDKT%' 
AND cd.report_year=:year AND cd.report_quarter=:quarter 
AND ((rc.enterprise_type_cd='dn' AND rr.row_desc IN ('130', '210')) 
OR (rc.enterprise_type_cd='bh' AND rr.row_desc IN ('130', '210')) 
OR (rc.enterprise_type_cd='td' AND rr.row_desc IN ('251')) 
)
AND cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";"SELECT cdet.equity_listing_exch, SUM(d.data_value) AS phai_thu
FROM IDS.data d
JOIN IDS.report_catalog rc ON d.report_catalog_id=rc.id
JOIN IDS.rrow rr ON rr.row_cd = d.row_cd AND rr.report_catalog_id = d.report_catalog_id
JOIN IDS.rcol rc2 ON rc2.col_cd = d.col_cd AND rc2.report_catalog_id = d.report_catalog_id
JOIN IDS.company_data cd ON d.company_data_id=cd.id
JOIN IDS.company_detail cdet ON cdet.company_profile_id=cd.company_profile_id
WHERE rc2.col_desc = '1'
AND rc.report_cd LIKE 'BCDKT%'
AND cd.report_year = :year AND cd.report_quarter = :quarter
AND ((rc.enterprise_type_cd='dn' AND rr.row_desc IN ('130','210'))
OR (rc.enterprise_type_cd='bh' AND rr.row_desc IN ('130','210'))
OR (rc.enterprise_type_cd='td' AND rr.row_desc IN ('251')))
AND cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";;;;
13;;Dashboard Giám sát tổng hợp theo sàn HNX -Tổng hợp chỉ tiêu tài chính & thống kê ngành;Tiền và tương đương tiền;Tiền và tương đương tiền = Tiền mặt + Tiền gửi ngân hàng + Các khoản tương đương tiền;Dashboard;Chỉ tiêu cơ sở;Trùng;Ngày, Sàn;IDS - GSĐC;;X;;Done;;"IDS.data (d),
IDS.report_catalog (rc),
IDS.company_data (cd),
IDS.company_detail (cdet)";cdet.equity_listing_exch, SUM(d.data_value) AS tien_tuong_duong;"rc2.col_desc = '1'
AND rc.report_cd LIKE 'BCDKT%'
AND ((rc.enterprise_type_cd='dn' AND rr.row_desc='110')
OR (rc.enterprise_type_cd='bh' AND rr.row_desc='110')
OR (rc.enterprise_type_cd='td' AND rr.row_desc IN ('110','120')))
AND cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";"SELECT cdet.equity_listing_exch, SUM(d.data_value) AS tien_tuong_duong
FROM IDS.data d
JOIN IDS.report_catalog rc ON d.report_catalog_id=rc.id
JOIN IDS.rrow rr ON rr.row_cd = d.row_cd AND rr.report_catalog_id = d.report_catalog_id
JOIN IDS.rcol rc2 ON rc2.col_cd = d.col_cd AND rc2.report_catalog_id = d.report_catalog_id
JOIN IDS.company_data cd ON d.company_data_id=cd.id
JOIN IDS.company_detail cdet ON cdet.company_profile_id=cd.company_profile_id
WHERE rc2.col_desc = '1'
AND rc.report_cd LIKE 'BCDKT%'
AND cd.report_year=:year AND cd.report_quarter=:quarter
AND ((rc.enterprise_type_cd='dn' AND rr.row_desc IN ('110'))
OR (rc.enterprise_type_cd='bh' AND rr.row_desc IN ('110'))
OR (rc.enterprise_type_cd='td' AND rr.row_desc IN ('110','120')))
AND cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";;;;
13;;Dashboard Giám sát tổng hợp theo sàn HNX -Tổng hợp chỉ tiêu tài chính & thống kê ngành;Nợ/ Vốn CSH;Tỷ lệ Nợ / Vốn chủ sở hữu = Tổng nợ phải trả / Vốn chủ sở hữu;Dashboard;Chỉ tiêu cơ sở;Trùng;Ngày, Sàn;IDS - GSĐC;;X;;Done;;"IDS.data (d),
IDS.report_catalog (rc),
IDS.company_data (cd),
IDS.company_detail (cdet)";cdet.equity_listing_exch, SUM(no_phai_tra) / NULLIF(SUM(vcsh),0) AS ty_le_no_vcsh;"-- Chỉ tiêu phái sinh
= Tổng nợ phải trả / Vốn chủ sở hữu
AND cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";"-- Chỉ tiêu phái sinh (tính từ các chỉ tiêu cơ sở)
-- Nợ/Vốn CSH = Tổng Nợ Phải Trả / VCSH
AND cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";;;;
13;;Dashboard Giám sát tổng hợp theo sàn HNX -Tổng hợp chỉ tiêu tài chính & thống kê ngành;Tổng tài sản - so sánh thay đổi cùng kỳ năm trước;Σ Tổng tài sản của tất cả DN trên sàn;Dashboard;Chỉ tiêu phái sinh;TB;Ngày, Sàn;IDS - GSĐC;;X;;Done;;"IDS.data (d),
IDS.report_catalog (rc),
IDS.company_data (cd),
IDS.company_detail (cdet)";cdet.equity_listing_exch, (Tổng tài sản_ky_nay - Tổng tài sản_cung_ky) / Tổng tài sản_cung_ky * 100;"Chỉ tiêu phái sinh
= (Kỳ này - Cùng kỳ năm trước) / Cùng kỳ năm trước × 100%
AND cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";"-- Chỉ tiêu phái sinh
-- = (Chỉ tiêu kỳ này - Chỉ tiêu cùng kỳ năm trước) / Chỉ tiêu cùng kỳ năm trước * 100%
-- Tính bằng cách chạy SQL tương ứng với :year và :year-1
SELECT ROUND((ky_nay.gia_tri - ck_truoc.gia_tri)
/ NULLIF(ck_truoc.gia_tri, 0) * 100, 2) AS thay_doi_pct
FROM (<SQL , :year=N>) ky_nay
CROSS JOIN (<SQL , :year=N-1>) ck_truoc";;;;
13;;Dashboard Giám sát tổng hợp theo sàn HNX -Tổng hợp chỉ tiêu tài chính & thống kê ngành;Nợ Phải Trả - so sánh thay đổi cùng kỳ năm trước;Σ Nợ Phải Trả của tất cả DN trên sàn;Dashboard;Chỉ tiêu phái sinh;TB;Ngày, Sàn;IDS - GSĐC;;X;;Done;;"IDS.data (d),
IDS.report_catalog (rc),
IDS.company_data (cd),
IDS.company_detail (cdet)";cdet.equity_listing_exch, (Nợ Phải Trả_ky_nay - Nợ Phải Trả_cung_ky) / Nợ Phải Trả_cung_ky * 100;"Chỉ tiêu phái sinh
= (Kỳ này - Cùng kỳ năm trước) / Cùng kỳ năm trước × 100%
AND cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";"-- Chỉ tiêu phái sinh
-- = (Chỉ tiêu kỳ này - Chỉ tiêu cùng kỳ năm trước) / Chỉ tiêu cùng kỳ năm trước * 100%
-- Tính bằng cách chạy SQL tương ứng với :year và :year-1
SELECT ROUND((ky_nay.gia_tri - ck_truoc.gia_tri)
/ NULLIF(ck_truoc.gia_tri, 0) * 100, 2) AS thay_doi_pct
FROM (<SQL , :year=N>) ky_nay
CROSS JOIN (<SQL , :year=N-1>) ck_truoc";;;;
13;;Dashboard Giám sát tổng hợp theo sàn HNX -Tổng hợp chỉ tiêu tài chính & thống kê ngành;Vốn CSH - so sánh thay đổi cùng kỳ năm trước;Σ VCSH của tất cả các DN trên sàn;Dashboard;Chỉ tiêu phái sinh;TB;Ngày, Sàn;IDS - GSĐC;;X;;Done;;"IDS.data (d),
IDS.report_catalog (rc),
IDS.company_data (cd),
IDS.company_detail (cdet)";cdet.equity_listing_exch, (Vốn CSH_ky_nay - Vốn CSH_cung_ky) / Vốn CSH_cung_ky * 100;"Chỉ tiêu phái sinh
= (Kỳ này - Cùng kỳ năm trước) / Cùng kỳ năm trước × 100%
AND cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";"-- Chỉ tiêu phái sinh
-- = (Chỉ tiêu kỳ này - Chỉ tiêu cùng kỳ năm trước) / Chỉ tiêu cùng kỳ năm trước * 100%
-- Tính bằng cách chạy SQL tương ứng với :year và :year-1
SELECT ROUND((ky_nay.gia_tri - ck_truoc.gia_tri)
/ NULLIF(ck_truoc.gia_tri, 0) * 100, 2) AS thay_doi_pct
FROM (<SQL , :year=N>) ky_nay
CROSS JOIN (<SQL , :year=N-1>) ck_truoc";;;;
13;;Dashboard Giám sát tổng hợp theo sàn HNX -Tổng hợp chỉ tiêu tài chính & thống kê ngành;Vốn điều lệ - so sánh thay đổi cùng kỳ năm trước;Σ Vốn điều lệ, Vốn góp của chủ sở hữu của tất cả DN trên sàn;Dashboard;Chỉ tiêu phái sinh;TB;Ngày, Sàn;IDS - GSĐC;;X;;Done;;"IDS.data (d),
IDS.report_catalog (rc),
IDS.company_data (cd),
IDS.company_detail (cdet)";cdet.equity_listing_exch, (Vốn điều lệ_ky_nay - Vốn điều lệ_cung_ky) / Vốn điều lệ_cung_ky * 100;"Chỉ tiêu phái sinh
= (Kỳ này - Cùng kỳ năm trước) / Cùng kỳ năm trước × 100%
AND cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";"-- Chỉ tiêu phái sinh
-- = (Chỉ tiêu kỳ này - Chỉ tiêu cùng kỳ năm trước) / Chỉ tiêu cùng kỳ năm trước * 100%
-- Tính bằng cách chạy SQL tương ứng với :year và :year-1
SELECT ROUND((ky_nay.gia_tri - ck_truoc.gia_tri)
/ NULLIF(ck_truoc.gia_tri, 0) * 100, 2) AS thay_doi_pct
FROM (<SQL , :year=N>) ky_nay
CROSS JOIN (<SQL , :year=N-1>) ck_truoc";;;;
13;;Dashboard Giám sát tổng hợp theo sàn HNX -Tổng hợp chỉ tiêu tài chính & thống kê ngành;Lợi nhuận sau thuế - so sánh thay đổi cùng kỳ năm trước;Σ Lợi nhuận sau thuế của tất cả DN trên sàn;Dashboard;Chỉ tiêu phái sinh;TB;Ngày, Sàn;IDS - GSĐC;;X;;Done;;"IDS.data (d),
IDS.report_catalog (rc),
IDS.company_data (cd),
IDS.company_detail (cdet)";cdet.equity_listing_exch, (Lợi nhuận sau thuế_ky_nay - Lợi nhuận sau thuế_cung_ky) / Lợi nhuận sau thuế_cung_ky * 100;"Chỉ tiêu phái sinh
= (Kỳ này - Cùng kỳ năm trước) / Cùng kỳ năm trước × 100%
AND cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";"-- Chỉ tiêu phái sinh
-- = (Chỉ tiêu kỳ này - Chỉ tiêu cùng kỳ năm trước) / Chỉ tiêu cùng kỳ năm trước * 100%
-- Tính bằng cách chạy SQL tương ứng với :year và :year-1
SELECT ROUND((ky_nay.gia_tri - ck_truoc.gia_tri)
/ NULLIF(ck_truoc.gia_tri, 0) * 100, 2) AS thay_doi_pct
FROM (<SQL , :year=N>) ky_nay
CROSS JOIN (<SQL , :year=N-1>) ck_truoc";;;;
13;;Dashboard Giám sát tổng hợp theo sàn HNX -Tổng hợp chỉ tiêu tài chính & thống kê ngành;ROA - so sánh thay đổi cùng kỳ năm trước;"ROE = (LNST/Tổng tài sản bình quân) * 100%
Tổng tài sản bình quân = (Tổng tài sản đầu kỳ + Tổng tài sản cuối kỳ)/2";Dashboard;Chỉ tiêu phái sinh;TB;Ngày, Sàn;IDS - GSĐC;;X;;Done;;"IDS.data (d),
IDS.report_catalog (rc),
IDS.company_data (cd),
IDS.company_detail (cdet)";cdet.equity_listing_exch, (ROA_ky_nay - ROA_cung_ky) / ROA_cung_ky * 100;"Chỉ tiêu phái sinh
= (Kỳ này - Cùng kỳ năm trước) / Cùng kỳ năm trước × 100%
AND cdet.equity_listing_exch = 'HNX'
GROUP BY cdet.equity_listing_exch";"-- Chỉ tiêu phái sinh
-- = (Chỉ tiêu kỳ này - Chỉ tiêu cùng kỳ năm trước) / Chỉ tiêu cùng kỳ năm trước * 100%
-- Tính bằng cách chạy SQL tương ứng với :year và :year-1
SELECT ROUND((ky_nay.gia_tri - ck_truoc.gia_tri)
/ NULLIF(ck_truoc.gia_tri, 0) * 100, 2) AS thay_doi_pct
FROM (<SQL, :year=N>) ky_nay
CROSS JOIN (<SQL , :year=N-1>) ck_truoc";;;;
