id,category,name,description,description_vi,tags,classifications,related_terms,part_of_terms,type_of_terms,secondary_categories,custom_data_type,data_classes
7314,Arrangement,Arrangement Investee,Identifies an Investee who is the recipient of funds or capital in the investment arrangement.,[Auto Translated] Xác định Bên nhận đầu tư là người nhận tiền hoặc vốn trong thỏa thuận đầu tư.,property,,Business Core Vocabulary >> Involved Party >> Investee,Business Core Vocabulary >> Arrangement >> Investment Arrangement,,Business Scopes >> Investment Banking; Business Scopes >> Wealth Management Support >> Wealth Management View; Business Scopes >> Wealth Management Support; Business Scopes >> Wealth Management Support >> Wealth Management - Investment And Funds,Relationship,
7315,Arrangement,Arrangement Life Cycle Status,"Distinguishes between Arrangements according to their current state within the life cycle of an Arrangement. Every Arrangement has a life cycle status, for example: Proposed Arrangement, Effective Arrangement or Suspended Arrangement.","[Auto Translated] Phân biệt giữa các Thỏa thuận theo trạng thái hiện tại của chúng trong vòng đời của Thỏa thuận. Mọi Thỏa thuận đều có trạng thái vòng đời, ví dụ: Thỏa thuận được đề xuất, Thỏa thuận có hiệu lực hoặc Thỏa thuận bị đình chỉ.",property,,,Business Core Vocabulary >> Arrangement >> Arrangement,,Business Scopes >> Credit Card View; Business Scopes >> Investment Banking; Business Scopes >> Payments Data; Business Scopes >> Credit Risk Mitigation; Business Scopes >> Transaction Management; Business Scopes >> Alignment Scopes >> CCAR Alignment Scope; Business Scopes >> AML Suspicious Transactions; Business Scopes >> Credit Card View >> Credit Card - Product and Arrangement; Business Scopes >> Credit Cards; Business Scopes >> Customer View; Business Scopes >> Customer View >> Individual Customer Profile Analysis; Business Scopes >> Alignment Scopes >> Basel Disclosures Alignment Scope; Business Scopes >> Alignment Scopes >> Dodd Frank Alignment Scopes >> DF - Large Trader Reporting 17 CFR 240 And 249 Alignment Scope; Business Scopes >> Loans And Mortgages; Business Scopes >> Customer View >> Customer Insight - Customer Lifetime Value; Business Scopes >> Mortgages; Business Scopes >> Customer View >> Customer Insight - Optimize Offers And Cross Sell,Reference Data,
7316,Arrangement,Arrangement Signatory,"Identifies an Involved Party who is recognized through their signature as having certain rights and obligations within the Arrangement; for example, ABC Company Secretary Is Signatory To a Check Account.",[Auto Translated] Xác định một Bên liên quan được công nhận thông qua chữ ký của họ là có các quyền và nghĩa vụ nhất định trong Thỏa thuận; ví dụ: Thư ký Công ty ABC là Người ký vào Tài khoản Séc.,property,Personal Information,Business Core Vocabulary >> Involved Party >> Individual,Business Core Vocabulary >> Arrangement >> Arrangement,,Business Scopes >> Alignment Scopes >> FIBO Alignment Scope; Business Scopes >> Credit Card View; Business Scopes >> Payments Data; Business Scopes >> Data Privacy >> Personal Data >> Finance; Business Scopes >> Data Privacy >> Personal Data; Business Scopes >> Islamic Banking; Business Scopes >> AML Suspicious Transactions; Business Scopes >> Credit Card View >> Credit Card - Product and Arrangement; Business Scopes >> Customer View >> Customer Arrangements; Business Scopes >> Customer View; Business Scopes >> Loans And Mortgages; Business Scopes >> Mortgages; Business Scopes >> Data Protection; Business Scopes >> Data Protection >> Data Protection - Data Processing And Consent; Business Scopes >> Asset Securitization; Business Scopes >> Customer View >> Know Your Customer (KYC); Business Scopes >> Data Protection >> Data Protection View,Relationship,
7317,Arrangement,Exposure Amount Unsecured,Identifies the value of the portion of the Arrangement that is not covered by any Security Arrangement.,[Auto Translated] Xác định giá trị của phần Thỏa thuận không nằm trong bất kỳ Thỏa thuận Bảo mật nào.,property,,,Business Core Vocabulary >> Arrangement >> Account Facility Finance Service Arrangement; Business Core Vocabulary >> Arrangement >> Asset Securitization Arrangement; Business Core Vocabulary >> Arrangement >> Trading Account Arrangement; Business Core Vocabulary >> Arrangement >> Financial Instrument Arrangement; Business Core Vocabulary >> Arrangement >> Finance Service Arrangement; Business Core Vocabulary >> Arrangement >> Settlement Account Arrangement,,Business Scopes >> Credit Risk Mitigation Financial Review; Business Scopes >> Loans And Mortgages; Business Scopes >> Credit Risk Mitigation,Monetary Amount,
7318,Arrangement,Letter Of Guarantee Arrangement,"Identifies a Credit Facility whereby the Customer pays a fee to the Financial Institution. In return, the Financial Institution promises to pay a given client of the Customer a given sum of money in the event that the Customer fails to make a promised delivery (e.g. construction, IT development, delivery of commodities) to the client by a given date. There is also an expiry date on the LoG itself.","[Auto Translated] Xác định một Cơ sở Tín dụng mà theo đó Khách hàng thanh toán một khoản phí cho Tổ chức Tài chính. Đổi lại, Tổ chức Tài chính hứa sẽ trả cho khách hàng nhất định của Khách hàng một số tiền nhất định trong trường hợp Khách hàng không thực hiện giao hàng đã hứa (ví dụ: xây dựng, phát triển CNTT, giao hàng hóa) cho khách hàng trước một ngày nhất định. Ngoài ra còn có ngày hết hạn trên chính LoG.",concept,,,,Business Core Vocabulary >> Arrangement >> Credit Facility Arrangement,Business Scopes >> Financial Markets (FM); Business Scopes >> Financial Markets (FM) >> Financial Markets Funding; Business Scopes >> Inheritance Hierarchy Scopes >> Arrangement Inheritance Hierarchy,,
7319,Arrangement,Number Of Loan Repayments Made,Identifies the number of Loan repayments which have already been paid.,[Auto Translated] Xác định số lượng khoản hoàn trả Khoản vay đã được thanh toán.,property,,,Business Core Vocabulary >> Arrangement >> Loan Arrangement,,Business Scopes >> Loans And Mortgages,Number,
7320,Arrangement,Length Of Time At Current Employment Time Period,Identifies the Time Period into which the Employment Arrangement age falls.,[Auto Translated] Xác định Khoảng thời gian mà độ tuổi Sắp xếp Việc làm rơi vào.,property,Personal Information,Business Core Vocabulary >> Common >> Length Of Time At Current Employment,Business Core Vocabulary >> Arrangement >> Employment Arrangement,,Business Scopes >> Payment Cards,Relationship,
7321,Arrangement,Receivables Financing Arrangement,Identifies a Finance Service Arrangement in which the funds made available by the Financial Institution are collateralized by accounts receivable of the Customer.,[Auto Translated] Xác định Thỏa thuận Dịch vụ Tài chính trong đó số tiền do Tổ chức Tài chính cung cấp được thế chấp bằng các khoản phải thu của Khách hàng.,concept,,,,Business Core Vocabulary >> Arrangement >> Finance Service Arrangement,Business Scopes >> Alignment Scopes >> Dodd Frank Alignment Scopes >> DF - Further Definition Of Swaps Security-Based Swaps 17 CFR Alignment Scope; Business Scopes >> Inheritance Hierarchy Scopes >> Arrangement Inheritance Hierarchy,,
7322,Arrangement,Loan Recourse Type,"Distinguishes between Loan Arrangements according to whether the owner of the Arrangement has the right to pursue additional claims against the borrower, in addition to the property asset that is the subject of the Arrangement.","[Auto Translated] Phân biệt giữa các Thỏa thuận cho vay tùy theo chủ sở hữu Thỏa thuận có quyền theo đuổi các khiếu nại bổ sung đối với người đi vay hay không, ngoài tài sản là đối tượng của Thỏa thuận.",property,,,Business Core Vocabulary >> Arrangement >> Loan Arrangement,,Business Scopes >> Credit Risk Mitigation; Business Scopes >> Financial Markets (FM); Business Scopes >> Alignment Scopes >> CCAR Alignment Scope; Business Scopes >> Financial Markets (FM) >> Financial Markets Funding; Business Scopes >> Loans And Mortgages; Business Scopes >> Mortgages,Reference Data,
7323,Arrangement,Eligible Servicer Cash Advance Facility Flag,"Identifies an Arrangement Descriptor that is an indication whether or not the Asset Securitization Arrangement includes an eligible servicer cash advance facility. Eligible servicer cash advance facility means a servicer cash advance facility in which:
(1) The servicer is entitled to full reimbursement of advances, except that a servicer may be obligated to make nonreimbursable advances for a particular underlying exposure if any such advance is contractually limited to an insignificant amount of the outstanding principal balance of that exposure;
(2) The servicer's right to reimbursement is senior in right of payment to all other claims on the cash flows from the underlying exposures of the securitization; and
(3) The servicer has no legal obligation to, and does not, make advances to the securitization if the servicer concludes the advances are unlikely to be repaid. These servicer cash advance facilities are securitization exposures.","[Auto Translated] Xác định Bộ mô tả Thỏa thuận là dấu hiệu cho biết Thỏa thuận Chứng khoán hóa Tài sản có bao gồm cơ sở tạm ứng tiền mặt của nhà cung cấp dịch vụ đủ điều kiện hay không. Tiện ích tạm ứng tiền mặt cho bên cung cấp dịch vụ đủ điều kiện có nghĩa là tiện ích tạm ứng tiền mặt cho bên cung cấp dịch vụ trong đó:
(1) Người phục vụ có quyền được hoàn trả đầy đủ các khoản tạm ứng, ngoại trừ việc người phục vụ có thể có nghĩa vụ thực hiện các khoản tạm ứng không thể hoàn trả cho một khoản tín dụng cơ bản cụ thể nếu bất kỳ khoản tạm ứng nào như vậy bị giới hạn theo hợp đồng ở một số lượng không đáng kể trong số dư nợ gốc của khoản nợ đó;
(2) Quyền được hoàn trả của người cung cấp dịch vụ là quyền thanh toán cao hơn đối với tất cả các yêu cầu khác đối với dòng tiền từ các rủi ro cơ bản của chứng khoán hóa; và
(3) Người phục vụ không có nghĩa vụ pháp lý và không tạm ứng cho việc chứng khoán hóa nếu người phục vụ kết luận rằng các khoản tạm ứng khó có thể được hoàn trả. Các cơ sở tạm ứng tiền mặt của người phục vụ này là các khoản đầu tư chứng khoán hóa.",property,,,Business Core Vocabulary >> Arrangement >> Asset Securitization Arrangement,,Business Scopes >> Asset Securitization,Boolean,
7324,Arrangement,Arrangement Beneficiary Relationship Limit Condition Sequence Number,A unique number that identifies the order in which Limits are applied to the set of Arrangement and Beneficiary relationships. Each relationship in the set will have one distinct Limit Sequence Number.,[Auto Translated] Một số duy nhất xác định thứ tự áp dụng các Giới hạn cho tập hợp các mối quan hệ Thỏa thuận và Người thụ hưởng. Mỗi mối quan hệ trong tập hợp sẽ có một Số thứ tự giới hạn riêng biệt.,property,,,Business Core Vocabulary >> Arrangement >> Arrangement Beneficiary,,,Number,
7325,Arrangement,Arrangement Guarantees Provided Amount,"The value amount provided by Guarantees as coverage for the Arrangement, as a credit risk mitigant.","[Auto Translated] Số tiền giá trị được cung cấp bởi các Bảo lãnh như một khoản bảo hiểm cho Thỏa thuận, như một biện pháp giảm thiểu rủi ro tín dụng.",property,,,Business Core Vocabulary >> Arrangement >> Account Facility Finance Service Arrangement; Business Core Vocabulary >> Arrangement >> Asset Securitization Arrangement; Business Core Vocabulary >> Arrangement >> Trading Account Arrangement; Business Core Vocabulary >> Arrangement >> Financial Instrument Arrangement; Business Core Vocabulary >> Arrangement >> Finance Service Arrangement; Business Core Vocabulary >> Arrangement >> Settlement Account Arrangement,,Business Scopes >> Credit Risk Mitigation Financial Review; Business Scopes >> Loans And Mortgages; Business Scopes >> Credit Risk Mitigation,Monetary Amount,
7326,Arrangement,Arrangement AML Monitoring Date,Identifies an AML Monitoring Date that represents a calendar date associated with the date upon which an AML check was made.,[Auto Translated] Xác định Ngày giám sát AML đại diện cho ngày theo lịch được liên kết với ngày thực hiện kiểm tra AML.,property,,,Business Core Vocabulary >> Arrangement >> Security Arrangement; Business Core Vocabulary >> Arrangement >> Property Arrangement; Business Core Vocabulary >> Arrangement >> Product Arrangement,,Business Scopes >> Payments Data; Business Scopes >> AML Suspicious Transactions; Business Scopes >> Insurance >> Insurance View; Business Scopes >> Credit Cards; Business Scopes >> Insurance; Business Scopes >> Loans And Mortgages; Business Scopes >> Capital Markets; Business Scopes >> Capital Markets >> Capital Markets View,Date,
7327,Arrangement,Excess Spread Enhancement,"The portfolio yield for a given month on the receivables_x000D_ supporting an asset-backed security is generally greater than the Asset Securitization coupon, servicing costs, and expected losses for the issued _x000D_security. Any remaining finance charges after funding, servicing costs, and losses is called ""excess spread"". This residual amount normally reverts to the seller as additional profit. However, it is also commonly available to the trust to cover unexpected losses.","[Auto Translated] Lợi tức danh mục đầu tư trong một tháng nhất định đối với các khoản phải thu_x000D_ hỗ trợ bảo đảm được đảm bảo bằng tài sản thường lớn hơn phiếu giảm giá Chứng khoán hóa Tài sản, chi phí phục vụ và các khoản lỗ dự kiến ​​cho _x000D_security đã phát hành. Mọi khoản phí tài chính còn lại sau khi cấp vốn, chi phí phục vụ và thua lỗ được gọi là ""chênh lệch vượt mức"". Số tiền còn lại này thường được hoàn lại cho người bán dưới dạng lợi nhuận bổ sung. Tuy nhiên, quỹ tín thác cũng thường có sẵn để bù đắp những tổn thất bất ngờ.",concept,,,,Business Core Vocabulary >> Arrangement >> Internal Credit Enhancement,Business Scopes >> Asset Securitization,,
7328,Arrangement,Account Funds Transfer Arrangement Type,Distinguishes between Account Funds Transfer Arrangements by their nature.,[Auto Translated] Phân biệt giữa các Thỏa thuận chuyển tiền tài khoản theo bản chất của chúng.,property,,,Business Core Vocabulary >> Arrangement >> Account Funds Transfer Arrangement,,,Reference Data,
7329,Arrangement,Financial Institution Participation Type,Distinguishes between Financial Institution-Other Involved Party Arrangements according to the nature of the Financial Institution's involvement in the relationship.,[Auto Translated] Phân biệt giữa các Thỏa thuận giữa Tổ chức Tài chính-Các Bên liên quan khác theo bản chất sự tham gia của Tổ chức Tài chính vào mối quan hệ.,property,,,Business Core Vocabulary >> Arrangement >> Arrangement,,Business Scopes >> Investment Banking; Business Scopes >> Alignment Scopes >> Algorithmics Alignment Scope; Business Scopes >> Credit Risk Mitigation; Business Scopes >> Alignment Scopes >> Dodd Frank Alignment Scopes >> DF - Further Definition Of Swaps Security-Based Swaps 17 CFR Alignment Scope; Business Scopes >> Credit Cards; Business Scopes >> Alignment Scopes >> Dodd Frank Alignment Scopes >> DF - Further Definition Of Swap Dealers And Participants 17 CFR Alignment Scope; Business Scopes >> Loans And Mortgages,Reference Data,
7330,Arrangement,Licensing Agreement Type,"Distinguishes between Licensing Agreements according to the terms by which one Involved Party obtains rights and/or privileges to use Property of the other; for example, Copyright Licensing Agreement, Franchise Licensing Agreement, Technology Licensing Agreement.","[Auto Translated] Phân biệt giữa các Thỏa thuận cấp phép theo các điều khoản mà một Bên liên quan có được quyền và/hoặc đặc quyền sử dụng Tài sản của bên kia; ví dụ: Thỏa thuận cấp phép bản quyền, Thỏa thuận cấp phép nhượng quyền thương mại, Thỏa thuận cấp phép công nghệ.",property,,,Business Core Vocabulary >> Arrangement >> Licensing Agreement,,,Reference Data,
7331,Arrangement,Monthly Payment Floor Percentage,The monthly minimum percentage point decrease for a payment based on the total payment in the previous month.,[Auto Translated] Mức giảm điểm phần trăm tối thiểu hàng tháng cho một khoản thanh toán dựa trên tổng số tiền thanh toán trong tháng trước.,property,,,Business Core Vocabulary >> Arrangement >> Mortgage Arrangement,,Business Scopes >> Alignment Scopes >> CCAR Alignment Scope; Business Scopes >> Mortgages; Business Scopes >> Loans And Mortgages,Percentage,
7332,Arrangement,Musharaka Al-Mutanaqisa Arrangement,"Identifies a Finance Service Arrangement as being a Musharaka Al-Mutanaqisa Arrangement. A Musharaka Al-Mutanaqisa Arrangement is similar to a Musharakah Arrangement, but rather than a partnership in a joint venture, the partnership involves joint ownership of a property. As with a Musharakah Arrangement, both the Bank and the customer, in this case the borrower who will use the property, provide the capital, which is used to purchase the property. The partners jointly own the property in the ratio of the capital they have invested. The borrower pays rent to the partnership and the bank and the borrower share the rent as per their ownership share. Additionally, the borrower buys the bank's share of the property with agreed periodic payments until the borrower owns 100% of the property and the partnership is dissolved. In the event of default, the property is sold and the sale price is split between the partners in line with their capital share at the time of default. For example, the borrower provides 100,000 USD and the Bank provides 408,000 USD towards the purchase of a 508,000 USD property. Over the 20 year period of the partnership, the borrower pays rent of 1250 USD per month and pays 1700 USD a month to purchase the Banks share of the property. If the arrangement defaults after 5 years, the amount of capital purchased by the borrower from the capital provider will be 102,000 USD, making the ratio of capital held approximately 40/60 (borrower/bank). If the property is sold for 400,000 USD, the borrower is entitled to 160,000 USD and the bank is entitled to 240,000 USD. Thus, both capital holders share equally in the loss, unlike a standard mortgage where the bank would require repayment of all its outstanding loan amount.","[Auto Translated] Xác định Thỏa thuận Dịch vụ Tài chính là Thỏa thuận Musharaka Al-Mutanaqisa. Thỏa thuận Musharaka Al-Mutanaqisa tương tự như Thỏa thuận Musharakah, nhưng thay vì quan hệ đối tác trong một liên doanh, quan hệ đối tác liên quan đến quyền sở hữu chung một tài sản. Giống như Thỏa thuận Musharakah, cả Ngân hàng và khách hàng, trong trường hợp này là người đi vay sẽ sử dụng tài sản, sẽ cung cấp vốn để mua tài sản. Các bên cùng sở hữu tài sản theo tỷ lệ số vốn họ đã đầu tư. Người đi vay trả tiền thuê cho đối tác và ngân hàng cũng như người đi vay chia sẻ tiền thuê theo tỷ lệ sở hữu của họ. Ngoài ra, người vay mua cổ phần tài sản của ngân hàng với các khoản thanh toán định kỳ đã thỏa thuận cho đến khi người vay sở hữu 100% tài sản và công ty hợp danh bị giải thể. Trong trường hợp vỡ nợ, tài sản sẽ được bán và giá bán được chia cho các đối tác tương ứng với phần vốn góp của họ tại thời điểm vỡ nợ. Ví dụ: người vay cung cấp 100.000 USD và Ngân hàng cung cấp 408.000 USD cho việc mua bất động sản trị giá 508.000 USD. Trong thời gian 20 năm hợp tác, người vay trả tiền thuê 1250 USD mỗi tháng và trả 1700 USD mỗi tháng để mua cổ phần tài sản của Ngân hàng. Nếu thỏa thuận vỡ nợ sau 5 năm, số vốn mà người vay mua từ nhà cung cấp vốn sẽ là 102.000 USD, khiến tỷ lệ vốn nắm giữ xấp xỉ 40/60 (người vay/ngân hàng). Nếu tài sản được bán với giá 400.000 USD thì người vay được hưởng 160.000 USD và ngân hàng được hưởng 240.000 USD. Do đó, cả hai người nắm giữ vốn đều chia sẻ tổn thất như nhau, không giống như một khoản thế chấp tiêu chuẩn mà ngân hàng sẽ yêu cầu hoàn trả tất cả số tiền còn nợ.",concept,,,,Business Core Vocabulary >> Arrangement >> Finance Service Arrangement,Business Scopes >> Islamic Banking; Business Scopes >> Inheritance Hierarchy Scopes >> Arrangement Inheritance Hierarchy,,
7333,Arrangement,Arrangement Structure,"Distinguishes between Arrangements according to the nature of their relationships with other Arrangements. For example, a Package Arrangement contains a number of other discrete Single Arrangements.",[Auto Translated] Phân biệt giữa các Thỏa thuận theo bản chất mối quan hệ của chúng với các Thỏa thuận khác. Ví dụ: Sắp xếp trọn gói chứa một số Sắp xếp đơn lẻ riêng biệt khác.,property,,,Business Core Vocabulary >> Arrangement >> Arrangement,,Business Scopes >> AML Suspicious Transactions; Business Scopes >> Credit Cards; Business Scopes >> Loans And Mortgages,Reference Data,
7334,Arrangement,Loan Arrangement Type,Distinguishes between Loan Arrangements according to their nature; for example Vehicle Loan or Mortgage Arrangement.,[Auto Translated] Phân biệt giữa các Thỏa thuận cho vay theo tính chất của chúng; ví dụ như Thỏa thuận cho vay mua xe hoặc thế chấp.,property,,,Business Core Vocabulary >> Arrangement >> Loan Arrangement,,Business Scopes >> Financial Markets (FM); Business Scopes >> Alignment Scopes >> CCAR Alignment Scope; Business Scopes >> Alignment Scopes >> Dodd Frank Alignment Scopes >> DF - Further Definition Of Swaps Security-Based Swaps 17 CFR Alignment Scope; Business Scopes >> Financial Markets (FM) >> Financial Markets Funding; Business Scopes >> Loans And Mortgages; Business Scopes >> Mortgages,Reference Data,
7335,Arrangement,Hedging Arrangement,"Identifies an Arrangement / Arrangement Relationship between two Arrangements in which the risk involved in the subject Arrangement has been hedged by the object Arrangement; for example, a particular Foreign Currency Futures Arrangement Hedges a particular Import-Export Letter Of Credit Arrangement.","[Auto Translated] Xác định Mối quan hệ dàn xếp / dàn xếp giữa hai dàn xếp trong đó rủi ro liên quan đến dàn xếp chủ đề đã được dàn xếp đối tượng phòng ngừa; ví dụ, một Thỏa thuận Hợp đồng Tương lai Ngoại tệ cụ thể Phòng ngừa rủi ro cho một Thỏa thuận Thư tín dụng Xuất nhập khẩu cụ thể.",property,,Business Core Vocabulary >> Arrangement >> Arrangement,Business Core Vocabulary >> Arrangement >> Account Facility Finance Service Arrangement; Business Core Vocabulary >> Arrangement >> Asset Securitization Arrangement; Business Core Vocabulary >> Arrangement >> Trading Account Arrangement; Business Core Vocabulary >> Arrangement >> Financial Instrument Arrangement; Business Core Vocabulary >> Arrangement >> Finance Service Arrangement; Business Core Vocabulary >> Arrangement >> Settlement Account Arrangement,,Business Scopes >> Alignment Scopes >> Capital Requirements Directive (CRD) Alignment Scopes >> CRD 2006/49/EC Alignment Scope; Business Scopes >> Investment Banking; Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel III Regulatory Standards LCR Alignment Scope; Business Scopes >> Credit Risk Mitigation,Relationship,
7336,Arrangement,Specifies Terms For Takaful Fund,Identifies an Arrangement / Group Relationship in which an Insurance Arrangement defines the terms of the insurance coverage associated with a Takaful (Insurance) Fund.,[Auto Translated] Xác định một Thỏa thuận/Mối quan hệ nhóm trong đó Thỏa thuận bảo hiểm xác định các điều khoản của phạm vi bảo hiểm liên quan đến Quỹ (Bảo hiểm) Takaful.,property,,Business Core Vocabulary >> Group >> Takaful Fund,Business Core Vocabulary >> Arrangement >> Insurance Arrangement,,,Relationship,
7337,Arrangement,Risk Weighted Exposure Amount After SME Supporting Factor,The amount of exposure on the Arrangement after the application of a risk weight and SME Supporting Factor (SME SF).,[Auto Translated] Mức độ rủi ro trong Thỏa thuận sau khi áp dụng Trọng số rủi ro và Hệ số hỗ trợ SME (SME SF).,property,,,Business Core Vocabulary >> Arrangement >> Account Facility Finance Service Arrangement; Business Core Vocabulary >> Arrangement >> Asset Securitization Arrangement; Business Core Vocabulary >> Arrangement >> Trading Account Arrangement; Business Core Vocabulary >> Arrangement >> Financial Instrument Arrangement; Business Core Vocabulary >> Arrangement >> Finance Service Arrangement; Business Core Vocabulary >> Arrangement >> Settlement Account Arrangement,,Business Scopes >> Credit Risk Mitigation,Monetary Amount,
7338,Arrangement,Property Settlement,"Identifies a Property Arrangement in which the legal title for buildings, vehicles or land is exchanged for an agreed consideration; for example, the purchase of land and commercial building for consideration given in the agreement.","[Auto Translated] Xác định một Thỏa thuận Tài sản trong đó quyền sở hữu hợp pháp đối với các tòa nhà, xe cộ hoặc đất đai được trao đổi để được xem xét theo thỏa thuận; ví dụ, việc mua đất và tòa nhà thương mại để xem xét được đưa ra trong thỏa thuận.",concept,,,,Business Core Vocabulary >> Arrangement >> Property Arrangement,Business Scopes >> Inheritance Hierarchy Scopes >> Arrangement Inheritance Hierarchy,,
7339,Arrangement,Rate Reset Duration,The number of months from the time of the Arrangement origination to the next interest rate change.,[Auto Translated] Số tháng kể từ thời điểm bắt đầu Thỏa thuận đến lần thay đổi lãi suất tiếp theo.,property,,,Business Core Vocabulary >> Arrangement >> Account Arrangement,,Business Scopes >> Financial Markets (FM); Business Scopes >> Alignment Scopes >> CCAR Alignment Scope; Business Scopes >> Credit Cards; Business Scopes >> Financial Markets (FM) >> Financial Markets Funding; Business Scopes >> Loans And Mortgages; Business Scopes >> Mortgages; Business Scopes >> Capital Markets; Business Scopes >> Financial Markets (FM) >> Financial Markets Trading; Business Scopes >> Capital Markets >> Capital Markets View,Number,
7340,Arrangement,Arrangement Write Down Of Fees Receivable,The amount of written down (reduced) fees receivable arising from the restructuring of debts.,[Auto Translated] Số phí được ghi giảm (giảm) phải thu phát sinh từ việc cơ cấu lại các khoản nợ.,property,,,Business Core Vocabulary >> Arrangement >> Trading Account Arrangement; Business Core Vocabulary >> Arrangement >> Settlement Account Arrangement; Business Core Vocabulary >> Arrangement >> Finance Service Arrangement,,Business Scopes >> Credit Cards; Business Scopes >> Loans And Mortgages; Business Scopes >> Credit Risk Mitigation,Monetary Amount,
7341,Arrangement,Ijarah Thumma Al Bai' Arrangement,"A Ijarah Thumma Al Bai' Arrangement (hire purchase, buy back), carried out under Islamic Banking principles, consists of two parts in which an asset is leased (Ijarah) to the lessee for a fixed price and purchased (Bai) by the lessee at the end of the leasing period at a fixed price. For example, the Bank offers to lease a vehicle worth 19,200 USD to the lessee for 600 USD a month and sell the vehicle to the lessee for the fixed price of 6,800 USD at the end of the leasing period.","[Auto Translated] Thỏa thuận Ijarah Thumma Al Bai' (thuê mua, mua lại), được thực hiện theo nguyên tắc của Ngân hàng Hồi giáo, bao gồm hai phần trong đó tài sản được cho bên thuê thuê (Ijarah) với giá cố định và được bên thuê mua (Bai) vào cuối thời gian thuê với giá cố định. Ví dụ: Ngân hàng đề nghị cho bên thuê thuê một chiếc xe trị giá 19.200 USD với giá 600 USD một tháng và bán chiếc xe đó cho bên thuê với giá cố định là 6.800 USD khi kết thúc thời hạn thuê.",concept,,,,Business Core Vocabulary >> Arrangement >> Finance Service Arrangement,Business Scopes >> Islamic Banking; Business Scopes >> Inheritance Hierarchy Scopes >> Arrangement Inheritance Hierarchy,,
7342,Arrangement,Combined Loan To Value Ratio,Combined Loan To Value (ratio) (CLTV) is the proportion of loans (secured by a property) in relation to its value.,[Auto Translated] Tổng giá trị khoản vay trên giá trị (tỷ lệ) (CLTV) là tỷ lệ các khoản vay (được đảm bảo bằng tài sản) so với giá trị của nó.,property,,,Business Core Vocabulary >> Arrangement >> Asset Securitization Arrangement; Business Core Vocabulary >> Arrangement >> Account Facility Finance Service Arrangement; Business Core Vocabulary >> Arrangement >> Financial Instrument Arrangement; Business Core Vocabulary >> Arrangement >> Finance Service Arrangement,,Business Scopes >> Credit Risk Mitigation; Business Scopes >> Financial Markets (FM); Business Scopes >> Alignment Scopes >> CCAR Alignment Scope; Business Scopes >> Financial Markets (FM) >> Financial Markets Funding; Business Scopes >> Mortgages,Percentage,
7343,Arrangement,Payment Collection Service Arrangement,"Identifies a Transfer Service Arrangement where a Financial Institution acts on behalf of another Involved Party to collect money owed to that Involved Party. For example, collecting electricity payments on behalf of the electricity supply company; lockbox (a post office box for customer payments emptied regularly by a nearby bank branch).",[Auto Translated] Xác định Thỏa thuận dịch vụ chuyển tiền trong đó Tổ chức tài chính hành động thay mặt cho một Bên liên quan khác để thu tiền còn nợ cho Bên liên quan đó. Ví dụ: thu tiền điện thay cho công ty cung cấp điện; hộp khóa (hộp thư bưu điện dành cho các khoản thanh toán của khách hàng được chi nhánh ngân hàng gần đó dọn sạch thường xuyên).,concept,,,,Business Core Vocabulary >> Arrangement >> Account Funds Transfer Arrangement,Business Scopes >> Inheritance Hierarchy Scopes >> Arrangement Inheritance Hierarchy,,
7344,Arrangement,Credit Reinstatement Status Date,The date on which the current Credit Reinstatement Status was assigned to the Finance Service Arrangement.,[Auto Translated] Ngày mà Trạng thái phục hồi tín dụng hiện tại được chỉ định cho Thỏa thuận dịch vụ tài chính.,property,,,Business Core Vocabulary >> Arrangement >> Account Facility Finance Service Arrangement; Business Core Vocabulary >> Arrangement >> Credit Facility Arrangement,,,Date,
7345,Arrangement,Forbearance Status,"Distinguishes between Arrangements according to their most recent record of forbearance activities, for example forbearance from non performing, forbearance twice, extended forbearance measures, etc.","[Auto Translated] Phân biệt giữa các Thỏa thuận theo hồ sơ gần đây nhất về các hoạt động hoãn thực hiện, ví dụ như hoãn vì không thực hiện, hoãn hai lần, gia hạn các biện pháp hoãn, v.v.",property,,,Business Core Vocabulary >> Arrangement >> Account Facility Finance Service Arrangement; Business Core Vocabulary >> Arrangement >> Finance Service Arrangement,,Business Scopes >> Credit Risk Mitigation; Business Scopes >> Credit Cards; Business Scopes >> Mortgages; Business Scopes >> Loans And Mortgages; Business Scopes >> Alignment Scopes >> EBA DPM Alignment Scope,Reference Data,
7346,Arrangement,Arrangement Frequency,Distinguishes between Arrangements according to the number of times the Arrangement is expected to be referenced.,[Auto Translated] Phân biệt giữa các Thỏa thuận theo số lần Thỏa thuận dự kiến ​​sẽ được tham chiếu.,property,,,Business Core Vocabulary >> Arrangement >> Arrangement,,Business Scopes >> Customer View; Business Scopes >> Customer View >> Customer Insight - Optimize Offers And Cross Sell; Business Scopes >> Customer View >> Customer Insight - Customer Lifetime Value,Reference Data,
