id,code,name,description,description_vi,ref_set_id
432,Standard Shingles Roof,Standard Shingles Roof,Identifies a Building Structure whose roof is covered with shingles.,[Auto] Xác định cấu trúc tòa nhà có mái được lợp bằng ván lợp.,2771c15d-2431-4be9-96b9-c28f14ef88ae
433,Self Employed Individual,Self Employed Individual,Identifies an Individual who is employed primarily for and by himself or herself.,[Auto] Xác định một Cá nhân được tuyển dụng chủ yếu cho chính họ và cho chính họ.,27902f87-fd88-470f-9da5-ff5d5e3ba3ab
434,Leave Of Absence,Leave Of Absence,"Identifies an Individual who is employed, but temporarily not performing any work duties and generally not receiving any compensation; for example, a leave of absence may be granted for full-time educational purposes.","[Auto] Xác định một Cá nhân được tuyển dụng nhưng tạm thời không thực hiện bất kỳ nhiệm vụ công việc nào và thường không nhận được bất kỳ khoản thù lao nào; ví dụ, có thể được phép nghỉ học vì mục đích học tập toàn thời gian.",27902f87-fd88-470f-9da5-ff5d5e3ba3ab
435,Employed For Wages Or Salary,Employed For Wages Or Salary,Identifies an Individual who is currently in the employ of another Individual or Organization in a capacity such that wages or a salary are paid to that Individual for the work.,[Auto] Xác định một Cá nhân hiện đang làm việc cho một Cá nhân hoặc Tổ chức khác với tư cách là tiền lương hoặc tiền công được trả cho Cá nhân đó cho công việc.,27902f87-fd88-470f-9da5-ff5d5e3ba3ab
436,Employed Without Pay,Employed Without Pay,"Identifies an Individual who is employed but who works without any compensation (that is no wages or salary, etc.).","[Auto] Xác định một Cá nhân được tuyển dụng nhưng làm việc mà không có bất kỳ khoản thù lao nào (tức là không có tiền công hoặc tiền công, v.v.).",27902f87-fd88-470f-9da5-ff5d5e3ba3ab
437,Standard Reporting Accounting Category,Standard Reporting Accounting Category,Identifies an Internal Accounting Category for which the associated accounting movements contribute to the Financial Institution's balance sheet in the standard manner.,[Auto] Xác định Hạng mục Kế toán Nội bộ mà các phong trào kế toán liên quan đóng góp vào bảng cân đối kế toán của Tổ chức Tài chính theo cách chuẩn mực.,27a7405a-a4ac-4710-b0ae-4d50b70d873f
438,On Balance Sheet Accounting Category,On Balance Sheet Accounting Category,"Identifies an Internal Accounting Category for which the associated accounting movements are reported on the Financial Institution's balance sheet. On Balance Sheet items consist of financial data listed either under a major heading (assets, liabilities, owners' equity), or under a sub-heading (such as current assets, fixed assets, current liabilities, long-term liabilities) of a balance sheet.","[Auto] Xác định Hạng mục Kế toán Nội bộ mà các biến động kế toán liên quan được báo cáo trên bảng cân đối kế toán của Tổ chức Tài chính. Các mục trên Bảng cân đối kế toán bao gồm dữ liệu tài chính được liệt kê dưới tiêu đề chính (tài sản, nợ phải trả, vốn chủ sở hữu) hoặc dưới tiêu đề phụ (như tài sản lưu động, tài sản cố định, nợ ngắn hạn, nợ dài hạn) của bảng cân đối kế toán.",27a7405a-a4ac-4710-b0ae-4d50b70d873f
439,Off Balance Sheet Accounting Category,Off Balance Sheet Accounting Category,"Identifies an Internal Accounting Category for which the associated accounting movements will not be reported on the Financial Institution's balance sheet. Off balance sheet (OBS) usually means an asset or debt or financing activity not on the company's balance sheet. It could involve a lease or a separate subsidiary or a contingent liability such as a letter of credit. It also involves loan commitments, futures, forwards and other derivatives except such derivatives pertaining to equity securities, ESOP, or phantom stock, which usually must be held as reserves in the Long Term Debt section of a Balance Sheet when-issued securities and loans sold.","[Auto] Xác định Hạng mục Kế toán Nội bộ mà các biến động kế toán liên quan sẽ không được báo cáo trên bảng cân đối kế toán của Tổ chức Tài chính. Bảng cân đối kế toán ngoại bảng (OBS) thường có nghĩa là một tài sản, khoản nợ hoặc hoạt động tài chính không có trong bảng cân đối kế toán của công ty. Nó có thể liên quan đến hợp đồng thuê hoặc một công ty con riêng biệt hoặc một khoản nợ tiềm tàng như thư tín dụng. Nó cũng liên quan đến các cam kết cho vay, hợp đồng tương lai, hợp đồng kỳ hạn và các công cụ phái sinh khác ngoại trừ các công cụ phái sinh liên quan đến chứng khoán vốn, ESOP hoặc cổ phiếu ma, thường phải được giữ dưới dạng dự trữ trong phần Nợ dài hạn của Bảng cân đối kế toán khi chứng khoán phát hành và các khoản vay được bán.",27a7405a-a4ac-4710-b0ae-4d50b70d873f
440,Non Legally Binding Condition,Non Legally Binding Condition,"Identifies a condition that is not enforceable under common law, for example, where the obligated party was coerced or unaware of its legal implications.","[Auto] Xác định một điều kiện không thể thực thi theo luật thông thường, chẳng hạn như khi bên có nghĩa vụ bị ép buộc hoặc không biết về ý nghĩa pháp lý của nó.",27e6e0a9-a27f-4710-aa36-b91039f52354
441,Legally Binding Condition,Legally Binding Condition,Identifies a condition that has been accepted as agreed by all parties,[Auto] Xác định một điều kiện đã được chấp nhận theo thỏa thuận của tất cả các bên,27e6e0a9-a27f-4710-aa36-b91039f52354
442,Multiple Source Arrangement,Multiple Source Arrangement,"Identifies an Arrangement in which credit is provided by more than one Involved Party. Usually this is done to spread the risk due to the large size of the Arrangement; for example, a loan Arrangement for $5,000,000 between the Bank B and Corporation X in which Bank A obtains funding from several other financial institutions in addition to using its own funds.","[Auto] Xác định một Thỏa thuận trong đó tín dụng được cung cấp bởi nhiều Bên liên quan. Thông thường, điều này được thực hiện để phân tán rủi ro do quy mô lớn của Thỏa thuận; ví dụ, một Thỏa thuận cho vay trị giá 5.000.000 USD giữa Ngân hàng B và Công ty X trong đó Ngân hàng A nhận được nguồn tài trợ từ một số tổ chức tài chính khác ngoài việc sử dụng vốn của chính mình.",27eb4345-dff2-4610-990f-e6f0b28b0635
443,Single Source Arrangement,Single Source Arrangement,"Identifies an Arrangement in which only one Involved Party provides the total amount of the credit; for example, a line of credit Arrangement for $10,000 to an individual provided by Bank B.",[Auto] Xác định một Thỏa thuận trong đó chỉ một Bên liên quan cung cấp tổng số tiền tín dụng; ví dụ: Thỏa thuận hạn mức tín dụng trị giá 10.000 USD cho một cá nhân do Ngân hàng B cung cấp.,27eb4345-dff2-4610-990f-e6f0b28b0635
444,Currency Asset,Currency Asset,"Identifies Referential Asset Type as being Currencies. 

Compliant with the four attributes, which make up the last four characters of the six character ISO 10962 ""Classification Of Financial Instruments"" code. Shown as the 1st Attribute, with value ""C = Currencies"" ,as follows: -M-R-C-X-X-X.","[Auto] Xác định Loại nội dung tham chiếu là Tiền tệ. 

Tuân thủ bốn thuộc tính, tạo nên bốn ký tự cuối cùng của mã ""Phân loại Công cụ Tài chính"" sáu ký tự ISO 10962. Được hiển thị là Thuộc tính thứ 1, có giá trị ""C = Tiền tệ"", như sau: -M-R-C-X-X-X.",283f20ed-3ec2-4259-8866-5a7840ae7bb8
445,Commodity,Commodity,"Identifies Referential Asset Type as being Commodities. 

Compliant with the four attributes, which make up the last four characters of the six character ISO 10962 ""Classification Of Financial Instruments"" code. Shown as the 1st Attribute, with value ""T = Commodities"" ,as follows: -M-R-T-X-X-X.","[Auto] Xác định Loại tài sản tham chiếu là Hàng hóa. 

Tuân thủ bốn thuộc tính, tạo nên bốn ký tự cuối cùng của mã ""Phân loại Công cụ Tài chính"" sáu ký tự ISO 10962. Hiển thị là Thuộc tính thứ 1, có giá trị ""T = Hàng hóa"", như sau: -M-R-T-X-X-X.",283f20ed-3ec2-4259-8866-5a7840ae7bb8
446,Index,Index,"Identifies Referential Asset Type as being Indices. 

Compliant with the four attributes, which make up the last four characters of the six character ISO 10962 ""Classification Of Financial Instruments"" code. Shown as the 1st Attribute, with value ""I = Indices"" ,as follows: -M-M-I-X-X-X.","[Auto] Xác định Loại nội dung tham chiếu là Chỉ số. 

Tuân thủ bốn thuộc tính, tạo nên bốn ký tự cuối cùng của mã ""Phân loại Công cụ Tài chính"" sáu ký tự ISO 10962. Hiển thị là Thuộc tính thứ 1, có giá trị “I = Chỉ số”, như sau: -M-M-I-X-X-X.",283f20ed-3ec2-4259-8866-5a7840ae7bb8
447,Interest Rate,Interest Rate,"Identifies Referential Asset Type as being Interest Rates. 

Compliant with the four attributes, which make up the last four characters of the six character ISO 10962 ""Classification Of Financial Instruments"" code. Shown as the 1st Attribute, with value ""R = Interest Rates"" ,as follows: -M-M-R-X-X-X.","[Auto] Xác định Loại tài sản tham chiếu là Lãi suất. 

Tuân thủ bốn thuộc tính, tạo nên bốn ký tự cuối cùng của mã ""Phân loại Công cụ Tài chính"" sáu ký tự ISO 10962. Hiển thị là Thuộc tính thứ 1, có giá trị ""R = Lãi suất"", như sau: -M-M-R-X-X-X.",283f20ed-3ec2-4259-8866-5a7840ae7bb8
448,Composite Property,Composite Property,"Identifies a Property that may appear to a user as a single, whole object but which is actually a combination of separately identifiable Properties which constitute a logical entirety; for example, a retail unit in a shopping mall.","[Auto] Xác định một Thuộc tính có thể xuất hiện với người dùng dưới dạng một đối tượng duy nhất, toàn bộ nhưng thực tế là sự kết hợp của các Thuộc tính có thể nhận dạng riêng biệt tạo thành một tổng thể logic; ví dụ, một đơn vị bán lẻ trong trung tâm mua sắm.",28471533-968a-444b-881d-a36c2c9221ac
449,Group Unit Property,Group Unit Property,"Identifies Property that is tracked as a set or quantity of like objects. These objects are composed of tangible items, in that any one item in a set is equally acceptable to or interchangeable with any other; for example, a store of cash assigned to a branch, a holding in a fungible Equity Instrument.","[Auto] Xác định Thuộc tính được theo dõi dưới dạng tập hợp hoặc số lượng đối tượng tương tự. Những đồ vật này bao gồm các đồ vật hữu hình, trong đó bất kỳ đồ vật nào trong một bộ đều được chấp nhận như nhau hoặc có thể hoán đổi cho bất kỳ đồ vật nào khác; ví dụ: một kho tiền mặt được giao cho một chi nhánh, một cổ phiếu nắm giữ Công cụ vốn có thể thay thế được.",28471533-968a-444b-881d-a36c2c9221ac
450,Single Unit Property,Single Unit Property,"Identifies a Property that is a discrete, single object, rather than one created by a combination of separate objects; for example, a block of land, a piece of fine art.","[Auto] Xác định một Thuộc tính là một đối tượng riêng biệt, thay vì một đối tượng được tạo bởi sự kết hợp của các đối tượng riêng biệt; ví dụ như một lô đất, một tác phẩm mỹ thuật.",28471533-968a-444b-881d-a36c2c9221ac
451,Recorded Arrangement,Recorded Arrangement,"Identifies an Arrangement in which the original agreement took the form of a recorded contract, which can be in a written form or in electronic form; for example, a confirmed Loan Arrangement, a confirmation letter of an Employment Arrangement.","[Auto] Xác định một Thỏa thuận trong đó thỏa thuận ban đầu có dạng hợp đồng được ghi lại, có thể ở dạng văn bản hoặc dạng điện tử; ví dụ: Thỏa thuận cho vay đã được xác nhận, thư xác nhận của Thỏa thuận việc làm.",28812689-7d76-42ae-a87a-e32fa20acb85
452,Oral Arrangement,Oral Arrangement,"Identifies an Arrangement that was originally agreed upon by voice; for example, Employment Arrangement conducted by telephone, a trading Arrangement initiated by telephone.","[Auto] Xác định một Thỏa thuận ban đầu đã được thống nhất bằng giọng nói; ví dụ: Thỏa thuận việc làm được thực hiện qua điện thoại, Thỏa thuận giao dịch được thực hiện qua điện thoại.",28812689-7d76-42ae-a87a-e32fa20acb85
453,Financial Institution Not Heading Syndicate,Financial Institution Not Heading Syndicate,"Identifies an Syndicate Participation Arrangement in which the Financial Institution acts in the role of a member of a consortium which offers an Arrangement; for example, a syndicated jumbo construction loan for $200 million in which 10 banks participate.","[Auto] Xác định một Thỏa thuận tham gia tập đoàn trong đó Tổ chức tài chính đóng vai trò là thành viên của một tập đoàn đưa ra một Thỏa thuận; ví dụ, một khoản vay xây dựng khổng lồ hợp vốn trị giá 200 triệu USD trong đó có 10 ngân hàng tham gia.",28826d6e-3393-4bfe-92c8-8229f999613f
454,Financial Institution Heading Syndicate,Financial Institution Heading Syndicate,"Identifies an Syndicate Participation Arrangement in which the Financial Institution acts in the role of leader of a consortium which offers an Arrangement; for example, a syndicated jumbo construction loan for $200 million in which 10 banks participate.","[Auto] Xác định một Thỏa thuận tham gia hiệp hội trong đó Tổ chức tài chính đóng vai trò là người đứng đầu một tập đoàn đưa ra Thỏa thuận; ví dụ, một khoản vay xây dựng khổng lồ hợp vốn trị giá 200 triệu USD trong đó có 10 ngân hàng tham gia.",28826d6e-3393-4bfe-92c8-8229f999613f
455,Commodities Future,Commodities Future,"Identifies a Future Asset Type which consists of Commodities Futures. Futures contracts based on bulk goods. 

This Value corresponds to the ISO 10962 ""Classification Of Financial Instruments"" code ""C = Commodities Futures"" and is used as the second character of the six character identification code: -F-C-*-*-*-*-.","[Auto] Xác định Loại tài sản tương lai bao gồm Hợp đồng tương lai hàng hóa. Hợp đồng tương lai dựa trên hàng hóa số lượng lớn. 

Giá trị này tương ứng với mã ""Phân loại công cụ tài chính"" ISO 10962 ""C = Hợp đồng tương lai hàng hóa"" và được sử dụng làm ký tự thứ hai của mã nhận dạng sáu ký tự: -F-C-*-*-*-*-.",290e142a-1f5a-4200-8c1d-973bc3b59a1e
456,Financial Future,Financial Future,"Identifies a Future Asset Type which consists of Financial Futures. Futures contracts are based on a financial instrument. 

This Value corresponds to the ISO 10962 ""Classification Of Financial Instruments"" code ""F = Financial Futures"" and is used as the second character of the six character identification code: -F-F-*-*-*-*-.","[Auto] Xác định Loại tài sản tương lai bao gồm Hợp đồng tương lai tài chính. Hợp đồng tương lai dựa trên một công cụ tài chính. 

Giá trị này tương ứng với mã ""Phân loại công cụ tài chính"" ISO 10962 ""F = Hợp đồng tương lai tài chính"" và được sử dụng làm ký tự thứ hai của mã nhận dạng sáu ký tự: -F-F-*-*-*-*-.",290e142a-1f5a-4200-8c1d-973bc3b59a1e
457,Product Profitable,Product Profitable,Identifies a product status where the product is classed as profitable.,[Auto] Xác định trạng thái sản phẩm trong đó sản phẩm được phân loại là có lợi nhuận.,29f80ca7-6832-4371-856b-26594e61c71a
458,Product Entry Date Expired,Product Entry Date Expired,Identifies a product status where the entry date for purchasing the Product has passed.,[Auto] Xác định trạng thái sản phẩm đã qua ngày nhập sản phẩm.,29f80ca7-6832-4371-856b-26594e61c71a
459,Product Opportunity Identified,Product Opportunity Identified,Identifies a product status where a market opportunity has been identified.,[Auto] Xác định trạng thái sản phẩm nơi cơ hội thị trường đã được xác định.,29f80ca7-6832-4371-856b-26594e61c71a
460,Product Superseded,Product Superseded,Identifies a product status where a new Product has taken over the market at which the current Product was predominately targeted.,[Auto] Xác định trạng thái sản phẩm trong đó Sản phẩm mới đã chiếm lĩnh thị trường mà Sản phẩm hiện tại chủ yếu được nhắm mục tiêu.,29f80ca7-6832-4371-856b-26594e61c71a
461,Product Approval Process Successful,Product Approval Process Successful,Identifies a product status where the Financial Institution has deemed it should be brought to market.,[Auto] Xác định trạng thái sản phẩm mà Tổ chức Tài chính cho rằng nó nên được đưa ra thị trường.,29f80ca7-6832-4371-856b-26594e61c71a
462,Product Legally Required,Product Legally Required,Identifies a product status where the product is required of the Financial Institution in order to be in legal compliance.,[Auto] Xác định trạng thái sản phẩm trong đó Sản phẩm được yêu cầu phải có của Tổ chức tài chính để tuân thủ pháp luật.,29f80ca7-6832-4371-856b-26594e61c71a
463,Product Unsuccessful,Product Unsuccessful,"Identifies a product status where the product has been withdrawn from the market because it has proved to be unsuccessful, either in sales or profitability.","[Auto] Xác định trạng thái sản phẩm mà sản phẩm đã bị rút khỏi thị trường vì nó đã được chứng minh là không thành công, cả về doanh số bán hàng hoặc lợi nhuận.",29f80ca7-6832-4371-856b-26594e61c71a
464,Product Withdrawn,Product Withdrawn,Identifies a product status where the product is no longer feasible and has been withdrawn.,[Auto] Xác định trạng thái sản phẩm trong đó sản phẩm không còn khả thi và đã bị thu hồi.,29f80ca7-6832-4371-856b-26594e61c71a
465,Non Resalable Arrangement,Non Resalable Arrangement,"Identifies an Arrangement that may not be resold; for example, the Last Will and Testament Arrangement for John Doe is not resalable.","[Auto] Xác định một Thỏa thuận không thể bán lại; ví dụ, Di chúc cuối cùng và Sự sắp xếp di chúc cho John Doe không thể bán lại được.",2a665543-938d-4624-a7fe-ba742f2e8172
466,Resalable Arrangement,Resalable Arrangement,"Identifies an Arrangement for which no impediment to its resale exists; for example, an Adjustable Mortgage Loan Arrangement can be packaged for resale.",[Auto] Xác định một Thỏa thuận mà không có trở ngại nào đối với việc bán lại nó; ví dụ: Thỏa thuận cho vay thế chấp có thể điều chỉnh có thể được đóng gói để bán lại.,2a665543-938d-4624-a7fe-ba742f2e8172
467,Active Condition,Active Condition,Identifies a Condition that is being implemented in a way that is intended to cause it to be tested by or incorporated into at least one applicable business process.,[Auto] Xác định một Điều kiện đang được triển khai theo cách nhằm mục đích khiến nó được kiểm tra hoặc kết hợp vào ít nhất một quy trình kinh doanh hiện hành.,2a74917c-ce9e-4066-baae-0a2290a4fdd3
468,Terminated Condition,Terminated Condition,"Identifies a Condition that has existed in some other state other than terminated, such as Proposed or Under Development and was subsequently discontinued with intent.","[Auto] Xác định một Điều kiện đã tồn tại ở một số trạng thái khác ngoài trạng thái đã chấm dứt, chẳng hạn như Đề xuất hoặc Đang phát triển và sau đó đã bị ngừng có chủ ý.",2a74917c-ce9e-4066-baae-0a2290a4fdd3
469,Under Development Condition,Under Development Condition,"Identifies a Condition that has been formulated and is currently being developed and tested, but is not yet enacted in any production business process.",[Auto] Xác định một Điều kiện đã được xây dựng và hiện đang được phát triển và thử nghiệm nhưng chưa được ban hành trong bất kỳ quy trình sản xuất kinh doanh nào.,2a74917c-ce9e-4066-baae-0a2290a4fdd3
470,Proposed Condition,Proposed Condition,Identifies a Condition that is being formulated.,[Auto] Xác định một Điều kiện đang được xây dựng.,2a74917c-ce9e-4066-baae-0a2290a4fdd3
471,National Company,National Company,Identifies that the Organization in question operates in one country.,[Auto] Xác định rằng Tổ chức được đề cập hoạt động ở một quốc gia.,2ad0a530-57bb-44c4-bcbc-917743741085
472,Multinational Company,Multinational Company,Identifies that the Organization in question operates in more than one country.,[Auto] Xác định rằng Tổ chức được đề cập hoạt động ở nhiều quốc gia.,2ad0a530-57bb-44c4-bcbc-917743741085
473,Employee Targeted Document,Employee Targeted Document,"Identifies a Documentation Item that is aimed specifically at employees of the Financial Institution; for example, staff movement bulletin, Salary Payment Advice.","[Auto] Xác định Mục Tài liệu dành riêng cho nhân viên của Tổ chức Tài chính; ví dụ: bản tin phong trào nhân viên, Tư vấn thanh toán tiền lương.",2b0fbefc-d7d6-4820-bd7f-e8d8ea8e5c4b
474,Shareholder Targeted Document,Shareholder Targeted Document,"Identifies a Documentation Item that is aimed specifically at shareholders; for example, annual report to specific shareholders, minutes of shareholders meeting, tender offer to purchase the shareholder's interest, dividend check.","[Auto] Xác định Mục Tài liệu dành riêng cho các cổ đông; ví dụ, báo cáo thường niên cho các cổ đông cụ thể, biên bản họp đại hội đồng cổ đông, chào mua cổ phần của cổ đông, séc chia cổ tức.",2b0fbefc-d7d6-4820-bd7f-e8d8ea8e5c4b
475,Subcontractor Targeted Document,Subcontractor Targeted Document,"Identifies a Documentation Item that is aimed specifically at subcontractors; for example, engagement contract, termination of contract.","[Auto] Xác định Mục Tài liệu dành riêng cho các nhà thầu phụ; ví dụ như hợp đồng giao kết, chấm dứt hợp đồng.",2b0fbefc-d7d6-4820-bd7f-e8d8ea8e5c4b
476,External Sponsorship,External Sponsorship,"Identifies a Sponsored Product structured such that an incentive payment or subsidy is offered by a third party; for example, Government Premium allowed to savers in saving and loan association.","[Auto] Xác định một Sản phẩm được tài trợ có cấu trúc sao cho bên thứ ba đưa ra khoản thanh toán khuyến khích hoặc trợ cấp; ví dụ, Phí bảo hiểm Chính phủ cho phép người tiết kiệm tham gia hiệp hội tiết kiệm và cho vay.",2b36d852-f8bf-4414-b88f-d142e5cf0c86
477,Internal Sponsorship,Internal Sponsorship,"Identifies a Sponsored Product structured such that an incentive payment or subsidy is offered by the Financial Institution; for example, an Employee Loan.",[Auto] Xác định Sản phẩm được tài trợ có cấu trúc sao cho Tổ chức tài chính đưa ra khoản thanh toán khuyến khích hoặc trợ cấp; ví dụ: Khoản vay dành cho nhân viên.,2b36d852-f8bf-4414-b88f-d142e5cf0c86
478,Tax Neutral Product,Tax Neutral Product,"Identifies a Product that does not provide a tax benefit to an Involved Party; for example, a personal checking account provides no tax benefit for the customer.",[Auto] Xác định Sản phẩm không mang lại lợi ích về thuế cho Bên liên quan; ví dụ: tài khoản séc cá nhân không mang lại lợi ích về thuế cho khách hàng.,2b46e88e-ed1d-4a98-8a1a-48c9296367e9
479,Tax Advantage Product,Tax Advantage Product,"Identifies a Product that provides a tax benefit for an Involved Party; for example, an Individual Retirement Account provides a way to shelter the interest income and possibly obtain a deduction resulting in a tax benefit.",[Auto] Xác định Sản phẩm mang lại lợi ích về thuế cho Bên liên quan; ví dụ: Tài khoản Hưu trí Cá nhân cung cấp một cách để bảo đảm thu nhập từ lãi và có thể được khấu trừ dẫn đến lợi ích về thuế.,2b46e88e-ed1d-4a98-8a1a-48c9296367e9
480,Rate Range,Rate Range,"Identifies a condition numeric range which is used to specify a range to which the rate applies, e.g. 5% on loans from 10,000 EUR to 100,000 EUR.","[Auto] Xác định phạm vi số điều kiện được sử dụng để chỉ định phạm vi áp dụng tỷ lệ, ví dụ: 5% cho khoản vay từ 10.000 EUR đến 100.000 EUR.",2b7e2ab2-ad92-42dd-ada8-f8a94998c9f2
481,Model Based Estimate,Model Based Estimate,Identifies values estimated by using a probabilistic model based on history and statistical analysis.,[Auto] Xác định các giá trị được ước tính bằng cách sử dụng mô hình xác suất dựa trên lịch sử và phân tích thống kê.,2c70b614-72e2-4167-9306-e6d8321d39ed
482,Internal Methods Estimate,Internal Methods Estimate,Identifies values estimated by using internal methods.,[Auto] Xác định các giá trị được ước tính bằng cách sử dụng các phương pháp nội bộ.,2c70b614-72e2-4167-9306-e6d8321d39ed
483,New Capital Accord (Basel II) Standardized Supervisory Estimate,New Capital Accord (Basel II) Standardized Supervisory Estimate,Identifies values estimated by using Basel Capital Accord Standardized methods.,[Auto] Xác định các giá trị được ước tính bằng cách sử dụng các phương pháp Tiêu chuẩn hóa của Hiệp định Vốn Basel.,2c70b614-72e2-4167-9306-e6d8321d39ed
484,Real Property Purchase,Real Property Purchase,"Identifies Asset Acquisition Financing that will be used to acquire Real Property; for example, Purchase of Principal Residence, Purchase of Improved Lot.","[Auto] Xác định Nguồn tài trợ mua lại tài sản sẽ được sử dụng để mua Bất động sản; ví dụ: Mua Nhà ở Chính, Mua Lô đất Cải tạo.",2c748e36-441a-4542-83bb-d8147c72b510
485,Personal Property Purchase,Personal Property Purchase,"Identifies Asset Acquisition Financing that is for the purpose of acquiring anything that has a lasting value other than real estate; for example, obtaining a loan to finance the purchase of an automobile, equipment, or stock.","[Auto] Xác định Tài trợ mua lại tài sản nhằm mục đích mua bất cứ thứ gì có giá trị lâu dài ngoài bất động sản; ví dụ: vay tiền để mua ô tô, thiết bị hoặc cổ phiếu.",2c748e36-441a-4542-83bb-d8147c72b510
486,Guarantee Based Mitigation,Guarantee Based Mitigation,"Identifies credit risk mitigation technique based on requiring a guarantee; for example, from the employer or another bank.","[Auto] Xác định kỹ thuật giảm thiểu rủi ro tín dụng dựa trên yêu cầu bảo lãnh; ví dụ, từ người sử dụng lao động hoặc ngân hàng khác.",2d0225e5-ba49-4c86-a664-b70034bd35b3
487,Credit Derivative Based Mitigation,Credit Derivative Based Mitigation,"Identifies credit risk mitigation technique based on a possibility of redemption of certain credit instruments after occurrence of specific credit events; for example, bankruptcy.",[Auto] Xác định kỹ thuật giảm thiểu rủi ro tín dụng dựa trên khả năng mua lại các công cụ tín dụng nhất định sau khi xảy ra các sự kiện tín dụng cụ thể; ví dụ như phá sản.,2d0225e5-ba49-4c86-a664-b70034bd35b3
488,Collateral Based Mitigation,Collateral Based Mitigation,"Identifies credit risk mitigation technique based on securing a collateral; for example, a real-estate property.","[Auto] Xác định kỹ thuật giảm thiểu rủi ro tín dụng dựa trên việc đảm bảo tài sản thế chấp; ví dụ, một tài sản bất động sản.",2d0225e5-ba49-4c86-a664-b70034bd35b3
489,Missing Involved Party,Missing Involved Party,Identifies an Involved Party for which it is unknown how they may be reached or if they are alive (in the case of an Individual) or active in business (in the case of an Organization).,[Auto] Xác định một Bên liên quan mà không biết bằng cách nào họ có thể liên lạc được hoặc liệu họ còn sống (trong trường hợp Cá nhân) hay đang hoạt động kinh doanh (trong trường hợp Tổ chức).,2d28279f-aa91-4d83-a354-d12fbef6e0e9
490,Existing Involved Party,Existing Involved Party,Identifies an Involved Party who is alive (in the case of an Individual) or active in business (in the case of an Organization).,[Auto] Xác định một Bên liên quan còn sống (trong trường hợp Cá nhân) hoặc đang hoạt động kinh doanh (trong trường hợp Tổ chức).,2d28279f-aa91-4d83-a354-d12fbef6e0e9
491,Defunct Involved Party,Defunct Involved Party,Identifies an Involved Party who is deceased (in the case of an Individual) or no longer in business (in the case of an Organization).,[Auto] Xác định một Bên liên quan đã chết (trong trường hợp Cá nhân) hoặc không còn kinh doanh (trong trường hợp Tổ chức).,2d28279f-aa91-4d83-a354-d12fbef6e0e9
492,Site And Building Of Property,Site And Building Of Property,The purpose of the mortgage is to obtain funds for the purchase of a site and the building of a property on that site.,[Auto] Mục đích của việc thế chấp là để có được nguồn vốn cho việc mua địa điểm và xây dựng tài sản trên địa điểm đó.,2d5590e9-4af1-43f4-a4ba-b187d082c84f
493,Building Of Property,Building Of Property,The purpose of the mortgage is to obtain funds for the building of a property.,[Auto] Mục đích của việc thế chấp là để có được nguồn vốn xây dựng tài sản.,2d5590e9-4af1-43f4-a4ba-b187d082c84f
494,Equity Release,Equity Release,The mortgage loan has the purpose of releasing equity already held by the borrower or potential borrower in a property.,[Auto] Khoản vay thế chấp có mục đích giải phóng vốn sở hữu đã được người đi vay hoặc người đi vay tiềm năng nắm giữ trong một tài sản.,2d5590e9-4af1-43f4-a4ba-b187d082c84f
495,Property Purchase,Property Purchase,The purpose of the mortgage is the purchase of a property.,[Auto] Mục đích của việc thế chấp là mua một tài sản.,2d5590e9-4af1-43f4-a4ba-b187d082c84f
496,Site Only,Site Only,The purpose of the mortgage is the purchase of a site.,[Auto] Mục đích của việc thế chấp là để mua một địa điểm.,2d5590e9-4af1-43f4-a4ba-b187d082c84f
497,Property Refurbishment,Property Refurbishment,The purpose of the mortgage is the refurbishment of a property already owned by the borrower or potential borrower.,[Auto] Mục đích của việc thế chấp là tân trang lại tài sản đã thuộc sở hữu của người đi vay hoặc người đi vay tiềm năng.,2d5590e9-4af1-43f4-a4ba-b187d082c84f
498,Mortgage For Property Purchase And Refurbishment,Mortgage For Property Purchase And Refurbishment,The purpose of the mortgage is the purchase and subsequent refurbishment of a property.,[Auto] Mục đích của việc thế chấp là để mua và tân trang lại một tài sản sau đó.,2d5590e9-4af1-43f4-a4ba-b187d082c84f
499,Switch From Existing Mortgage,Switch From Existing Mortgage,The purpose of the mortgage is 'switching' from a different mortgage provider to the modeled organization.,[Auto] Mục đích của việc thế chấp là 'chuyển đổi' từ một nhà cung cấp thế chấp khác sang tổ chức được mô hình hóa.,2d5590e9-4af1-43f4-a4ba-b187d082c84f
500,Equity Release On Existing Mortgage,Equity Release On Existing Mortgage,The mortgage loan has the purpose of releasing equity already held by the borrower or potential borrower in a property. The borrower has a mortgage secured by that same property with the modeled organization.,[Auto] Khoản vay thế chấp có mục đích giải phóng vốn sở hữu đã được người đi vay hoặc người đi vay tiềm năng nắm giữ trong một tài sản. Người đi vay có khoản thế chấp được bảo đảm bằng chính tài sản đó với tổ chức được mô hình hóa.,2d5590e9-4af1-43f4-a4ba-b187d082c84f
501,Administrative Assistant,Administrative Assistant,"Identifies an Employment Position that is responsible for providing support to a management position; for example, this support could range from administrative support to acting on behalf of a manager.",[Auto] Xác định một Vị trí Việc làm chịu trách nhiệm cung cấp hỗ trợ cho một vị trí quản lý; ví dụ: sự hỗ trợ này có thể bao gồm từ hỗ trợ hành chính đến thay mặt người quản lý.,2e0be9f4-2114-40b5-926c-a3f0e1352a7a
