STT,Bảng,Cột,Loại vấn đề,Mô tả trong tài liệu thiết kế,Thực tế trên CSDL UAT,Câu hỏi cần làm rõ,Trạng thái
125,NOTIFICATION_CONFIGURATIONS,IS_NOTI,Cot moi (chua co trong tai lieu),(không có),"NUMBER(1,0) ",Xac nhan y nghia nghiep vu cua cot moi va bo sung mo ta,Chờ xác nhận
126,NOTIFICATION_CONFIGURATIONS,IS_SMS,Cot moi (chua co trong tai lieu),(không có),"NUMBER(1,0) ",Xac nhan y nghia nghiep vu cua cot moi va bo sung mo ta,Chờ xác nhận
127,NOTIFICATION_CONFIGURATIONS,EMAIL_ENABLED,Cot trong tai lieu nhung khong khop DDL UAT,"NUMBER(1,0)",(không tồn tại / không khớp tên),Xac nhan cot nay da bi xoa tren UAT hay chi la ten khac chua nhan dien duoc,Chờ xác nhận
128,NOTIFICATION_CONFIGURATIONS,NOTI_ENABLED,Cot trong tai lieu nhung khong khop DDL UAT,"NUMBER(1,0)",(không tồn tại / không khớp tên),Xac nhan cot nay da bi xoa tren UAT hay chi la ten khac chua nhan dien duoc,Chờ xác nhận
129,NOTIFICATION_CONFIGURATIONS,SMS_ENABLED,Cot trong tai lieu nhung khong khop DDL UAT,"NUMBER(1,0)",(không tồn tại / không khớp tên),Xac nhan cot nay da bi xoa tren UAT hay chi la ten khac chua nhan dien duoc,Chờ xác nhận
130,ORGANIZATIONS,ORGANIZATION_TYPE_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
131,ORGANIZATIONS,PARENT_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
132,ORGANIZATIONS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
133,ORGANIZATION_REPORTS,CERTIFICATE_RECORD_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
134,ORGANIZATION_REPORTS,ORGANIZATION_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
135,ORGANIZATION_REPORTS,PARENT_REPORT_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
136,ORGANIZATION_REPORTS,PROFESSIONAL_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
137,ORGANIZATION_REPORTS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
138,ORGANIZATION_REPORTS,RECORD_TYPE -> TYPE,Doi ten cot (da ap dung theo DDL UAT),RECORD_TYPE,TYPE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
139,ORGANIZATION_REPORT_LOG_SYNCS,VALID_CERTIFICATE_NUM -> IS_VALID_CERTIFICATE_NUM,Doi ten cot (da ap dung theo DDL UAT),VALID_CERTIFICATE_NUM,IS_VALID_CERTIFICATE_NUM (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
140,ORGANIZATION_REPORT_LOG_SYNCS,VALID_HIRE_DATE -> IS_VALID_HIRE_DATE,Doi ten cot (da ap dung theo DDL UAT),VALID_HIRE_DATE,IS_VALID_HIRE_DATE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
141,ORGANIZATION_REPORT_LOG_SYNCS,VALID_ISSUE_DATE -> IS_VALID_ISSUE_DATE,Doi ten cot (da ap dung theo DDL UAT),VALID_ISSUE_DATE,IS_VALID_ISSUE_DATE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
142,ORGANIZATION_REPORT_LOG_SYNCS,VALID_TERMINATION_DATE -> IS_VALID_TERMINATION_DATE,Doi ten cot (da ap dung theo DDL UAT),VALID_TERMINATION_DATE,IS_VALID_TERMINATION_DATE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
143,ORGANIZATION_REPORT_YEARLYS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
144,ORGANIZATION_REPORT_YEARLYS,RECORD_TYPE -> TYPE,Doi ten cot (da ap dung theo DDL UAT),RECORD_TYPE,TYPE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
145,ORGANIZATION_REPORT_YEARLYS,ITEM_NAME -> NAME,Doi ten cot (da ap dung theo DDL UAT),ITEM_NAME,NAME (score=0.62),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
146,ORGANIZATION_REPORT_YEARLYS,YEAR,Cot moi (chua co trong tai lieu),(không có),NVARCHAR2(200) ,Xac nhan y nghia nghiep vu cua cot moi va bo sung mo ta,Chờ xác nhận
147,ORGANIZATION_REPORT_YEARLYS,REPORT_YEAR,Cot trong tai lieu nhung khong khop DDL UAT,NVARCHAR2(100 CHAR),(không tồn tại / không khớp tên),Xac nhan cot nay da bi xoa tren UAT hay chi la ten khac chua nhan dien duoc,Chờ xác nhận
148,PERMISSIONS,ACTIVE -> IS_ACTIVE,Doi ten cot (da ap dung theo DDL UAT),ACTIVE,IS_ACTIVE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
149,PERMISSIONS,IS_MENU,Cot moi (chua co trong tai lieu),(không có),"NUMBER(1,0) ",Xac nhan y nghia nghiep vu cua cot moi va bo sung mo ta,Chờ xác nhận
150,PERMISSIONS,MENU_FLAG,Cot trong tai lieu nhung khong khop DDL UAT,"NUMBER(1,0)",(không tồn tại / không khớp tên),Xac nhan cot nay da bi xoa tren UAT hay chi la ten khac chua nhan dien duoc,Chờ xác nhận
151,POSITIONS,ACTIVE -> IS_ACTIVE,Doi ten cot (da ap dung theo DDL UAT),ACTIVE,IS_ACTIVE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
152,POSITIONS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
153,POSITIONS,ECATALOG_ID,Cot moi (chua co trong tai lieu),(không có),VARCHAR2(36) ,Xac nhan y nghia nghiep vu cua cot moi va bo sung mo ta,Chờ xác nhận
154,POSITIONS,POSITION_CODE,Cot moi (chua co trong tai lieu),(không có),NVARCHAR2(100) ,Xac nhan y nghia nghiep vu cua cot moi va bo sung mo ta,Chờ xác nhận
155,POST_CERT_TRAINING_COURSES,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
156,PROCEDURES,FEATURED -> IS_FEATURED,Doi ten cot (da ap dung theo DDL UAT),FEATURED,IS_FEATURED (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
157,PROCEDURES,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
158,PROFESSIONALS,PLACE_OF_BIRTH_COUNTRY_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
159,PROFESSIONALS,PLACE_OF_BIRTH_DISTRICT_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
160,PROFESSIONALS,PLACE_OF_BIRTH_PROVINCE_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
161,PROFESSIONALS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
162,PROFESSIONALS,SSO_SYNCED,Cot moi (chua co trong tai lieu),(không có),"NUMBER(1,0) ",Xac nhan y nghia nghiep vu cua cot moi va bo sung mo ta,Chờ xác nhận
163,PROFESSIONALS,SSO_USER_ID,Cot moi (chua co trong tai lieu),(không có),VARCHAR2(64) ,Xac nhan y nghia nghiep vu cua cot moi va bo sung mo ta,Chờ xác nhận
164,PROFESSIONAL_HISTORIES,PROFESSIONAL_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
165,PROFESSIONAL_HISTORIES,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
166,PROFESSIONAL_RELATIONSHIPS,COUNTRY_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
167,PROFESSIONAL_RELATIONSHIPS,PROFESSIONAL_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
168,PROFESSIONAL_TRAININGS,PROFESSIONAL_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
169,PROFESSIONAL_WORK_HISTORIES,ORGANIZATION_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
170,PROVINCES,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
171,PROVINCES,RECORD_TYPE -> TYPE,Doi ten cot (da ap dung theo DDL UAT),RECORD_TYPE,TYPE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
172,PROVINCES,ECATALOG_ID,Cot moi (chua co trong tai lieu),(không có),VARCHAR2(36) ,Xac nhan y nghia nghiep vu cua cot moi va bo sung mo ta,Chờ xác nhận
173,ROLES,GROUP_CODE,Sai kieu du lieu (that su khac loai/precision),NVARCHAR2(50 CHAR),NVARCHAR2(200),Xac nhan cap nhat kieu du lieu theo DDL UAT (da tu dong ap dung),Đã áp dụng
174,ROLES,GROUP_NAME,Sai kieu du lieu (that su khac loai/precision),NVARCHAR2(255 CHAR),NVARCHAR2(1020),Xac nhan cap nhat kieu du lieu theo DDL UAT (da tu dong ap dung),Đã áp dụng
175,ROLES,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
176,SIGNATURE_LOGS,APPLICATION_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
177,SIGNATURE_LOGS,RECORD_TYPE -> TYPE,Doi ten cot (da ap dung theo DDL UAT),RECORD_TYPE,TYPE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
178,SMS_LOGS,ID,Sai khoa (PK/FK),(trong),PK,Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
179,SMS_LOGS,RECEIVER_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
180,SMS_LOGS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
181,SPECIALIZATIONS,ACTIVE -> IS_ACTIVE,Doi ten cot (da ap dung theo DDL UAT),ACTIVE,IS_ACTIVE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
182,SPECIALIZATIONS,ORIGINAL_DATA -> IS_ORIGINAL_DATA,Doi ten cot (da ap dung theo DDL UAT),ORIGINAL_DATA,IS_ORIGINAL_DATA (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
183,SPECIALIZATIONS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
184,SPECIALIZATION_COURSES,EXAM_DATE_TO,Sai kieu du lieu (that su khac loai/precision),VARCHAR2(200 CHAR),DATE,Xac nhan cap nhat kieu du lieu theo DDL UAT (da tu dong ap dung),Đã áp dụng
185,SPECIALIZATION_COURSES,PROVINCE_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
186,SPECIALIZATION_COURSES,SPECIALIZATION_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
187,SPECIALIZATION_COURSES,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
188,SPECIALIZATION_COURSE_DETAILS,PROFESSIONAL_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
189,SPECIALIZATION_COURSE_DETAILS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
190,SYSTEM_PARAMETERS,DISPLAYED -> IS_DISPLAYED,Doi ten cot (da ap dung theo DDL UAT),DISPLAYED,IS_DISPLAYED (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
191,SYSTEM_PARAMETERS,RECORD_TYPE -> TYPE,Doi ten cot (da ap dung theo DDL UAT),RECORD_TYPE,TYPE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
192,SYSTEM_PARAMETERS,PARAM_VALUE -> VALUE,Doi ten cot (da ap dung theo DDL UAT),PARAM_VALUE,VALUE (score=0.62),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
193,UNITS,PARENT_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
194,UNITS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
195,USERS,LDAP,Sai kieu du lieu (that su khac loai/precision),NVARCHAR2(200 CHAR),NVARCHAR2(1020),Xac nhan cap nhat kieu du lieu theo DDL UAT (da tu dong ap dung),Đã áp dụng
196,USERS,PASSWORD,Sai kieu du lieu (that su khac loai/precision),NVARCHAR2(100 CHAR),NVARCHAR2(510),Xac nhan cap nhat kieu du lieu theo DDL UAT (da tu dong ap dung),Đã áp dụng
197,USERS,PROFESSIONAL_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
198,USERS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
199,USERS,RECORD_TYPE -> TYPE,Doi ten cot (da ap dung theo DDL UAT),RECORD_TYPE,TYPE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
200,USERS,IDENTITY_NUMBER,Cot moi (chua co trong tai lieu),(không có),NVARCHAR2(100) ,Xac nhan y nghia nghiep vu cua cot moi va bo sung mo ta,Chờ xác nhận
201,USERS,SSO_USER_ID,Cot moi (chua co trong tai lieu),(không có),VARCHAR2(36) ,Xac nhan y nghia nghiep vu cua cot moi va bo sung mo ta,Chờ xác nhận
202,VERIFY_APPLICATION_STATUSES,APPLICATION_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
203,VERIFY_APPLICATION_STATUSES,PREV_STATUS_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
204,VERIFY_APPLICATION_STATUSES,STATUS_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
205,VERIFY_APPLICATION_STATUSES,VERIFIED_BY,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
206,VERIFY_APPLICATION_STATUSES,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
207,VIOLATIONS,DECISION_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
208,VIOLATIONS,PROFESSIONAL_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
209,VIOLATIONS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
210,VIOLATIONS,RECORD_TYPE -> TYPE,Doi ten cot (da ap dung theo DDL UAT),RECORD_TYPE,TYPE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
211,flyway_schema_history,checksum,Sai kieu du lieu (that su khac loai/precision),"NUMBER(38,0)",NUMBER,Xac nhan cap nhat kieu du lieu theo DDL UAT (da tu dong ap dung),Đã áp dụng
212,flyway_schema_history,execution_time,Sai kieu du lieu (that su khac loai/precision),"NUMBER(38,0)",NUMBER,Xac nhan cap nhat kieu du lieu theo DDL UAT (da tu dong ap dung),Đã áp dụng
213,flyway_schema_history,installed_rank,Sai kieu du lieu (that su khac loai/precision),"NUMBER(38,0)",NUMBER,Xac nhan cap nhat kieu du lieu theo DDL UAT (da tu dong ap dung),Đã áp dụng
214,flyway_schema_history,installed_rank,Sai khoa (PK/FK),(trong),PK,Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
215,CERTIFICATE_CONVERSION_REQUEST_LOGS,(cả bảng),Bảng mới chưa khảo sát,(không có),Bảng tồn tại trên UAT với 6 cột,Xác nhận ý nghĩa nghiệp vụ và quyết định scope_status,Chờ xác nhận
216,POST_CERT_TRAINING_RESULTS,(cả bảng),Bảng mới chưa khảo sát,(không có),Bảng tồn tại trên UAT với 13 cột,Xác nhận ý nghĩa nghiệp vụ và quyết định scope_status,Chờ xác nhận
217,REPORT_TEMPLATES,(cả bảng),Bảng mới chưa khảo sát,(không có),Bảng tồn tại trên UAT với 9 cột,Xác nhận ý nghĩa nghiệp vụ và quyết định scope_status,Chờ xác nhận
218,VERIFY_CERTIFICATE_CONVERSION_STATUSES,(cả bảng),Bảng mới chưa khảo sát,(không có),Bảng tồn tại trên UAT với 15 cột,Xác nhận ý nghĩa nghiệp vụ và quyết định scope_status,Chờ xác nhận
219,ACTION_LOGS,ACTION_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
220,ACTION_LOGS,CLIENT_MACHINE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
221,ACTION_LOGS,PERMISSION_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
222,APPLICATIONS,APPLICATION_CODE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
223,APPLICATIONS,CERTIFICATE_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
224,APPLICATIONS,CERTIFICATE_RECEIPT_ADDRESS,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
225,APPLICATIONS,CERTIFICATE_RECEIPT_PHONE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
226,APPLICATIONS,NOTE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
227,APPLICATIONS,PREVIOUS_CERTIFICATE_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
228,APPLICATIONS,REISSUE_HSM,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
229,APPLICATIONS,TITLE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
230,APPLICATION_ARCHIVES,CONTACT,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
231,APPLICATION_ARCHIVES,LOCATION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
232,APPLICATION_ARCHIVES,PHONE_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(50 CHAR),NVARCHAR2(100),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
233,APPLICATION_DOCUMENTS,DESCRIPTION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
234,APPLICATION_DOCUMENTS,DOCUMENT_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
235,APPLICATION_DOCUMENTS,NOTE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
236,APPLICATION_DOCUMENT_HISTORIES,DESCRIPTION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
237,APPLICATION_EXPERIENCES,DEPARTMENT_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
238,APPLICATION_EXPERIENCES,DIRECTOR_CONFIRMATION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
239,APPLICATION_EXPERIENCES,INSURANCE_NUMBER,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
240,APPLICATION_EXPERIENCES,LABOR_CONTRACT,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
241,APPLICATION_EXPERIENCES,ORGANIZATION_NAME,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1024 CHAR),NVARCHAR2(2048),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
242,APPLICATION_EXPERIENCES,POSITION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
243,APPLICATION_FEES,CONTENT,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
244,APPLICATION_FEES,FILE_PATH,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(2000 CHAR),NVARCHAR2(4000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
245,APPLICATION_FEES,NOTE,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(255 CHAR),NVARCHAR2(510),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
246,APPLICATION_GROUPS,DESCRIPTION,Khac biet do CHAR/BYTE (khong sua),NVARCHAR2(1000 CHAR),NVARCHAR2(2000),"Da xac nhan la artifact tinh byte cua DDL dump, giu nguyen do dai CSV",Đã giải thích - không cần sửa
