path,name,description,description_vi
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P3 T12 Operational Risk Basic Alignment Scope,Basel II P3 T12 Operational Risk Basic Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators required for reporting using the basic indicator approach to operational risk. This Scope supports the reporting requirements for Table 12 of Pillar 3 Market Discipline in the Basel Capital Accord, Basel Committee for Banking Supervision, Bank for International Settlements. This information is required for reporting the amount of exposure and regulatory capital required for the exposure by financial institution.","[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh cần thiết để báo cáo bằng cách sử dụng phương pháp chỉ báo cơ bản đối với rủi ro hoạt động. Phạm vi này hỗ trợ các yêu cầu báo cáo cho Bảng 12 của Nguyên tắc thị trường trụ cột thứ 3 trong Hiệp định vốn Basel, Ủy ban giám sát ngân hàng Basel, Ngân hàng thanh toán quốc tế. Thông tin này là cần thiết để báo cáo mức độ rủi ro và vốn pháp định cần thiết cho việc tiếp xúc của tổ chức tài chính."
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P3 T13 Equity Disclosure Banking Book Alignment Scope,Basel II P3 T13 Equity Disclosure Banking Book Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators required for reporting banking book positions for equities. This Scope supports the reporting requirements for Table 13 of Pillar 3 Market Discipline in the Basel Capital Accord, Basel Committee for Banking Supervision, Bank for International Settlements.","[Auto] Phạm vi căn chỉnh này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh cần thiết để báo cáo vị thế sổ sách ngân hàng đối với cổ phiếu. Phạm vi này hỗ trợ các yêu cầu báo cáo cho Bảng 13 của Nguyên tắc thị trường trụ cột 3 trong Hiệp định vốn Basel, Ủy ban giám sát ngân hàng Basel, Ngân hàng thanh toán quốc tế."
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II P3 T14 Interest Rate Risk Banking Book Alignment Scope,Basel II P3 T14 Interest Rate Risk Banking Book Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators required for reporting Interest risks for Pillar 3, Market Discipline, Table 14, ""Interest Rate Risk In The Banking Book"". This information is required for interest risk reporting, as outlined in the Basel Capital Accord, Basel Committee for Banking Supervision, Bank for International Settlements.","[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh cần thiết để báo cáo Rủi ro lãi suất cho Trụ cột 3, Nguyên tắc thị trường, Bảng 14, ""Rủi ro lãi suất trong sổ sách ngân hàng"". Thông tin này là cần thiết để báo cáo rủi ro lãi suất, như được nêu trong Hiệp định Vốn Basel, Ủy ban Giám sát Ngân hàng Basel, Ngân hàng Thanh toán Quốc tế."
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II Pillar 2 (P2) Items Alignment Scope,Basel II Pillar 2 (P2) Items Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators supporting the Pillar 2 requirements of the Basel Capital Accord, Basel Committee for Banking Supervision, Bank for International Settlements.","[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh hỗ trợ các yêu cầu Trụ cột 2 của Hiệp định vốn Basel, Ủy ban giám sát ngân hàng Basel, Ngân hàng thanh toán quốc tế."
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II Pillar 3 (P3) Items Alignment Scope,Basel II Pillar 3 (P3) Items Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators supporting the Pillar 3 requirements of the Basel Capital Accord, Basel Committee for Banking Supervision, Bank for International Settlements.","[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh hỗ trợ các yêu cầu Trụ cột 3 của Hiệp định vốn Basel, Ủy ban giám sát ngân hàng Basel, Ngân hàng thanh toán quốc tế."
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II Revisions To Market Risk Framework Alignment Scope,Basel II Revisions To Market Risk Framework Alignment Scope,This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators that are required in the Revisions to the Basel II Market Risk Framework.,[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh được yêu cầu trong các Bản sửa đổi đối với Khung rủi ro thị trường Basel II.
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel II Trading Book Incremental Risk Alignment Scope,Basel II Trading Book Incremental Risk Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators that support the Basel Committee on Banking Supervision ""Guidelines for computing capital for incremental risk in the trading book"".","[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh hỗ trợ Ủy ban Basel về giám sát ngân hàng ""Hướng dẫn tính toán vốn cho rủi ro gia tăng trong sổ kinh doanh""."
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel III Backtesting Counterparty Credit Risk Models Alignment Scope,Basel III Backtesting Counterparty Credit Risk Models Alignment Scope,This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators that support backtesting of internal assessments of counterparty credit risk (CCR) exposures.,[Auto] Phạm vi liên kết này bao gồm các điều khoản kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh hỗ trợ việc kiểm tra ngược các đánh giá nội bộ về mức độ rủi ro tín dụng đối tác (CCR).
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel III Liquidity Risk Management Framework Alignment Scope,Basel III Liquidity Risk Management Framework Alignment Scope,This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators supporting Liquidity Risk Management. The Basel Committee has developed two internationally consistent regulatory standards for liquidity risk supervision as a cornerstone of a global framework to strengthen liquidity risk management and supervision.,[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh hỗ trợ Quản lý rủi ro thanh khoản. Ủy ban Basel đã phát triển hai tiêu chuẩn quy định thống nhất quốc tế về giám sát rủi ro thanh khoản như một nền tảng của khuôn khổ toàn cầu nhằm tăng cường quản lý và giám sát rủi ro thanh khoản.
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel III Liquidity Risk Monitoring Alignment Scope,Basel III Liquidity Risk Monitoring Alignment Scope,This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators that support Liquidity Risk Monitoring.,[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ báo hiệu quả kinh doanh hỗ trợ Giám sát rủi ro thanh khoản.
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel III Liquidity Risk Regulatory Standards Alignment Scope,Basel III Liquidity Risk Regulatory Standards Alignment Scope,This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators that support Liquidity Risk Regulatory Standards.,[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ báo hiệu quả kinh doanh hỗ trợ các Tiêu chuẩn quản lý rủi ro thanh khoản.
Business Scopes >> Alignment Scopes >> Basel Framework Alignment Scopes >> Basel III Regulatory Standards LCR Alignment Scope,Basel III Regulatory Standards LCR Alignment Scope,This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators that support the calculation of the Liquidity Coverage Ratio as defined by BCBS238 and the LCR tab of the Basel Implementation Workbook.,[Auto] Phạm vi điều chỉnh này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ báo hiệu quả kinh doanh hỗ trợ tính toán Tỷ lệ đảm bảo thanh khoản như được xác định bởi BCBS238 và tab LCR của Sổ làm việc triển khai Basel.
Business Scopes >> Alignment Scopes >> CCAR Alignment Scope,CCAR Alignment Scope,This alignment scope includes all of the business terms from the Business Core Vocabulary that support the  U.S. Federal Reserve's Comprehensive Capital Analysis and Review (CCAR) standards. This scope references the data elements relevant to the Capital Assessments and Stress Testing Report (FR Y-14M report).,[Auto] Phạm vi điều chỉnh này bao gồm tất cả các điều khoản kinh doanh từ Từ vựng cốt lõi trong kinh doanh hỗ trợ các tiêu chuẩn Đánh giá và phân tích vốn toàn diện (CCAR) của Cục Dự trữ Liên bang Hoa Kỳ. Phạm vi này tham chiếu các yếu tố dữ liệu liên quan đến Báo cáo Đánh giá Vốn và Kiểm tra sức chịu đựng (báo cáo FR Y-14M).
Business Scopes >> Alignment Scopes >> CCPA Alignment Scope,CCPA Alignment Scope,This alignment scope includes all of the business terms from the business core vocabulary that support the California Consumer Privacy Act (CCPA) regulation.,[Auto] Phạm vi điều chỉnh này bao gồm tất cả các thuật ngữ kinh doanh từ từ vựng cốt lõi về kinh doanh hỗ trợ quy định của Đạo luật về quyền riêng tư của người tiêu dùng California (CCPA).
Business Scopes >> Alignment Scopes >> Capital Requirements Directive (CRD) Alignment Scopes,Capital Requirements Directive (CRD) Alignment Scopes,"These alignment scopes include business terms from the Business Core Vocabulary and Business Performance Indicators supporting the Capital Requirements Directive (CRD) supervisory framework for the European Union (EU), which reflects the Basel rules on capital measurement and capital standards. The core regulatory rules for Credit, Market and Operational Risk are contained in the directives 2006/48/EC and 2006/49/EC of the European Parliament and of the Council and is informally referred to as CRD I.  A number of significant revisions have taken place since 2006 and these are informally referred to as CRD II, III, etc.","[Auto] Các phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh hỗ trợ khung giám sát Chỉ thị Yêu cầu Vốn (CRD) cho Liên minh Châu Âu (EU), phản ánh các quy tắc Basel về đo lường vốn và tiêu chuẩn vốn. Các quy tắc quản lý cốt lõi đối với Rủi ro Tín dụng, Thị trường và Hoạt động được nêu trong các chỉ thị 2006/48/EC và 2006/49/EC của Nghị viện và Hội đồng Châu Âu và được gọi một cách không chính thức là CRD I. Một số sửa đổi quan trọng đã được thực hiện kể từ năm 2006 và chúng được gọi một cách không chính thức là CRD II, III, v.v."
Business Scopes >> Alignment Scopes >> Capital Requirements Directive (CRD) Alignment Scopes >> CRD 2006/48/EC Alignment Scope,CRD 2006/48/EC Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators that reference the Capital Requirements Directive (CRD), which is a supervisory framework for the European Union (EU) that reflects the Basel rules on capital measurement and capital standards. Directive 2006/48/EC is concerned with the taking up and pursuit of the business of credit institutions.","[Auto] Phạm vi liên kết này bao gồm các điều khoản kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh tham chiếu Chỉ thị về yêu cầu vốn (CRD), là khuôn khổ giám sát của Liên minh Châu Âu (EU) phản ánh các quy tắc Basel về đo lường vốn và tiêu chuẩn vốn. Chỉ thị 2006/48/EC liên quan đến việc tiếp tục và theo đuổi hoạt động kinh doanh của các tổ chức tín dụng."
Business Scopes >> Alignment Scopes >> Capital Requirements Directive (CRD) Alignment Scopes >> CRD 2006/49/EC Alignment Scope,CRD 2006/49/EC Alignment Scope,"This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators that support the Capital Requirements Directive (CRD), which is a supervisory framework for the European Union (EU) that reflects the Basel rules on capital measurement and capital standards. Directive 2006/49/EC is concerned with the capital adequacy of investment firms and credit institutions.","[Auto] Phạm vi liên kết này bao gồm các điều khoản kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh hỗ trợ Chỉ thị về yêu cầu vốn (CRD), là khuôn khổ giám sát của Liên minh Châu Âu (EU) phản ánh các quy tắc Basel về đo lường vốn và tiêu chuẩn vốn. Chỉ thị 2006/49/EC liên quan đến mức độ an toàn vốn của các công ty đầu tư và tổ chức tín dụng."
Business Scopes >> Alignment Scopes >> Capital Requirements Directive (CRD) Alignment Scopes >> CRD 2010/76/EU (CRD III) Remuneration Alignment Scope,CRD 2010/76/EU (CRD III) Remuneration Alignment Scope,This alignment scope includes the business terms from the Business Core Vocabulary and Business Performance Indicators that support the Capital Requirements Directive 2010/76/EU (commonly referred to as CRD III) and its requirements governing the remuneration of certain personnel of credit institutions.  The remuneration provisions require credit institutions and investment firms to establish remuneration policies aligned with effective risk management.,[Auto] Phạm vi liên kết này bao gồm các điều khoản kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh hỗ trợ Chỉ thị Yêu cầu về Vốn 2010/76/EU (thường được gọi là CRD III) và các yêu cầu của nó điều chỉnh mức thù lao của một số nhân sự trong các tổ chức tín dụng.  Quy định thù lao yêu cầu các tổ chức tín dụng và doanh nghiệp đầu tư phải xây dựng chính sách thù lao phù hợp với quản lý rủi ro hiệu quả.
Business Scopes >> Alignment Scopes >> Dodd Frank Alignment Scopes,Dodd Frank Alignment Scopes,These alignment scopes include business terms from the Business Core Vocabulary and Business Performance Indicators that support a number of requirements that were brought into law as part of the  United States Dodd-Frank Wall Street Reform and Consumer Protection Act.,[Auto] Các phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả hoạt động kinh doanh hỗ trợ một số yêu cầu đã được đưa vào luật như một phần của Đạo luật bảo vệ người tiêu dùng và cải cách Phố Wall Dodd-Frank của Hoa Kỳ.
Business Scopes >> Alignment Scopes >> Dodd Frank Alignment Scopes >> DF - Further Definition Of Swap Dealers And Participants 17 CFR Alignment Scope,DF - Further Definition Of Swap Dealers And Participants 17 CFR Alignment Scope,This alignment scope includes the business terms from the business core vocabulary and business performance indicators that support Dodd Frank Further Definition Of Swap Dealers And Participants 17 CFR.,[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ từ vựng cốt lõi trong kinh doanh và các chỉ số hiệu quả kinh doanh hỗ trợ Dodd Frank Định nghĩa sâu hơn về người tham gia và đại lý hoán đổi 17 CFR.
Business Scopes >> Alignment Scopes >> Dodd Frank Alignment Scopes >> DF - Further Definition Of Swaps Security-Based Swaps 17 CFR Alignment Scope,DF - Further Definition Of Swaps Security-Based Swaps 17 CFR Alignment Scope,This alignment scope includes the business terms from the business core vocabulary and business performance indicators that support Dodd Frank Further Definition Of Swaps Security-Based Swaps 17 CFR.,[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ từ vựng cốt lõi trong kinh doanh và các chỉ số hiệu quả kinh doanh hỗ trợ Dodd Frank Định nghĩa sâu hơn về Hoán đổi Hoán đổi dựa trên bảo mật 17 CFR.
Business Scopes >> Alignment Scopes >> Dodd Frank Alignment Scopes >> DF - Large Trader Reporting 17 CFR 240 And 249 Alignment Scope,DF - Large Trader Reporting 17 CFR 240 And 249 Alignment Scope,This alignment scope includes the business terms from the business core vocabulary and business performance indicators that support Dodd Frank Large Trader Reporting 17 CFR 240 And 249.,[Auto] Phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ từ vựng cốt lõi trong kinh doanh và các chỉ báo hiệu suất kinh doanh hỗ trợ Báo cáo Nhà giao dịch lớn của Dodd Frank 17 CFR 240 và 249.
Business Scopes >> Alignment Scopes >> EBA DPM Alignment Scope,EBA DPM Alignment Scope,This alignment scope includes all of the business terms from the Business Core Vocabulary that are relevant to the FINREP business Domains and Dimensions from the European Banking Authority Data Point Model (DPM).,[Auto] Phạm vi liên kết này bao gồm tất cả các thuật ngữ kinh doanh từ Từ vựng cốt lõi kinh doanh có liên quan đến Miền và Kích thước kinh doanh FINREP từ Mô hình điểm dữ liệu của Cơ quan ngân hàng châu Âu (DPM).
Business Scopes >> Alignment Scopes >> FATCA Alignment Scope,FATCA Alignment Scope,"The purpose of this alignment scope is to provide explicit coverage within the business terms from the Business Core Vocabulary and Business Performance Indicators to support the objects required by the Foreign Account Tax Compliance (FATCA) scenario.

Below is a list of FATCA source documents available on the U.S. IRS and Treasury websites:

Individual Taxpayers:
TD 9567 
Notice 2013-10 

Financial Institutions:
TD 9610 
Notice 2011-53 
Notice 2011-34 
Notice 2010-60 

Intergovernmental Agreements:
Model 1A
Model 1B
Model 2

Forms:
W-8BEN
W-8BEN-E 
W-8ECI 
W-8EXP 
W-8IMY 
W-9 
Form 1042 
Form 1042-S 
Form 8938
Form 8957","[Auto] Mục đích của phạm vi liên kết này là cung cấp phạm vi bao quát rõ ràng trong các điều khoản kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ số hiệu quả kinh doanh để hỗ trợ các đối tượng mà kịch bản Tuân thủ thuế tài khoản nước ngoài (FATCA) yêu cầu.

Dưới đây là danh sách các tài liệu nguồn FATCA có trên trang web IRS và Kho bạc Hoa Kỳ:

Người nộp thuế cá nhân:
TD 9567 
Thông báo 2013-10 

Tổ chức tài chính:
TD 9610 
Thông báo 2011-53 
Thông báo 2011-34 
Thông báo 2010-60 

Các hiệp định liên chính phủ:
Mẫu 1A
Mẫu 1B
Mẫu 2

Các hình thức:
W-8BEN
W-8BEN-E 
W-8ECI 
W-8EXP 
W-8IMY 
W-9 
Mẫu 1042 
Mẫu 1042-S 
Mẫu 8938
Mẫu 8957"
Business Scopes >> Alignment Scopes >> FIBO Alignment Scope,FIBO Alignment Scope,"This alignment scope includes all of the business terms from the Business Core Vocabulary that support the Financial Industry Business Ontology (FIBO) standard, a joint effort by OMG and the Enterprise Data Management (EDM) Council.","[Auto] Phạm vi liên kết này bao gồm tất cả các thuật ngữ kinh doanh từ Từ vựng cốt lõi kinh doanh hỗ trợ tiêu chuẩn Bản thể kinh doanh ngành tài chính (FIBO), một nỗ lực chung của OMG và Hội đồng quản lý dữ liệu doanh nghiệp (EDM)."
Business Scopes >> Alignment Scopes >> GDPR Alignment Scope,GDPR Alignment Scope,This alignment scope references business terms found in the Business Core Vocabulary which may be relevant to a General Data Protection Regulation (GDPR) project or to data protection related project.,[Auto] Phạm vi căn chỉnh này tham chiếu các thuật ngữ kinh doanh có trong Từ vựng cốt lõi kinh doanh có thể liên quan đến dự án Quy định bảo vệ dữ liệu chung (GDPR) hoặc dự án liên quan đến bảo vệ dữ liệu.
Business Scopes >> Alignment Scopes >> Sarbanes-Oxley Act (SOX) Alignment Scopes,Sarbanes-Oxley Act (SOX) Alignment Scopes,These alignment scopes include business terms from the Business Core Vocabulary and Business Performance Indicators that support the Financial Institution in the generation and analysis of the Security And Exchange Commissions (SEC) 10Q and 10K reports. These reports support the Financial Institution with regard to compliance with Sections 302 and 404 of the Sarbanes-Oxley Act.,[Auto] Các phạm vi liên kết này bao gồm các thuật ngữ kinh doanh từ Từ vựng cốt lõi trong kinh doanh và Chỉ báo hiệu quả kinh doanh hỗ trợ Tổ chức tài chính trong việc tạo và phân tích các báo cáo 10Q và 10K của Ủy ban An ninh và Giao dịch (SEC). Các báo cáo này hỗ trợ Tổ chức Tài chính về việc tuân thủ Mục 302 và 404 của Đạo luật Sarbanes-Oxley.
Business Scopes >> Alignment Scopes >> Sarbanes-Oxley Act (SOX) Alignment Scopes >> SOX - Consolidated Balance Sheet Analysis Alignment Scope,SOX - Consolidated Balance Sheet Analysis Alignment Scope,"Sarbanes-Oxley Act - Consolidated Balance Sheet Analysis

To analyze the Financial Institutions 10Q and 10K Balance Sheets which report the Financial Institution's total assets, total liabilities, and total shareholders equity at a specific time. The Sarbanes Oxley Act Balance Sheet Analysis Scope assists Financial Institutions in optimizing report generation and analysis with regard to the Securities And Exchange Commissions (SEC) 10Q and 10K regulatory filing requirements.","[Auto] Đạo luật Sarbanes-Oxley - Phân tích bảng cân đối kế toán hợp nhất

Để phân tích Bảng cân đối kế toán 10Q và 10K của Tổ chức Tài chính, báo cáo tổng tài sản, tổng nợ phải trả và tổng vốn cổ đông của Tổ chức Tài chính tại một thời điểm cụ thể. Phạm vi Phân tích Bảng Cân đối Kế toán theo Đạo luật Sarbanes Oxley hỗ trợ các Tổ chức Tài chính tối ưu hóa việc tạo và phân tích báo cáo liên quan đến các yêu cầu nộp hồ sơ quy định 10Q và 10K của Ủy ban Chứng khoán và Giao dịch (SEC)."
Business Scopes >> Alignment Scopes >> Sarbanes-Oxley Act (SOX) Alignment Scopes >> SOX - Consolidated Financial Statements Notes Analysis Alignment Scope,SOX - Consolidated Financial Statements Notes Analysis Alignment Scope,"Sarbanes-Oxley Act - Notes To Consolidated Financial Statements Analysis

To analyze the ""Notes To Consolidated Financial Statement"" section of the 10Q and 10K reports which must be logged by the Financial Institution with the Securities And Exchange Commission (SEC) in order to be compliant with Sections 302 and 404 of the Sarbanes Oxley Act.","[Auto] Đạo luật Sarbanes-Oxley - Lưu ý về phân tích báo cáo tài chính hợp nhất

Để phân tích phần ""Ghi chú cho Báo cáo tài chính hợp nhất"" của báo cáo 10Q và 10K phải được Tổ chức tài chính đăng nhập với Ủy ban Chứng khoán và Giao dịch (SEC) để tuân thủ Mục 302 và 404 của Đạo luật Sarbanes Oxley."
Business Scopes >> Alignment Scopes >> Sarbanes-Oxley Act (SOX) Alignment Scopes >> SOX - Consolidated Statement Of Cash Flows Analysis Alignment Scope,SOX - Consolidated Statement Of Cash Flows Analysis Alignment Scope,"Sarbanes-Oxley Act - Consolidated Statement Of Cash Flows Analysis.

To analyze a Financial Institution's Cash Flow which is the amount of cash a Financial Institution generates and uses during a period, calculated by adding non-cash charges (such as depreciation) to the net income after taxes. The Sarbanes Oxley Act Cash Flow Analysis Scope assists Financial Institutions in optimizing report generation and analysis with regard to the Securities And Exchange Commissions (SEC) 10Q and 10K regulatory filing requirements.","[Auto] Đạo luật Sarbanes-Oxley - Báo cáo tổng hợp về phân tích dòng tiền.

Để phân tích Dòng tiền của Tổ chức Tài chính là lượng tiền mặt mà Tổ chức Tài chính tạo ra và sử dụng trong một kỳ, được tính bằng cách cộng các khoản phí không dùng tiền mặt (chẳng hạn như khấu hao) vào thu nhập ròng sau thuế. Phạm vi phân tích dòng tiền theo Đạo luật Sarbanes Oxley hỗ trợ các Tổ chức Tài chính tối ưu hóa việc tạo và phân tích báo cáo liên quan đến các yêu cầu nộp hồ sơ quy định 10Q và 10K của Ủy ban Chứng khoán và Giao dịch (SEC)."
Business Scopes >> Alignment Scopes >> Sarbanes-Oxley Act (SOX) Alignment Scopes >> SOX - Consolidated Statement Of Changes in Shareholders' Equity Analysis Alignment Scope,SOX - Consolidated Statement Of Changes in Shareholders' Equity Analysis Alignment Scope,"Sarbanes-Oxley Act - Consolidated Statement Of Changes in Shareholders' Equity Analysis

To analyze a Financial Institution's Statement Of Changes In Equity which includes net profit / loss for period, other gains and losses recognized directly in equity and the impact of changes in accounting policy and fundamental errors when these are presented as a prior period adjustment. The Sarbanes Oxley Act Statement Of Changes In Equity Analysis scope assists Financial Institutions in optimizing report generation and analysis with regard to the Securities And Exchange Commissions (SEC) 10Q and 10K regulatory filing requirements.","[Auto] Đạo luật Sarbanes-Oxley - Báo cáo hợp nhất về những thay đổi trong phân tích vốn chủ sở hữu của cổ đông

Để phân tích Báo cáo về sự thay đổi vốn chủ sở hữu của Tổ chức tài chính, bao gồm lãi / lỗ ròng trong kỳ, các khoản lãi và lỗ khác được ghi nhận trực tiếp vào vốn chủ sở hữu và tác động của những thay đổi trong chính sách kế toán và các lỗi cơ bản khi chúng được trình bày dưới dạng điều chỉnh kỳ trước. Tuyên bố của Đạo luật Sarbanes Oxley về những thay đổi trong phạm vi Phân tích Vốn chủ sở hữu hỗ trợ các Tổ chức Tài chính tối ưu hóa việc tạo và phân tích báo cáo liên quan đến các yêu cầu nộp hồ sơ quy định 10Q và 10K của Ủy ban Chứng khoán và Giao dịch (SEC)."
Business Scopes >> Alignment Scopes >> Sarbanes-Oxley Act (SOX) Alignment Scopes >> SOX - Consolidated Statement Of Income Analysis Alignment Scope,SOX - Consolidated Statement Of Income Analysis Alignment Scope,"Sarbanes-Oxley Act - Consolidated Statement Of Income Analysis

To analyze a Financial Institution Income Statement which is a financial report that by summarizing revenues and expenses, and showing the net profit or loss in a specified accounting period it depicts a Financial Institution's financial performance due to operations as well as other activities rendering gains or losses. Also known as the profit and loss statement. The Sarbanes Oxley Act Statement Of Income Analysis views assists Financial Institutions in optimizing report generation and analysis with regard to the Securities And Exchange Commissions (SEC) 10Q and 10K regulatory filing requirements.","[Auto] Đạo luật Sarbanes-Oxley - Báo cáo phân tích thu nhập tổng hợp

Để phân tích Báo cáo Thu nhập của Tổ chức Tài chính là một báo cáo tài chính bằng cách tóm tắt các khoản thu và chi, đồng thời hiển thị lãi hoặc lỗ ròng trong một kỳ kế toán cụ thể, nó mô tả kết quả hoạt động tài chính của Tổ chức Tài chính do hoạt động cũng như các hoạt động khác tạo ra lãi hoặc lỗ. Còn được gọi là báo cáo lãi lỗ. Quan điểm Tuyên bố về Phân tích Thu nhập của Đạo luật Sarbanes Oxley hỗ trợ các Tổ chức Tài chính tối ưu hóa việc tạo và phân tích báo cáo liên quan đến các yêu cầu nộp hồ sơ quy định 10Q và 10K của Ủy ban Chứng khoán và Giao dịch (SEC)."
Business Scopes >> Alignment Scopes >> Sarbanes-Oxley Act (SOX) Alignment Scopes >> SOX - Management Discussion And Analysis Alignment Scope,SOX - Management Discussion And Analysis Alignment Scope,"Sarbanes-Oxley Act - Management's Discussion And Analysis Of Financial Condition and Results Of Operations

To analyze the ""Management's Discussion And Analysis Of Results Of Financial Condition And Results Of Operations"" section of the 10Q and 10K reports which must be logged by the Financial Institution with the Securities And Exchange Commission (SEC) in order to be compliant with Sections 302 and 404 of the Sarbanes Oxley Act","[Auto] Đạo luật Sarbanes-Oxley - Thảo luận và phân tích của ban quản lý về tình hình tài chính và kết quả hoạt động

Để phân tích phần ""Thảo luận và phân tích của Ban quản lý về kết quả tình trạng tài chính và kết quả hoạt động"" của báo cáo 10Q và 10K phải được Tổ chức tài chính ghi lại với Ủy ban Chứng khoán và Giao dịch (SEC) để tuân thủ Mục 302 và 404 của Đạo luật Sarbanes Oxley"
Business Scopes >> Alignment Scopes >> Sarbanes-Oxley Act (SOX) Alignment Scopes >> Sarbanes Oxley Act Analysis Alignment Scope,Sarbanes Oxley Act Analysis Alignment Scope,"A Scope which supports the Financial Institution in the generation and analysis of the Security And Exchange Commissions (SEC) 10Q and 10K reports. These reports support the Financial Institution with regard to compliance with Sections 302 and 404 of the Sarbanes Oxley Act.

Section 302. Corporate responsibility for financial reports.
Section 404. Management assessment of internal controls.","[Auto] Phạm vi hỗ trợ Tổ chức Tài chính trong việc tạo và phân tích các báo cáo 10Q và 10K của Ủy ban An ninh và Giao dịch (SEC). Những báo cáo này hỗ trợ Tổ chức Tài chính về việc tuân thủ Mục 302 và 404 của Đạo luật Sarbanes Oxley.

Điều 302. Trách nhiệm của doanh nghiệp đối với báo cáo tài chính
Điều 404. Đánh giá của lãnh đạo về kiểm soát nội bộ"
Business Scopes >> Anti Money Laundering (AML),Anti Money Laundering (AML),A Scope identifying terms in the Knowledge Accelerator for Financial Services (KAFS) vocabulary for supporting various Anti Money Laundering (AML) scenarios.,[Auto] Phạm vi xác định các thuật ngữ trong từ vựng Công cụ tăng tốc kiến ​​thức cho dịch vụ tài chính (KAFS) để hỗ trợ các tình huống Chống rửa tiền (AML) khác nhau.
