Logical Table Name;Physical Name;STT;Physical Name;Logical Name;Định nghĩa;Giá trị
Order Book HNX;ORDER_BOOK_HNX;7;SELL_BUY_CLASSIFICATION_CODE;Sell/Buy Classification Code;Trường dữ liệu dùng để xác định hướng của lệnh: Mua/Bán;"1 Sell
2 Buy
3 Sell/Buy
* Replaced order should be input with same value of original order
* Cancelled order will be input with SPACE"
Order Book HNX;ORDER_BOOK_HNX;8;ACCOUNT_NUMBER;Account Number;"Mã định danh tài khoản giao dịch của nhà đầu tư tại công ty chứng khoán (Member). Dùng để xác định chủ sở hữu lệnh, phục vụ quản lý rủi ro, thanh toán và giám sát thị trường.
- Member ID → công ty chứng khoán
- Account Number → khách hàng cụ thể trong công ty đó
- Account Number + Member ID = xác định duy nhất một nhà đầu tư";
Order Book HNX;ORDER_BOOK_HNX;9;ORDER_TYPE_CODE;Order Type Code;Trường dữ liệu xác định loại lệnh (order type) — tức là cách hệ thống matching engine xử lý lệnh đó.;"1 Market
2 Limit
3 Stop Market
4 Stop Limit
X Same side limit
Y Contrary side limit
* ATO/ATC will process with the condition of (order type) Market + (order condition)ATO/ATC
* Cancelled order will be input with SPACE"
Order Book HNX;ORDER_BOOK_HNX;10;ORDER_CONDITION_CODE;Order Condition Code;Trường xác định điều kiện thực hiện lệnh — tức là lệnh được khớp khi nào, như thế nào, và có được giữ lại hay không.;"0 FAS
1 GTC
2 ATO
3 FAK
4 FOK
6 GTD
7 ATC
9 MTL
* Cancelled order will be input whit SPACE"
Order Book HNX;ORDER_BOOK_HNX;11;CLIENT_HOUSE_CLASSIFICATION_CODE;Client/House Classification Code;Lệnh này là của khách hàng (client) hay của chính công ty chứng khoán (house);"10 Client trade
30 House trade
* Replaced/Cancelled order will be input with SPACE"
Order Book HNX;ORDER_BOOK_HNX;12;INVESTOR_CLASSIFICATION_CODE;Investor Classification Code;"Trường dùng để phân loại nhà đầu tư theo loại hình tổ chức/cá nhân, phục vụ giám sát, thống kê và quản lý thị trường.
Trả lời câu hỏi: Nhà đầu tư đứng sau lệnh này thuộc loại nào trong nền kinh tế?
Investor Classification Code có cấu trúc ABCD, trong đó:
- A (hàng nghìn) → Nhóm lớn (sector)
- B/C/D → Nhóm con chi tiết hơn
Ví dụ: 
- 3000 là Quỹ
- 3100: Quỹ cụ thể (mutual fund)
- 3200: ETF";"1000 Securities company and Futures company
2000 Insurance company
3000 Asset management company and Investment company
3100 Private fund
4000 Bank (Trust asset of Asset management company will be 
         classified into Asset management company)
5000 General finance company, Mutual saving bank
6000 Pension, Fund and Mutual aid
7000 Country, Self-governing body and international organization
7100 Misc coorporation
8000 Individual
* Replaced/Cancelled order will be input with SPACE"
Order Book HNX;ORDER_BOOK_HNX;13;ORDER_DATE;Order Date;"Ngày mà lệnh được ghi nhận (được tạo/nhận) theo ngày giao dịch của hệ thống
Không phải thời gian chi tiết (không có giờ/phút/giây)";* In case of GT order Replace/cancel confirm, initial order date will be the value
Order Book HNX;ORDER_BOOK_HNX;14;ORDER_REJECT_REASON_CODE;Order Reject Reason Code;"Mã lý do giải thích vì sao lệnh bị từ chối (reject) bởi hệ thống.
Trả lời câu hỏi: Tại sao một lệnh KHÔNG được chấp nhận vào hệ thống KRX";Refer to order reject reason code
Order Book HNX;ORDER_BOOK_HNX;15;ORDER_QUANTITY;Order Quantity;Số lượng chứng khoán mà nhà đầu tư muốn mua hoặc bán trong một lệnh;Order quantity
Order Book HNX;ORDER_BOOK_HNX;16;ORDER_PRICE;Order Price;Mức giá mà nhà đầu tư sẵn sàng mua hoặc bán chứng khoán;"* For order type whose price is not available, 0 will be input
* For Fixed price board order, 0 will be input
* For cancel order, 0 will be input"
Order Book HNX;ORDER_BOOK_HNX;17;PUBLIC_QUANTITY;Public quantity;"Phần khối lượng của lệnh được hiển thị công khai trên sổ lệnh (order book).
Public Quantity ≤ Order Quantity
Vai trò (ý nghĩa):
1. Ẩn ý định giao dịch lớn để Tránh làm thị trường:
- Biết bạn muốn mua/bán nhiều
- Di chuyển giá bất lợi
2. Giảm market impact, Nếu đặt full thì giá có thể: Tăng mạnh (buy) hoặc Giảm mạnh (sell)
3. Tối ưu execution: Khớp dần dần giá tốt hơn";Public quantity of Iceberg order
Order Book HNX;ORDER_BOOK_HNX;18;CONDITION_PRICE;Condition price;Mức giá điều kiện dùng để kích hoạt một lệnh (thường là stop order hoặc conditional order);Condition prcie of Stop order
Order Book HNX;ORDER_BOOK_HNX;19;ORDER_RECEPTION_NUMBER;Order Reception Number;"Số định danh của lệnh tại thời điểm hệ thống (KRX hoặc gateway) tiếp nhận lệnh. Đặc điểm:
- Duy nhất trong ngày giao dịch
- Thường tăng dần
- Do hệ thống sinh ra
- Độ dài: Theo spec (ví dụ 10–12 ký tự số)";"Order number by issue given by ME
*  Sequqntial number given to order message received by ME
  -  Given by market + board + issue
  -  Given to valid orders passed duplication check at the moment
     of reception
  -  Given to orders to be  invalidated at  the moment of SC 
     activation"
Order Book HNX;ORDER_BOOK_HNX;20;ORIGINAL_ORDER_RECEPTION_NUMBER;Original Order Reception Number;Số Order Reception Number của lệnh gốc mà một yêu cầu (sửa/hủy) đang tham chiếu tới;Original order reception number
Order Book HNX;ORDER_BOOK_HNX;21;ORIGINAL_ORDER_TYPE_CODE;Original Order Type Code;"Loại lệnh (Order Type) của lệnh GỐC trước khi bị sửa (amend) hoặc hủy (cancel)
Bạn đã biết: Order Type Code → loại lệnh hiện tại (Limit, Market, Stop…) nhưng khi có thay đổi Hệ thống vẫn cần biết Ban đầu lệnh này là loại gì? Đó chính là: Original Order Type Code";
Order Book HNX;ORDER_BOOK_HNX;22;SESSION_ID;Session ID;"Mã xác định phiên giao dịch (trading session) mà lệnh đang thuộc về.
Bản chất: Một ngày giao dịch không phải là một khối liên tục, mà được chia thành nhiều phiên nên Session ID cho biết “Lệnh này đang ở phiên nào?”";"00 Pre-market opening session
10 Opening call auction session
11 Extension of opening call auction session
20 Continuous shifted auction session
21 Extension of continuous shifted auction session
25 Buy-In
30 Closing single price auction session
40 Continuous auction session
50 Pre-market off-hour
60 Post-market off-hour order receipt
65 Post-market off-hours session
70 Post-market off-hour(Call Auction)
80 Unit trading
90 Trading halt
99 Market closing"
Order Book HNX;ORDER_BOOK_HNX;23;ORDER_REMAINING_QUANTITY;Order Remaining Quantity;"Khối lượng còn lại của lệnh chưa được khớp hoặc chưa bị hủy.
Khi một lệnh được gửi vào thị trường có thể:
- Khớp một phần
- Khớp hết
- Bị hủy một phần
Vì vậy Order Quantity = Executed Quantity + Remaining Quantity + Cancelled Quantity";
Order Book HNX;ORDER_BOOK_HNX;24;MESSAGE_SEQUENCE;Message Sequence;Số thứ tự của message được gửi trong luồng dữ liệu, dùng để đảm bảo các message được xử lý đúng thứ tự.;Sequential number of message given to the records of data in incremental order starting from number 1
Order Book HNX;ORDER_BOOK_HNX;25;REPLACE_CANCEL_CLASSIFICATION_CODE;Replace/cancel classification code;"Mã xác định loại hành động đối với lệnh hiện tại, cụ thể là:
- Sửa lệnh (Replace/Amend)
- Hủy lệnh (Cancel)";"1 New
2 Replace
3 Cancel"
Order Book HNX;ORDER_BOOK_HNX;26;QUOTE_REQUEST_TYPE;Quote Request Type;"Mã xác định loại yêu cầu báo giá (Request For Quote – RFQ) mà một bên gửi tới thị trường hoặc đối tác.
Khác với order thông thường: Order → đặt trực tiếp vào order book
Quote flow sẽ là: Request Quote → Nhận báo giá → Quyết định giao dịch
=> Quote Request Type = loại yêu cầu báo giá";"1 Request (Initiator)
2 Cancel(Initiator)
3 Confirm(Counterparty)
4 Reject(Counterparty)"
Order Book HNX;ORDER_BOOK_HNX;27;AUTOMATED_CANCEL_PROCESSING_CLASSIFICATION;Automated Cancel Processing Classification;"Mã xác định việc hủy lệnh có được thực hiện tự động bởi hệ thống hay không, và nếu có thì do cơ chế nào.
Giúp trả lời câu hỏi: “Lệnh này bị hủy vì người dùng hay vì hệ thống?”
Trong các giá trị thì 0 là không phải auto, từ 1 - 5 đều là auto";"0 n/a
1 Cancel of condition order
2 Batch cancel processing
3 Kill Switch trigger
4 Cancel On Disconnect trigger
5 Auto cancel after release of dynamic price limit action"
Order Book HNX;ORDER_BOOK_HNX;28;ORDER_ID;order ID ;"Mã định danh của một lệnh giao dịch, dùng để nhận diện lệnh đó trong toàn bộ hệ thống.
Phân biệt một số loại ID ở trên:
+ Client Order ID: Do client/broker tạo
+ Order ID: ID logic của lệnh
+ Order Reception Number: ID khi vào KRX
+ Trade ID: ID khi khớp";order ID 
Order Book HNX;ORDER_BOOK_HNX;29;ORIGINAL_ORDER_ID;Original order ID ;"Order ID của lệnh GỐC mà một lệnh sửa (replace) hoặc hủy (cancel) đang tham chiếu tới
Ví dụ:
Bước 1: Đặt lệnh Order ID = A123
Bước 2: Sửa lệnh Order ID = A124 và Original Order ID = A123";Original order ID 
Order Book HNX;ORDER_BOOK_HNX;30;FOREIGN_INVESTOR_TYPE_CODE;Foreign Investor Type Code;Mã dùng để phân loại loại hình nhà đầu tư nước ngoài tham gia giao dịch.;"00 Not Foreigner
10 Foreigner(Residence)
20 Foreigner(Nonresidence)
"
Trade Book HNX;TRADE_BOOK_HNX;1;TRADE_DATE;Trade date;Ngày giao dịch của trade;
Trade Book HNX;TRADE_BOOK_HNX;2;MARKET_ID;Market ID;Thị trường: Dùng để xác định lệnh đó thuộc thị trường nào. Mỗi Market có rule riêng;
Trade Book HNX;TRADE_BOOK_HNX;3;BOARD_ID;Board ID;Loại bảng: Xác định kiểm mua bán trong thị trường;
Trade Book HNX;TRADE_BOOK_HNX;4;ISSUE_CODE;Issue Code;Mã định danh của loại chứng khoán đang được giao dịch. Mã này là duy nhất.;
Trade Book HNX;TRADE_BOOK_HNX;5;TRADE_NUMBER;Trade number;ID của giao dịch. Dùng để: Unique key, Audit, Tracking trade;
Trade Book HNX;TRADE_BOOK_HNX;6;TRADE_TIME;Trade time;Thời điểm giao dịch xảy ra;
Trade Book HNX;TRADE_BOOK_HNX;7;TRADE_PRICE;Trade price;"Giá khớp của giao dịch
Ví dụ: 10000 → 10,000 VND";
Trade Book HNX;TRADE_BOOK_HNX;8;TRADE_QUANTITY;Trade quantity;Khối lượng giao dịch;
Trade Book HNX;TRADE_BOOK_HNX;9;SESSION_ID;Session ID;"Mã xác định phiên giao dịch (trading session) mà lệnh đang thuộc về.
Bản chất: Một ngày giao dịch không phải là một khối liên tục, mà được chia thành nhiều phiên nên Session ID cho biết “Lệnh này đang ở phiên nào?”";
Trade Book HNX;TRADE_BOOK_HNX;10;SELL_REPLACE_CANCEL_CLASSIFICATION_CODE;Sell Replace/cancel classification code;Mã xác định hành động sửa hoặc hủy của lệnh bên BÁN (Sell order) liên quan đến giao dịch hoặc message hiện tại.;
Trade Book HNX;TRADE_BOOK_HNX;11;SELL_MEMBER_NUMBER;Sell member number;Mã định danh của công ty chứng khoán (broker) thực hiện lệnh bán;
Trade Book HNX;TRADE_BOOK_HNX;12;SELL_ACCOUNT_NUMBER;Sell account number;Số tài khoản giao dịch của khách hàng thực hiện lệnh bán;
Trade Book HNX;TRADE_BOOK_HNX;13;SELL_ORDER_TYPE_CODE;Sell order type code;Mã xác định loại lệnh của phía BÁN, tức là lệnh bán sẽ được xử lý theo cơ chế nào khi vào thị trường.;
Trade Book HNX;TRADE_BOOK_HNX;14;SELL_ORDER_CONDITION_CODE;Sell order condition code;Là mã xác định điều kiện hiệu lực và cách xử lý của lệnh bán theo thời gian và trạng thái khớp.;
Trade Book HNX;TRADE_BOOK_HNX;15;SELL_CLIENT_HOUSE_CLASSIFICATION;Sell client/house classification;Mã phân loại lệnh bán thuộc về khách hàng (client) hay tự doanh (house) của công ty chứng khoán;
Trade Book HNX;TRADE_BOOK_HNX;16;SELL_INVESTOR_CLASSIFICATION_CODE;Sell investor classification code;"Trường dùng để phân loại nhà đầu tư theo loại hình tổ chức/cá nhân, phục vụ giám sát, thống kê và quản lý thị trường.
Trả lời câu hỏi: Nhà đầu tư đứng sau lệnh này thuộc loại nào trong nền kinh tế?
Investor Classification Code có cấu trúc ABCD, trong đó:
- A (hàng nghìn) → Nhóm lớn (sector)
- B/C/D → Nhóm con chi tiết hơn
Ví dụ: 
- 3000 là Quỹ
- 3100: Quỹ cụ thể (mutual fund)
- 3200: ETF";
Trade Book HNX;TRADE_BOOK_HNX;17;SELL_ORDER_QUANTITY;Sell order quantity;Khối lượng đặt bán;
Trade Book HNX;TRADE_BOOK_HNX;18;SELL_ORDER_PRICE;Sell order price;Giá đặt bán;
Trade Book HNX;TRADE_BOOK_HNX;19;BUY_MEMBER_NUMBER;Buy member number;Mã/số công ty chứng khoán thực hiện giao dịch mua;
Trade Book HNX;TRADE_BOOK_HNX;20;BUY_REPLACE_CANCEL_CLASSIFICATION_CODE;Buy Replace/cancel classification code;Loại hành động đối với lệnh mua hiện tại;
Trade Book HNX;TRADE_BOOK_HNX;21;BUY_ACCOUNT_NUMBER;Buy account number;Mã tài khoản thực hiện giao dịch mua;
Trade Book HNX;TRADE_BOOK_HNX;22;BUY_ORDER_TYPE_CODE;Buy order type code;Loại lệnh mua;
Trade Book HNX;TRADE_BOOK_HNX;23;BUY_ORDER_CONDITION_CODE;Buy order condition code;Điều kiện thực hiện lệnh mua;
Trade Book HNX;TRADE_BOOK_HNX;24;BUY_CLIENT_HOUSE_CLASSIFICATION;Buy client/house classification;Lệnh mua của khách hàng (client) hay của chính công ty chứng khoán (house);
Trade Book HNX;TRADE_BOOK_HNX;25;BUY_INVESTOR_CLASSIFICATION_CODE;Buy investor classification code;Phân loại nhà đầu tư mua theo loại hình tổ chức/cá nhân;
Trade Book HNX;TRADE_BOOK_HNX;26;BUY_ORDER_QUANTITY;Buy order quantity;Khối lượng đặt mua;
Trade Book HNX;TRADE_BOOK_HNX;27;BUY_ORDER_PRICE;Buy order price;Giá đặt mua;
Trade Book HNX;TRADE_BOOK_HNX;28;MESSAGE_SEQUENCE;Message Sequence;Số thứ tự của message được gửi trong luồng dữ liệu, dùng để đảm bảo các message được xử lý đúng thứ tự.;
Trade Book HNX;TRADE_BOOK_HNX;29;SELL_ORDER_RECEPTION_NUMBER;Sell Order Reception Number;Số định danh của lệnh mua tại thời điểm hệ thống (KRX hoặc gateway) tiếp nhận lệnh;
Trade Book HNX;TRADE_BOOK_HNX;30;BUY_ORDER_RECEPTION_NUMBER;Buy Order Reception Number;Số định danh của lệnh bán tại thời điểm hệ thống (KRX hoặc gateway) tiếp nhận lệnh;
Trade Book HNX;TRADE_BOOK_HNX;31;SELL_QUOTE_REQUEST_CODE;Sell Quote Request Code;Mã xác định loại yêu cầu báo giá của bên bán;
Trade Book HNX;TRADE_BOOK_HNX;32;BUY_QUOTE_REQUEST_CODE;Buy Quote Request Code;Mã xác định loại yêu cầu báo giá của bên mua;
Trade Book HNX;TRADE_BOOK_HNX;33;EXECUTION_PRICE_OF_SPREAD_FIRST;Execution Price of Spread First;Giá khớp của leg thứ nhất (First leg) trong spread;
Trade Book HNX;TRADE_BOOK_HNX;34;EXECUTION_PRICE_OF_SPREAD_SECOND;Execution Price of Spread Second;Giá khớp của leg thứ hai (Second leg);
Trade Book HNX;TRADE_BOOK_HNX;35;SELL_FOREIGN_INVESTOR_TYPE_CODE;Sell Foreign Investor Type Code;Mã dùng để phân loại loại hình nhà đầu tư nước ngoài tham gia giao dịch bán.;
Trade Book HNX;TRADE_BOOK_HNX;36;BUY_FOREIGN_INVESTOR_TYPE_CODE;Buy Foreign Investor Type Code;Mã dùng để phân loại loại hình nhà đầu tư nước ngoài tham gia giao dịch mua.;
