term_id,parent_term_id,term_name,definition,primary_grain,data_domain,source_tags,entity_tags,status,notes
NHNCK_142,,Appraisal Status Code,Trạng thái thẩm định,theo từng tài liệu đính kèm hồ sơ,Classification Value,NHNCK,Securities Practitioner License Application Document Attachment | Securities Practitioner License Application Education Certificate Document,draft,Scheme: APPRAISAL_STATUS.
NHNCK_143,,Is Invalid Indicator,Cờ không hợp lệ,theo từng tài liệu đính kèm hồ sơ,Boolean,NHNCK,Securities Practitioner License Application Document Attachment,draft,
NHNCK_144,,Is Incomplete Indicator,Cờ chưa hoàn thành,theo từng tài liệu đính kèm hồ sơ,Boolean,NHNCK,Securities Practitioner License Application Document Attachment,draft,
NHNCK_145,,Appraisaled Timestamp,Ngày thẩm định,theo từng tài liệu đính kèm hồ sơ,Timestamp,NHNCK,Securities Practitioner License Application Document Attachment | Securities Practitioner License Application Education Certificate Document,draft,
NHNCK_146,,License Application Education Certificate Document Code,Mã định danh (tự động tăng). BK,theo từng văn bằng đính kèm hồ sơ,Text,NHNCK,Securities Practitioner License Application Education Certificate Document,draft,BK chính.
NHNCK_147,,Specialization Type Code,Mã chuyên môn (FK → Specializations),theo từng văn bằng đính kèm hồ sơ,Classification Value,NHNCK,Securities Practitioner License Application Education Certificate Document | Securities Practitioner Professional Training Class,draft,Scheme: SPECIALIZATION_TYPE.
NHNCK_148,,Specialization Note,Nội dung/ghi chú,theo từng văn bằng đính kèm hồ sơ,Text,NHNCK,Securities Practitioner License Application Education Certificate Document,draft,
NHNCK_149,,Professional Full Name,Họ và tên người hành nghề (snapshot tại thời điểm cấp),theo từng chứng chỉ hành nghề,Text,NHNCK,Securities Practitioner License Certificate Document,draft,Denormalized snapshot.
NHNCK_150,,Issuance Decision Document Code,Mã quyết định cấp,theo từng chứng chỉ hành nghề,Text,NHNCK,Securities Practitioner License Certificate Document,draft,FK target: Securities Practitioner License Decision Document.License Decision Document Code. Pair with Issuance Decision Document Id.
NHNCK_151,,Revocation Decision Document Code,Mã quyết định thu hồi,theo từng chứng chỉ hành nghề,Text,NHNCK,Securities Practitioner License Certificate Document,draft,FK target: Securities Practitioner License Decision Document.License Decision Document Code. Pair with Revocation Decision Document Id.
NHNCK_152,,Cancellation Decision Document Code,Mã quyết định hủy,theo từng chứng chỉ hành nghề,Text,NHNCK,Securities Practitioner License Certificate Document,draft,FK target: Securities Practitioner License Decision Document.License Decision Document Code. Pair with Cancellation Decision Document Id.
NHNCK_153,,Certificate Issue Date,Ngày cấp chứng chỉ,theo từng chứng chỉ hành nghề,Date,NHNCK,Securities Practitioner License Certificate Document | Securities Practitioner Organization Employment Report,draft,
NHNCK_154,,Revocation Date,Ngày thu hồi chứng chỉ,theo từng chứng chỉ hành nghề,Date,NHNCK,Securities Practitioner License Certificate Document,draft,NULL = chưa bị thu hồi.
NHNCK_155,,Revocation Reason,Lý do thu hồi,theo từng chứng chỉ hành nghề,Text,NHNCK,Securities Practitioner License Certificate Document | Securities Practitioner License Certificate Group Member,draft,
NHNCK_156,,Certificate Status Code,"Trạng thái (0: Chưa sử dụng, 1: Đang sử dụng, 2: Thu hồi, 3: Đã hủy)",theo từng chứng chỉ hành nghề,Classification Value,NHNCK,Securities Practitioner License Certificate Document,draft,Scheme: CERTIFICATE_STATUS.
NHNCK_157,,Process Status Code,"Trạng thái xử lý (Đã cấp, Đã ký, Đã trả)",theo từng chứng chỉ hành nghề,Classification Value,NHNCK,Securities Practitioner License Certificate Document,draft,Scheme: CERTIFICATE_PROCESS_STATUS.
NHNCK_158,,Certificate Description,Mô tả,theo từng chứng chỉ hành nghề,Text,NHNCK,Securities Practitioner License Certificate Document,draft,
NHNCK_159,,Allow Reissue Indicator,"Cho phép cấp lại (0: Không, 1: Có)",theo từng chứng chỉ hành nghề,Boolean,NHNCK,Securities Practitioner License Certificate Document,draft,
NHNCK_160,,License Certificate Group Document Code,Mã nhóm,theo từng thành viên trong nhóm chứng chỉ,Text,NHNCK,Securities Practitioner License Certificate Group Document | Securities Practitioner License Certificate Group Member,draft,FK target: Securities Practitioner License Certificate Group Document.License Certificate Group Document Code. Pair with License Certificate Group Document Id.
NHNCK_161,,Group Name,Tên nhóm,theo từng nhóm chứng chỉ,Text,NHNCK,Securities Practitioner License Certificate Group Document,draft,
NHNCK_162,,Group Type Code,Loại nhóm (Cấp/Thu hồi/Hủy/Chuyển đổi),theo từng nhóm chứng chỉ,Classification Value,NHNCK,Securities Practitioner License Certificate Group Document,draft,Scheme: GROUP_TYPE.
NHNCK_163,,Group Description,Mô tả nhóm,theo từng nhóm chứng chỉ,Text,NHNCK,Securities Practitioner License Certificate Group Document,draft,
NHNCK_164,,Group Notes,Ghi chú,theo từng nhóm chứng chỉ,Text,NHNCK,Securities Practitioner License Certificate Group Document,draft,
NHNCK_165,,Group Status Code,Trạng thái nhóm,theo từng nhóm chứng chỉ,Classification Value,NHNCK,Securities Practitioner License Certificate Group Document,draft,Scheme: GROUP_STATUS.
NHNCK_166,,License Certificate Group Member Code,Mã định danh (tự động tăng). BK,theo từng thành viên trong nhóm chứng chỉ,Text,NHNCK,Securities Practitioner License Certificate Group Member,draft,BK chính.
NHNCK_167,,Order Index,Thứ tự sắp xếp trong nhóm,theo từng thành viên trong nhóm chứng chỉ,Small Counter,NHNCK,Securities Practitioner License Certificate Group Member,draft,
NHNCK_168,,Is Reissue Indicator,Cờ cho phép cấp lại,theo từng thành viên trong nhóm chứng chỉ,Boolean,NHNCK,Securities Practitioner License Certificate Group Member,draft,
NHNCK_169,,Member Status Code,Trạng thái thành viên nhóm,theo từng thành viên trong nhóm chứng chỉ,Classification Value,NHNCK,Securities Practitioner License Certificate Group Member,draft,Scheme: GROUP_MEMBER_STATUS.
NHNCK_170,,Decision Number,Số quyết định,theo từng quyết định hành chính,Text,NHNCK,Securities Practitioner License Decision Document,draft,Mã nghiệp vụ — số hiệu quyết định hành chính.
NHNCK_171,,Decision Title,Tiêu đề quyết định,theo từng quyết định hành chính,Text,NHNCK,Securities Practitioner License Decision Document,draft,
NHNCK_172,,Decision Reference,Trích dẫn,theo từng quyết định hành chính,Text,NHNCK,Securities Practitioner License Decision Document,draft,
NHNCK_173,,Decision Content,Nội dung quyết định,theo từng quyết định hành chính,Text,NHNCK,Securities Practitioner License Decision Document,draft,
NHNCK_174,,Signing Date,Ngày ký,theo từng quyết định hành chính,Date,NHNCK,Securities Practitioner License Decision Document,draft,
NHNCK_175,,Signatory Name,Người ký,theo từng quyết định hành chính,Text,NHNCK,Securities Practitioner License Decision Document,draft,Suffix Name — text tự do.
NHNCK_176,,Signatory Position Name,Chức vụ người ký,theo từng quyết định hành chính,Text,NHNCK,Securities Practitioner License Decision Document,draft,Suffix Name — text tự do.
NHNCK_177,,Decision Unit Name,Đơn vị ban hành,theo từng quyết định hành chính,Text,NHNCK,Securities Practitioner License Decision Document,draft,Suffix Name — text tự do.
NHNCK_178,,Attachment File Name,Tên file đính kèm,theo từng quyết định hành chính,Text,NHNCK,Securities Practitioner License Decision Document,draft,
NHNCK_179,,Decision Type Code,Loại quyết định,theo từng quyết định hành chính,Classification Value,NHNCK,Securities Practitioner License Decision Document,draft,Scheme: DECISION_TYPE.
NHNCK_180,,Decision Status Code,Trạng thái quyết định,theo từng quyết định hành chính,Classification Value,NHNCK,Securities Practitioner License Decision Document,draft,Scheme: DECISION_STATUS.
NHNCK_181,,Organization Employment Report Code,Mã định danh (tự động tăng). BK,theo từng báo cáo tuyển dụng,Text,NHNCK,Securities Practitioner Organization Employment Report,draft,BK chính.
NHNCK_182,,Securities Organization Code,Mã tổ chức,theo từng báo cáo tuyển dụng,Text,NHNCK,Securities Practitioner Organization Employment Report,draft,FK target: Securities Organization Reference.Securities Organization Reference Code. Pair with Securities Organization Id.
NHNCK_183,,Parent Organization Employment Report Code,Mã báo cáo cha,theo từng báo cáo tuyển dụng,Text,NHNCK,Securities Practitioner Organization Employment Report,draft,FK target: Securities Practitioner Organization Employment Report.Organization Employment Report Code. Pair with Parent Organization Employment Report Id.
NHNCK_184,,Report Type Code,Loại báo cáo,theo từng báo cáo tuyển dụng,Classification Value,NHNCK,Securities Practitioner Organization Employment Report,draft,Scheme: REPORT_TYPE.
NHNCK_185,,Report Date,Ngày báo cáo,theo từng báo cáo tuyển dụng,Date,NHNCK,Securities Practitioner Organization Employment Report,draft,
NHNCK_186,,Position Name,Chức vụ,theo từng báo cáo tuyển dụng,Text,NHNCK,Securities Practitioner Organization Employment Report,draft,Text tự do.
NHNCK_187,,Department Name,Phòng ban,theo từng báo cáo tuyển dụng,Text,NHNCK,Securities Practitioner Organization Employment Report,draft,Text tự do.
NHNCK_188,,Business Department Name,Phòng ban nghiệp vụ,theo từng báo cáo tuyển dụng,Text,NHNCK,Securities Practitioner Organization Employment Report,draft,Phân biệt với Department Name.
NHNCK_189,,Workplace Name,Nơi làm việc,theo từng người hành nghề,Text,NHNCK,Securities Practitioner Organization Employment Report | Securities Practitioner | Securities Practitioner Related Party,draft,Text tự do.
NHNCK_190,,Hire Date,Ngày tiếp nhận,theo từng báo cáo tuyển dụng,Date,NHNCK,Securities Practitioner Organization Employment Report,draft,
NHNCK_191,,Termination Date,Ngày thôi việc,theo từng báo cáo tuyển dụng,Date,NHNCK,Securities Practitioner Organization Employment Report,draft,NULL = đang làm việc.
NHNCK_192,,Discipline Description,Kỷ luật (vi phạm hoặc xử phạt),theo từng báo cáo tuyển dụng,Text,NHNCK,Securities Practitioner Organization Employment Report,draft,
NHNCK_193,,Report Description,Mô tả báo cáo,theo từng báo cáo tuyển dụng,Text,NHNCK,Securities Practitioner Organization Employment Report,draft,
NHNCK_194,,Sync Id,Mã đồng bộ,theo từng tổ chức thành viên,Text,NHNCK,Securities Practitioner Organization Employment Report | Securities Organization Reference,draft,Metadata đồng bộ.
NHNCK_195,,Sync Created Timestamp,Ngày tạo đồng bộ,theo từng báo cáo tuyển dụng,Timestamp,NHNCK,Securities Practitioner Organization Employment Report,draft,
NHNCK_196,,Sync Updated Timestamp,Ngày cập nhật đồng bộ,theo từng báo cáo tuyển dụng,Timestamp,NHNCK,Securities Practitioner Organization Employment Report,draft,
NHNCK_197,,Course Code,Mã khóa học (mã nghiệp vụ),theo từng khóa đào tạo,Text,NHNCK,Securities Practitioner Professional Training Class,draft,"Mã nghiệp vụ, khác BK."
NHNCK_198,,Course Name,Tên khóa học,theo từng khóa đào tạo,Text,NHNCK,Securities Practitioner Professional Training Class,draft,
NHNCK_199,,Academic Year,Năm học,theo từng khóa đào tạo,Text,NHNCK,Securities Practitioner Professional Training Class,draft,"Text vì là năm dạng ""2025""."
NHNCK_200,,Exam Date,Ngày thi,theo từng khóa đào tạo,Date,NHNCK,Securities Practitioner Professional Training Class,draft,
NHNCK_201,,Course Description,Mô tả khóa học,theo từng khóa đào tạo,Text,NHNCK,Securities Practitioner Professional Training Class,draft,
NHNCK_202,,Is Active Indicator,Trạng thái hoạt động,theo từng khóa đào tạo,Boolean,NHNCK,Securities Practitioner Professional Training Class,draft,
NHNCK_203,,Course Status Code,"Trạng thái (1: Hoạt động, 0: Không hoạt động, -1: Đã xóa)",theo từng khóa đào tạo,Classification Value,NHNCK,Securities Practitioner Professional Training Class,draft,Scheme: COURSE_STATUS.
NHNCK_204,,Organization Unit Code,Mã đơn vị. BK,theo từng đơn vị/phòng ban UBCKNN,Text,NHNCK,Regulatory Authority Organization Unit,draft,BK chính.
NHNCK_205,,Organization Unit Type Code,Phân loại — Đơn vị (Unit),theo từng đơn vị/phòng ban UBCKNN,Classification Value,NHNCK,Regulatory Authority Organization Unit,draft,
NHNCK_206,,Organization Unit Name,Tên đơn vị,theo từng đơn vị/phòng ban UBCKNN,Text,NHNCK,Regulatory Authority Organization Unit,draft,
NHNCK_207,,Organization Unit Description,Mô tả,theo từng đơn vị/phòng ban UBCKNN,Text,NHNCK,Regulatory Authority Organization Unit,draft,
NHNCK_208,,Organization Unit Status Code,Trạng thái,theo từng đơn vị/phòng ban UBCKNN,Classification Value,NHNCK,Regulatory Authority Organization Unit,draft,Scheme: ORGANIZATION_UNIT_STATUS.
NHNCK_209,,Parent Organization Unit Code,Mã đơn vị cha,theo từng đơn vị/phòng ban UBCKNN,Text,NHNCK,Regulatory Authority Organization Unit,draft,FK target: Regulatory Authority Organization Unit.Organization Unit Code. Pair with Parent Organization Unit Id.
NHNCK_210,,Sort Order,Thứ tự sắp xếp,theo từng tổ chức thành viên,Small Counter,NHNCK,Regulatory Authority Organization Unit | Securities Organization Reference,draft,
NHNCK_211,,Securities Organization Reference Code,Mã định danh (tự động tăng). BK,theo từng tổ chức thành viên,Text,NHNCK,Securities Organization Reference,draft,BK chính. PK nguồn.
NHNCK_212,,Organization Code,Mã tổ chức (mã nghiệp vụ),theo từng tổ chức thành viên,Text,NHNCK,Securities Organization Reference,draft,"Mã nghiệp vụ, khác BK."
NHNCK_213,,Organization Name,Tên tổ chức,theo từng tổ chức thành viên,Text,NHNCK,Securities Organization Reference,draft,
NHNCK_214,,English Name,Tên tiếng Anh,theo từng tổ chức thành viên,Text,NHNCK,Securities Organization Reference,draft,
NHNCK_215,,Abbreviation,Tên viết tắt,theo từng tổ chức thành viên,Text,NHNCK,Securities Organization Reference,draft,
NHNCK_216,,Organization Type Code,"Mã loại tổ chức (1: CTCK, 2: QLQ, 3: Ngân hàng, 4: Khác)",theo từng tổ chức thành viên,Classification Value,NHNCK,Securities Organization Reference,draft,Scheme: ORGANIZATION_TYPE.
NHNCK_217,,Organization Level Code,Cấp độ tổ chức,theo từng tổ chức thành viên,Classification Value,NHNCK,Securities Organization Reference,draft,Scheme: ORGANIZATION_LEVEL.
NHNCK_218,,Parent Organization Code,Mã tổ chức cha,theo từng tổ chức thành viên,Text,NHNCK,Securities Organization Reference,draft,FK target: Securities Organization Reference.Securities Organization Reference Code. Pair with Parent Organization Id.
NHNCK_219,,Representative Name,Người đại diện,theo từng tổ chức thành viên,Text,NHNCK,Securities Organization Reference,draft,"BCV: ""Designated Representative"" (Involved Party). Suffix Name. Chủ thể khác — không thuộc shared entity."
NHNCK_220,,Charter Capital Amount,Vốn điều lệ,theo từng tổ chức thành viên,Currency Amount,NHNCK,Securities Organization Reference,draft,
NHNCK_221,,License Number,Số giấy phép hoạt động,theo từng tổ chức thành viên,Text,NHNCK,Securities Organization Reference,draft,
NHNCK_222,,License Issuer,Cơ quan cấp giấy phép,theo từng tổ chức thành viên,Text,NHNCK,Securities Organization Reference,draft,
NHNCK_223,,License Date,Ngày cấp giấy phép,theo từng tổ chức thành viên,Date,NHNCK,Securities Organization Reference,draft,
NHNCK_224,,Website,Địa chỉ website,theo từng tổ chức thành viên,Text,NHNCK,Securities Organization Reference,draft,Thông tin công khai — không thuộc IP Electronic Address.
NHNCK_225,,Organization Description,Mô tả,theo từng tổ chức thành viên,Text,NHNCK,Securities Organization Reference,draft,
NHNCK_226,,Organization Status Code,Trạng thái,theo từng tổ chức thành viên,Classification Value,NHNCK,Securities Organization Reference,draft,Scheme: ORGANIZATION_STATUS.
NHNCK_227,,Linked Id,ID liên kết,theo từng tổ chức thành viên,Text,NHNCK,Securities Organization Reference,draft,Metadata liên kết hệ thống.
NHNCK_228,,Last Sync Date,Lần cuối đồng bộ,theo từng tổ chức thành viên,Date,NHNCK,Securities Organization Reference,draft,
NHNCK_229,,Sync Status Code,Trạng thái đồng bộ,theo từng tổ chức thành viên,Classification Value,NHNCK,Securities Organization Reference,draft,Scheme: SYNC_STATUS.
NHNCK_230,,Identity Reference Code,Mã định danh giấy tờ tùy thân (FK bảng identity riêng),theo từng giấy tờ định danh,Text,NHNCK,Securities Practitioner | Securities Practitioner Related Party | Involved Party Alternative Identification,draft,Nguồn mới: IdentityId tham chiếu bảng identity riêng — không có detail trực tiếp trong Professionals.
NHNCK_231,,Relationship Type Code,Loại quan hệ người hành nghề,theo từng người hành nghề,Classification Value,NHNCK,Securities Practitioner | Securities Practitioner Related Party,draft,Scheme: PRACTITIONER_RELATIONSHIP_TYPE.
NHNCK_232,,Occupation Name,Nghề nghiệp,theo từng người hành nghề,Text,NHNCK,Securities Practitioner | Securities Practitioner Related Party,draft,Text tự do.
NHNCK_233,,Practitioner Note,Ghi chú,theo từng người hành nghề,Text,NHNCK,Securities Practitioner,draft,
NHNCK_234,,Securities Practitioner Related Party Code,Mã định danh (tự động tăng). BK,theo từng quan hệ thân nhân,Text,NHNCK,Securities Practitioner Related Party,draft,BK chính.
NHNCK_235,,Related Party Full Name,Họ và tên người liên quan,theo từng quan hệ thân nhân,Text,NHNCK,Securities Practitioner Related Party,draft,
NHNCK_236,,Address,Địa chỉ,theo từng quan hệ thân nhân,Text,NHNCK,Securities Practitioner Related Party,draft,
NHNCK_237,,Related Party Note,Ghi chú,theo từng quan hệ thân nhân,Text,NHNCK,Securities Practitioner Related Party,draft,
NHNCK_238,,License Application Fee Code,Mã định danh (tự động tăng). BK,theo từng khoản phí hồ sơ,Text,NHNCK,Securities Practitioner License Application Fee,draft,BK chính. PK nguồn.
NHNCK_239,,Fee Type Code,Loại phí,theo từng khoản phí hồ sơ,Classification Value,NHNCK,Securities Practitioner License Application Fee,draft,Scheme: FEE_TYPE.
NHNCK_240,,Fee Amount,Số tiền phí (VNĐ),theo từng khoản phí hồ sơ,Currency Amount,NHNCK,Securities Practitioner License Application Fee,draft,
NHNCK_241,,Fee Content,Nội dung phí,theo từng khoản phí hồ sơ,Text,NHNCK,Securities Practitioner License Application Fee,draft,
NHNCK_242,,Fee Note,Ghi chú,theo từng khoản phí hồ sơ,Text,NHNCK,Securities Practitioner License Application Fee,draft,
NHNCK_243,,Payment Status Code,Trạng thái thanh toán,theo từng khoản phí hồ sơ,Classification Value,NHNCK,Securities Practitioner License Application Fee,draft,Scheme: PAYMENT_STATUS.
NHNCK_244,,Request Date,Ngày yêu cầu thanh toán,theo từng khoản phí hồ sơ,Date,NHNCK,Securities Practitioner License Application Fee,draft,
NHNCK_245,,Payment Date,Ngày thanh toán,theo từng khoản phí hồ sơ,Date,NHNCK,Securities Practitioner License Application Fee,draft,
NHNCK_246,,Expiry Date,Ngày hết hạn thanh toán,theo từng khoản phí hồ sơ,Date,NHNCK,Securities Practitioner License Application Fee,draft,
NHNCK_247,,Involved Party Code,Mã người hành nghề,theo từng giấy tờ định danh,Text,NHNCK,Involved Party Alternative Identification | Involved Party Electronic Address | Involved Party Postal Address,draft,FK target: Securities Practitioner.Practitioner Code. Pair with Involved Party Id.
NHNCK_248,,Identification Type Code,Loại giấy tờ định danh — CCCD/CMND,theo từng giấy tờ định danh,Classification Value,NHNCK,Involved Party Alternative Identification,draft,
NHNCK_249,,Issuing Authority Name,Cơ quan cấp giấy phép,theo từng giấy tờ định danh,Text,NHNCK,Involved Party Alternative Identification,draft,
NHNCK_250,,Issuing Authority,Cơ quan ban hành quyết định thành lập,theo từng giấy tờ định danh,Text,NHNCK,Involved Party Alternative Identification,draft,
NHNCK_251,,Alt Identification Type Code,Loại giấy tờ — quyết định thành lập CN/VPĐD.,theo từng giấy tờ định danh,Classification Value,NHNCK,Involved Party Alternative Identification,draft,Scheme: IP_ALT_ID_TYPE. // Scheme: IP_ALT_ID_TYPE. IdType xác định loại giấy tờ (CMND/CCCD/Hộ chiếu/ĐKKD). // Scheme: IP_ALT_ID_TYPE. Giá trị: CITIZEN_ID (CCCD) hoặc PASSPORT (Hộ chiếu).
NHNCK_252,,Alt Identification Value,Số quyết định/giấy phép thành lập.,theo từng giấy tờ định danh,Text,NHNCK,Involved Party Alternative Identification,draft,
NHNCK_253,,Alt Identification Issue Date,Ngày cấp quyết định thành lập quỹ.,theo từng giấy tờ định danh,Date,NHNCK,Involved Party Alternative Identification,draft,
NHNCK_254,,Electronic Address Type Code,Loại kênh liên lạc — điện thoại kinh doanh.,theo từng địa chỉ điện tử,Classification Value,NHNCK,Involved Party Electronic Address,draft,Scheme: IP_ELEC_ADDR_TYPE.
NHNCK_255,,Electronic Address Value,Số điện thoại trụ sở chính.,theo từng địa chỉ điện tử,Text,NHNCK,Involved Party Electronic Address,draft,
NHNCK_256,,Address Type Code,Loại địa chỉ — địa chỉ chung,theo từng địa chỉ bưu chính,Classification Value,NHNCK,Involved Party Postal Address,draft,
NHNCK_257,,Address Line,Địa chỉ,theo từng địa chỉ bưu chính,Text,NHNCK,Involved Party Postal Address,draft,Nguồn mới chỉ có 1 trường Address chung.
NHNCK_258,,Address Description,Mô tả địa chỉ kinh doanh,theo từng địa chỉ bưu chính,Text,NHNCK,Involved Party Postal Address,draft,
NHNCK_259,,Province Code,Mã tỉnh kinh doanh,theo từng địa chỉ bưu chính,Text,NHNCK,Involved Party Postal Address,draft,
NHNCK_260,,Province Name,Tên tỉnh kinh doanh,theo từng địa chỉ bưu chính,Text,NHNCK,Involved Party Postal Address,draft,
NHNCK_261,,District Code,Mã huyện kinh doanh,theo từng địa chỉ bưu chính,Text,NHNCK,Involved Party Postal Address,draft,
NHNCK_262,,District Name,Tên huyện kinh doanh,theo từng địa chỉ bưu chính,Text,NHNCK,Involved Party Postal Address,draft,
NHNCK_263,,Ward Code,Mã xã kinh doanh,theo từng địa chỉ bưu chính,Text,NHNCK,Involved Party Postal Address,draft,
NHNCK_264,,Ward Name,Tên xã kinh doanh,theo từng địa chỉ bưu chính,Text,NHNCK,Involved Party Postal Address,draft,
NHNCK_265,,Address Value,Địa chỉ trụ sở đại lý phân phối quỹ.,theo từng địa chỉ bưu chính,Text,NHNCK,Involved Party Postal Address,draft,
